https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1465257600000,2016-06-07 00:00:00,LTC/USDT,4.9710173,4.98,4.7,4.819,2850.15136036,595.21418326,0,0,0,4.78844664
1465171200000,2016-06-06 00:00:00,LTC/USDT,4.804,4.97,4.804,4.922,1535.02128493,311.06476526,0,0,0,4.9347321
1465084800000,2016-06-05 00:00:00,LTC/USDT,4.84647653,4.87334494,4.8,4.80000005,1772.3223613,367.5095432,0,0,0,4.82252065
1464998400000,2016-06-04 00:00:00,LTC/USDT,4.86900943,4.96248899,4.7,4.79261241,17090.42520989,3549.2439394,0,0,0,4.8152298
1464912000000,2016-06-03 00:00:00,LTC/USDT,4.68787688,4.88395001,4.67703008,4.88260854,4576.32253611,953.08147886,0,0,0,4.80160682
1464825600000,2016-06-02 00:00:00,LTC/USDT,4.74397688,4.74397688,4.66018551,4.67702992,1010.58863893,215.34302543,0,0,0,4.69292486
1464739200000,2016-06-01 00:00:00,LTC/USDT,4.59562875,4.77112485,4.53228978,4.72257537,1002.55765811,213.8170275,0,0,0,4.68885789
1464652800000,2016-05-31 00:00:00,LTC/USDT,4.56908643,4.71799064,4.46602337,4.59562875,3994.4645178,867.03304851,0,0,0,4.60704989
1464566400000,2016-05-30 00:00:00,LTC/USDT,4.5,4.6642,4.44000224,4.58348868,2810.00580149,620.73393586,0,0,0,4.52690861
1464480000000,2016-05-29 00:00:00,LTC/USDT,4.20258108,4.70539171,4.20258108,4.46279169,8755.012082,1928.98010435,0,0,0,4.53867412
1464393600000,2016-05-28 00:00:00,LTC/USDT,4.38010175,4.733,4.01,4.15129404,15926.65839909,3513.62419908,0,0,0,4.5328292
1464307200000,2016-05-27 00:00:00,LTC/USDT,4.04810606,4.61156371,4.04810606,4.34692957,8540.78015302,1953.34525947,0,0,0,4.37238635
1464220800000,2016-05-26 00:00:00,LTC/USDT,4.02559669,4.09999999,3.99542695,4.09877367,189.4477044,46.86920367,0,0,0,4.04205084
1464134400000,2016-05-25 00:00:00,LTC/USDT,3.98068645,4.06025812,3.952,3.99542686,605.17915614,151.01815089,0,0,0,4.00732728
1464048000000,2016-05-24 00:00:00,LTC/USDT,3.92231271,3.985,3.9223127,3.9678629,559.42403466,141.22989661,0,0,0,3.9610879
