https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XLM,Volume USD
1694995200,2023-09-18 00:00:00,XLM/USD,0.11624,0.11930,0.11529,0.11796,2146665.72098343,253220.68844720538
1694908800,2023-09-17 00:00:00,XLM/USD,0.11947,0.11947,0.11540,0.11607,2142410.75506572,248669.61634047815
1694822400,2023-09-16 00:00:00,XLM/USD,0.12006,0.12114,0.11800,0.11883,1428515.57180445,169750.5053975228
1694736000,2023-09-15 00:00:00,XLM/USD,0.12041,0.12192,0.11759,0.12037,1267533.40249598,152572.99565844113
1694649600,2023-09-14 00:00:00,XLM/USD,0.12079,0.12168,0.11824,0.12015,2790999.09626392,335338.54141611
1694563200,2023-09-13 00:00:00,XLM/USD,0.12090,0.12230,0.11930,0.12072,3553330.21431137,428958.0234716686
1694476800,2023-09-12 00:00:00,XLM/USD,0.12858,0.13197,0.12035,0.12116,5319089.44785074,644460.8775015956
1694390400,2023-09-11 00:00:00,XLM/USD,0.13371,0.13435,0.12429,0.12855,4636756.73662389,596055.078493001
1694304000,2023-09-10 00:00:00,XLM/USD,0.13145,0.13440,0.12709,0.13344,1881098.94958514,251013.84383264108
1694217600,2023-09-09 00:00:00,XLM/USD,0.12696,0.13290,0.12616,0.13187,2155946.57867604,284304.67533000937
1694131200,2023-09-08 00:00:00,XLM/USD,0.12539,0.12748,0.12221,0.12699,2486370.52600410,315744.19309726066
1694044800,2023-09-07 00:00:00,XLM/USD,0.12370,0.12555,0.12179,0.12555,2074374.46572710,260437.71417203738
1693958400,2023-09-06 00:00:00,XLM/USD,0.12239,0.12420,0.11750,0.12420,2187237.51814567,271654.89975369227
1693872000,2023-09-05 00:00:00,XLM/USD,0.12443,0.12947,0.12135,0.12247,2613113.69505326,320028.0342331727
1693785600,2023-09-04 00:00:00,XLM/USD,0.11888,0.12626,0.11846,0.12455,2153391.47472664,268204.90817720303
1693699200,2023-09-03 00:00:00,XLM/USD,0.11348,0.12057,0.11305,0.11874,1849690.54777991,219632.2556433865
1693612800,2023-09-02 00:00:00,XLM/USD,0.11402,0.11433,0.11149,0.11360,887413.30755765,100810.15173854904
1693526400,2023-09-01 00:00:00,XLM/USD,0.11480,0.11725,0.11281,0.11415,1582331.38902308,180623.1280569846
