https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume USD
1701561600,2023-12-03 00:00:00,ADA/USD,0.39805,0.40271,0.38831,0.39469,889002.91914917,350880.56215898594
1701475200,2023-12-02 00:00:00,ADA/USD,0.38342,0.39824,0.38342,0.39824,456057.30218094,181620.26002053753
1701388800,2023-12-01 00:00:00,ADA/USD,0.37583,0.38573,0.37389,0.38414,539784.45887607,207352.8020326535
1701302400,2023-11-30 00:00:00,ADA/USD,0.38122,0.38258,0.37181,0.37531,835835.70662601,313697.4990538078
1701216000,2023-11-29 00:00:00,ADA/USD,0.38526,0.38932,0.37798,0.38124,412869.23056476,157402.2654605091
1701129600,2023-11-28 00:00:00,ADA/USD,0.37685,0.38892,0.37000,0.38573,257357.44133144,99270.48584477635
1701043200,2023-11-27 00:00:00,ADA/USD,0.38779,0.39116,0.37152,0.37827,463648.86449554,175384.4559727279
1700956800,2023-11-26 00:00:00,ADA/USD,0.39392,0.39504,0.38010,0.38791,373159.59212467,144752.33738108072
1700870400,2023-11-25 00:00:00,ADA/USD,0.38672,0.39615,0.38648,0.39519,158369.82075323,62586.169463468956
1700784000,2023-11-24 00:00:00,ADA/USD,0.38841,0.39758,0.38486,0.38646,411128.64586094,158884.77647941888
1700697600,2023-11-23 00:00:00,ADA/USD,0.38020,0.38670,0.37789,0.38643,147624.15157083,57046.400891515834
1700611200,2023-11-22 00:00:00,ADA/USD,0.35631,0.38760,0.35631,0.38081,290961.84862164,110801.18157360672
1700524800,2023-11-21 00:00:00,ADA/USD,0.38022,0.38954,0.35620,0.35672,1568058.66434705,559357.8867458797
1700438400,2023-11-20 00:00:00,ADA/USD,0.38316,0.39906,0.37865,0.38060,1296261.21946637,493357.0201289004
1700352000,2023-11-19 00:00:00,ADA/USD,0.37548,0.38498,0.36930,0.38477,778535.43876247,299557.0807726356
1700265600,2023-11-18 00:00:00,ADA/USD,0.36690,0.37768,0.35020,0.37768,271661.13014244,102600.97563219673
1700179200,2023-11-17 00:00:00,ADA/USD,0.37147,0.37802,0.35323,0.36699,244993.30023670,89910.09125386653
1700092800,2023-11-16 00:00:00,ADA/USD,0.37885,0.40861,0.36001,0.37015,685920.23638235,253893.37549692683
1700006400,2023-11-15 00:00:00,ADA/USD,0.35784,0.37990,0.35479,0.37990,301221.26095225,114433.95703575977
1699920000,2023-11-14 00:00:00,ADA/USD,0.35683,0.37154,0.34000,0.35877,1375702.27010985,493560.70344731084
1699833600,2023-11-13 00:00:00,ADA/USD,0.38265,0.38876,0.35444,0.35830,787995.99820122,282338.9661554971
1699747200,2023-11-12 00:00:00,ADA/USD,0.38462,0.38980,0.37090,0.38264,1073070.88988849,410599.8453069318
1699660800,2023-11-11 00:00:00,ADA/USD,0.38627,0.39550,0.37109,0.38414,951366.45622554,365457.91049447894
1699574400,2023-11-10 00:00:00,ADA/USD,0.36780,0.38810,0.36350,0.38639,952670.90450951,368102.51079342957
1699488000,2023-11-09 00:00:00,ADA/USD,0.35746,0.38667,0.34372,0.36859,1071514.39055166,394949.4892134363
1699401600,2023-11-08 00:00:00,ADA/USD,0.35093,0.36001,0.34910,0.36001,562185.60414171,202392.43934705702
1699315200,2023-11-07 00:00:00,ADA/USD,0.36278,0.36563,0.33366,0.35152,1512872.39525817,531804.9043811519
1699228800,2023-11-06 00:00:00,ADA/USD,0.34208,0.37562,0.33820,0.36291,2380986.72475417,864083.8922805359
1699142400,2023-11-05 00:00:00,ADA/USD,0.32720,0.35000,0.32710,0.34270,758859.75163787,260061.23688629805
1699056000,2023-11-04 00:00:00,ADA/USD,0.32960,0.33010,0.32146,0.32817,376411.30081542,123526.89658859638
1698969600,2023-11-03 00:00:00,ADA/USD,0.32350,0.32945,0.31200,0.32945,1473785.07416693,485538.4926842951
1698883200,2023-11-02 00:00:00,ADA/USD,0.30887,0.32943,0.29844,0.32314,2048499.80877474,661952.2282074695
1698796800,2023-11-01 00:00:00,ADA/USD,0.29254,0.30877,0.28475,0.30737,958513.71849190,294618.3616528553
1698710400,2023-10-31 00:00:00,ADA/USD,0.30333,0.30406,0.28500,0.29311,1362757.47496884,399437.84348811663
1698624000,2023-10-30 00:00:00,ADA/USD,0.29590,0.30290,0.29236,0.30277,1065799.25760447,322692.04122490535
1698537600,2023-10-29 00:00:00,ADA/USD,0.29069,0.29878,0.28876,0.29518,703432.70762798,207639.26663762715
1698451200,2023-10-28 00:00:00,ADA/USD,0.28940,0.29745,0.28940,0.29079,620023.64879058,180296.67683181274
1698364800,2023-10-27 00:00:00,ADA/USD,0.28709,0.29173,0.28109,0.28952,883888.16757522,255903.30227637768
1698278400,2023-10-26 00:00:00,ADA/USD,0.28010,0.29722,0.28010,0.28690,2056104.34646628,589896.3370011757
1698192000,2023-10-25 00:00:00,ADA/USD,0.27874,0.28942,0.27662,0.28073,323774.42715261,90893.19493455219
1698105600,2023-10-24 00:00:00,ADA/USD,0.28101,0.29364,0.27418,0.27992,2183658.49931678,611249.687128753
1698019200,2023-10-23 00:00:00,ADA/USD,0.26455,0.28112,0.26269,0.28070,1283211.85453637,360197.567568359
1697932800,2023-10-22 00:00:00,ADA/USD,0.25838,0.26389,0.25560,0.26358,831640.40276329,219203.77736034794
1697846400,2023-10-21 00:00:00,ADA/USD,0.25207,0.26200,0.24975,0.25792,253231.64462841,65313.5057825595
1697760000,2023-10-20 00:00:00,ADA/USD,0.24645,0.25227,0.24639,0.25130,126895.50447505,31888.840274580067
1697673600,2023-10-19 00:00:00,ADA/USD,0.24293,0.24692,0.24000,0.24692,940958.83856916,232341.55641949698
1697587200,2023-10-18 00:00:00,ADA/USD,0.24645,0.24768,0.24266,0.24298,385763.16681251,93732.73427210368
1697500800,2023-10-17 00:00:00,ADA/USD,0.25137,0.25170,0.24500,0.24656,282347.82664884,69615.68013853798
1697414400,2023-10-16 00:00:00,ADA/USD,0.24755,0.25999,0.24747,0.25111,328992.68482264,82613.35308581313
1697328000,2023-10-15 00:00:00,ADA/USD,0.24707,0.24830,0.24530,0.24810,208006.32417308,51606.36902734115
1697241600,2023-10-14 00:00:00,ADA/USD,0.24637,0.24750,0.24507,0.24696,128014.41519811,31614.439977325248
1697155200,2023-10-13 00:00:00,ADA/USD,0.24605,0.24859,0.24516,0.24577,206412.43095398,50729.98315555966
1697068800,2023-10-12 00:00:00,ADA/USD,0.24807,0.24817,0.24262,0.24500,196575.91010024,48161.0979745588
