https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT
1699920000,2023-11-14 00:00:00,XRP/USDT,0.66996,0.67104,0.59155,0.62970,732766.08005414,461422.80061009194
1699833600,2023-11-13 00:00:00,XRP/USDT,0.66150,0.74510,0.64020,0.67076,1054277.53501888,707167.1993892639
1699747200,2023-11-12 00:00:00,XRP/USDT,0.66304,0.67054,0.64990,0.66003,107893.01687804,71212.62793001274
1699660800,2023-11-11 00:00:00,XRP/USDT,0.65940,0.68246,0.64130,0.66130,325499.66453790,215252.92815891327
1699574400,2023-11-10 00:00:00,XRP/USDT,0.66530,0.66979,0.63740,0.65980,375874.98527670,248002.31528556667
1699488000,2023-11-09 00:00:00,XRP/USDT,0.68602,0.70428,0.62003,0.66750,1002898.51648134,669434.7597512945
1699401600,2023-11-08 00:00:00,XRP/USDT,0.68311,0.69831,0.67293,0.68711,244242.36985246,167821.3747493238
1699315200,2023-11-07 00:00:00,XRP/USDT,0.71412,0.71412,0.65300,0.68610,1003429.33514906,688452.8668457702
1699228800,2023-11-06 00:00:00,XRP/USDT,0.66031,0.73000,0.65972,0.71478,539270.75460044,385459.9499733025
1699142400,2023-11-05 00:00:00,XRP/USDT,0.61690,0.66173,0.61407,0.66173,239090.71438715,158213.49843140878
1699056000,2023-11-04 00:00:00,XRP/USDT,0.61183,0.61705,0.60912,0.61582,72564.91684131,44686.927089215525
1698969600,2023-11-03 00:00:00,XRP/USDT,0.60484,0.61477,0.59200,0.61148,168024.96121672,102743.90328479995
1698883200,2023-11-02 00:00:00,XRP/USDT,0.60826,0.62302,0.58691,0.60572,579039.44783114,350735.7743402782
1698796800,2023-11-01 00:00:00,XRP/USDT,0.59840,0.61513,0.58220,0.60811,295163.68614230,179491.98917999407
1698710400,2023-10-31 00:00:00,XRP/USDT,0.57779,0.61784,0.56440,0.59891,394428.41555539,236227.12236027865
1698624000,2023-10-30 00:00:00,XRP/USDT,0.55609,0.58300,0.55009,0.57793,1304849.39984628,754111.6136531606
1698537600,2023-10-29 00:00:00,XRP/USDT,0.54440,0.56040,0.54069,0.55560,84477.24812849,46935.55906018904
1698451200,2023-10-28 00:00:00,XRP/USDT,0.54220,0.55016,0.54090,0.54447,72768.55980990,39620.29775969626
1698364800,2023-10-27 00:00:00,XRP/USDT,0.55299,0.55810,0.53297,0.54457,1069645.50831051,582496.8544606544
1698278400,2023-10-26 00:00:00,XRP/USDT,0.55460,0.56878,0.54272,0.55322,693353.03176200,383576.76423137373
1698192000,2023-10-25 00:00:00,XRP/USDT,0.55721,0.56147,0.54180,0.55425,698316.36531318,387041.84547483
1698105600,2023-10-24 00:00:00,XRP/USDT,0.54740,0.58458,0.53670,0.55780,1141178.68283079,636549.4692830147
1698019200,2023-10-23 00:00:00,XRP/USDT,0.52243,0.55373,0.52149,0.54727,651317.01781762,356446.2643410489
1697932800,2023-10-22 00:00:00,XRP/USDT,0.52059,0.52424,0.51230,0.52199,88379.11013761,46133.01170073104
1697846400,2023-10-21 00:00:00,XRP/USDT,0.51381,0.53039,0.51239,0.52020,174730.15397576,90894.62609819036
1697760000,2023-10-20 00:00:00,XRP/USDT,0.52000,0.52870,0.50901,0.51620,194957.02352795,100636.81554512779
1697673600,2023-10-19 00:00:00,XRP/USDT,0.48769,0.52057,0.47810,0.52057,317542.72149219,165303.21452718932
1697587200,2023-10-18 00:00:00,XRP/USDT,0.49040,0.49225,0.48691,0.48842,153164.70486094,74808.70514818032
1697500800,2023-10-17 00:00:00,XRP/USDT,0.49528,0.49528,0.48730,0.49061,84994.16170456,41698.98567387418
1697414400,2023-10-16 00:00:00,XRP/USDT,0.48751,0.50967,0.48674,0.49708,142739.57290728,70952.98690075075
1697328000,2023-10-15 00:00:00,XRP/USDT,0.48589,0.49024,0.48550,0.48751,103060.18692344,50242.87172704623
1697241600,2023-10-14 00:00:00,XRP/USDT,0.48486,0.48777,0.48360,0.48647,26260.06214261,12774.732430515487
1697155200,2023-10-13 00:00:00,XRP/USDT,0.48439,0.48963,0.47979,0.48569,86893.99627697,42203.54505176156
1697068800,2023-10-12 00:00:00,XRP/USDT,0.48812,0.48812,0.47350,0.48361,181171.30638491,87616.25548080633
1696982400,2023-10-11 00:00:00,XRP/USDT,0.49493,0.49493,0.47927,0.48908,302688.01786598,148038.6557778935
1696896000,2023-10-10 00:00:00,XRP/USDT,0.50216,0.50216,0.49235,0.49944,64204.15145201,32066.121401191875
1696809600,2023-10-09 00:00:00,XRP/USDT,0.51509,0.51910,0.48990,0.50359,419512.76596866,211262.4338141575
1696723200,2023-10-08 00:00:00,XRP/USDT,0.52170,0.52170,0.51644,0.51859,51910.91100153,26920.479336283443
1696636800,2023-10-07 00:00:00,XRP/USDT,0.52464,0.52490,0.52030,0.52130,165953.30156257,86511.45610456774
1696550400,2023-10-06 00:00:00,XRP/USDT,0.52340,0.52870,0.51753,0.52563,323306.79741949,169939.75192760653
1696464000,2023-10-05 00:00:00,XRP/USDT,0.53122,0.53122,0.51201,0.52316,420827.64354350,220160.18999621744
1696377600,2023-10-04 00:00:00,XRP/USDT,0.53820,0.54110,0.52071,0.53298,400910.94872790,213677.51745299614
1696291200,2023-10-03 00:00:00,XRP/USDT,0.51258,0.54999,0.50684,0.53821,225264.31482735,121239.50688322804
1696204800,2023-10-02 00:00:00,XRP/USDT,0.52470,0.52576,0.51000,0.51000,181651.27437625,92642.1499318875
1696118400,2023-10-01 00:00:00,XRP/USDT,0.51501,0.52570,0.51440,0.52447,139755.82525200,73297.73766991645
1696032000,2023-09-30 00:00:00,XRP/USDT,0.52060,0.52060,0.51361,0.51453,137789.90010471,70897.03730087643
1695945600,2023-09-29 00:00:00,XRP/USDT,0.50950,0.54769,0.50650,0.51800,460018.76925948,238289.72247641065
1695859200,2023-09-28 00:00:00,XRP/USDT,0.50051,0.50939,0.49600,0.50600,170252.07853104,86147.55173670624
1695772800,2023-09-27 00:00:00,XRP/USDT,0.50242,0.50660,0.49716,0.50038,199149.73859343,99650.5461973805
1695686400,2023-09-26 00:00:00,XRP/USDT,0.50346,0.50590,0.49645,0.49890,154817.40685448,77238.40427970007
1695600000,2023-09-25 00:00:00,XRP/USDT,0.50099,0.50590,0.49400,0.50533,381845.89504212,192958.18614163448
1695513600,2023-09-24 00:00:00,XRP/USDT,0.50798,0.51100,0.50139,0.50139,37854.33993531,18979.787500165083
1695427200,2023-09-23 00:00:00,XRP/USDT,0.51291,0.51291,0.50765,0.50765,55800.93025971,28327.342246341785
1695340800,2023-09-22 00:00:00,XRP/USDT,0.50750,0.51639,0.50448,0.51299,144760.58140292,74260.73065388393
1695254400,2023-09-21 00:00:00,XRP/USDT,0.52039,0.52039,0.50049,0.50779,243413.27079941,123602.8247792324
1695168000,2023-09-20 00:00:00,XRP/USDT,0.51406,0.52420,0.51101,0.52100,214216.04710044,111606.56053932924
1695081600,2023-09-19 00:00:00,XRP/USDT,0.50478,0.51559,0.50459,0.51478,185363.50370700,95421.42443828945
1694995200,2023-09-18 00:00:00,XRP/USDT,0.49021,0.50564,0.48991,0.50511,191243.86023171,96599.18624163902
1694908800,2023-09-17 00:00:00,XRP/USDT,0.49770,0.49962,0.49105,0.49280,100379.62422147,49467.07881634042
1694822400,2023-09-16 00:00:00,XRP/USDT,0.49943,0.50286,0.49735,0.50090,120866.84610072,60542.20321185065
1694736000,2023-09-15 00:00:00,XRP/USDT,0.48911,0.50826,0.48801,0.50030,409656.05661922,204950.92512659574
1694649600,2023-09-14 00:00:00,XRP/USDT,0.48251,0.49297,0.47977,0.49200,1353587.79686809,665965.1960591003
1694563200,2023-09-13 00:00:00,XRP/USDT,0.47955,0.48999,0.47401,0.48358,536491.11557012,259436.37366739867
1694476800,2023-09-12 00:00:00,XRP/USDT,0.47447,0.48586,0.47043,0.48081,473244.68177518,227540.7754443243
1694390400,2023-09-11 00:00:00,XRP/USDT,0.49806,0.49827,0.46567,0.47436,1458543.34014479,691874.6188310826
1694304000,2023-09-10 00:00:00,XRP/USDT,0.50131,0.50238,0.49320,0.49799,498929.58049974,248461.94179306552
1694217600,2023-09-09 00:00:00,XRP/USDT,0.50423,0.50455,0.50176,0.50329,28232.65281994,14209.211837747604
1694131200,2023-09-08 00:00:00,XRP/USDT,0.50638,0.50744,0.49409,0.50497,98988.78068239,49986.364581186484
1694044800,2023-09-07 00:00:00,XRP/USDT,0.50112,0.50539,0.49702,0.50502,695862.53966107,351424.4997796336
1693958400,2023-09-06 00:00:00,XRP/USDT,0.50499,0.50610,0.49251,0.50075,166562.27082486,83406.05711554865
1693872000,2023-09-05 00:00:00,XRP/USDT,0.50781,0.50811,0.50169,0.50368,94184.44623938,47438.82188185092
1693785600,2023-09-04 00:00:00,XRP/USDT,0.50520,0.51241,0.49770,0.50845,258582.00886896,131476.0224094227
1693699200,2023-09-03 00:00:00,XRP/USDT,0.49814,0.50935,0.49814,0.50462,40115.91969625,20243.295397121674
1693612800,2023-09-02 00:00:00,XRP/USDT,0.49728,0.50137,0.49501,0.49699,24937.33441014,12393.605828495478
1693526400,2023-09-01 00:00:00,XRP/USDT,0.51145,0.51168,0.48681,0.49784,1375203.49666185,684631.3087781355
1693440000,2023-08-31 00:00:00,XRP/USDT,0.52741,0.52741,0.50000,0.51049,313709.49146459,160145.55829775854
1693353600,2023-08-30 00:00:00,XRP/USDT,0.53980,0.53980,0.52213,0.52829,193392.87429842,102167.52156311231
1693267200,2023-08-29 00:00:00,XRP/USDT,0.52111,0.54970,0.51381,0.54015,329716.03736072,178096.11758039292
1693180800,2023-08-28 00:00:00,XRP/USDT,0.52290,0.52290,0.51161,0.52167,114671.26791443,59820.5603329207
1693094400,2023-08-27 00:00:00,XRP/USDT,0.52441,0.52957,0.51967,0.52165,98601.92378660,51435.693543279885
1693008000,2023-08-26 00:00:00,XRP/USDT,0.52340,0.52770,0.51923,0.52347,37186.30812629,19465.916714869025
1692921600,2023-08-25 00:00:00,XRP/USDT,0.51801,0.52727,0.50898,0.52590,312645.01310899,164420.01239401783
1692835200,2023-08-24 00:00:00,XRP/USDT,0.52631,0.53141,0.47716,0.51770,114408.68352250,59229.375459598254
1692748800,2023-08-23 00:00:00,XRP/USDT,0.52121,0.53414,0.51591,0.52951,138964.98814487,73583.35087259012
1692662400,2023-08-22 00:00:00,XRP/USDT,0.52491,0.52491,0.50355,0.52103,628935.49199172,327694.2593924459
1692576000,2023-08-21 00:00:00,XRP/USDT,0.53637,0.53710,0.50840,0.52441,271809.39117618,142539.56282670057
1692489600,2023-08-20 00:00:00,XRP/USDT,0.51878,0.55259,0.51623,0.53943,252251.27314646,136071.9042733949
1692403200,2023-08-19 00:00:00,XRP/USDT,0.50633,0.52152,0.50093,0.52000,153068.53733781,79595.63941566121
1692316800,2023-08-18 00:00:00,XRP/USDT,0.50828,0.51830,0.48460,0.50587,395219.46525616,199929.67088913367
1692230400,2023-08-17 00:00:00,XRP/USDT,0.58960,0.59309,0.42685,0.50607,934993.62841490,473172.2255319285
1692144000,2023-08-16 00:00:00,XRP/USDT,0.60949,0.61439,0.58121,0.58857,429428.26263336,252748.5925381167
1692057600,2023-08-15 00:00:00,XRP/USDT,0.63233,0.63233,0.58555,0.60900,1081252.89999386,658483.0160962606
1691971200,2023-08-14 00:00:00,XRP/USDT,0.62570,0.63489,0.62470,0.63418,308390.29143380,195574.9550214873
1691884800,2023-08-13 00:00:00,XRP/USDT,0.62677,0.63727,0.62570,0.62570,158017.31880805,98871.4363781969
1691798400,2023-08-12 00:00:00,XRP/USDT,0.63136,0.63160,0.62517,0.62651,178452.28355632,111802.14017087004
1691712000,2023-08-11 00:00:00,XRP/USDT,0.63320,0.66132,0.62760,0.63299,112250.62779173,71053.52488588718
1691625600,2023-08-10 00:00:00,XRP/USDT,0.63979,0.64169,0.62540,0.63455,96872.63149342,61470.52831414966
1691539200,2023-08-09 00:00:00,XRP/USDT,0.64101,0.66870,0.63205,0.64340,257075.22521025,165402.19990027483
1691452800,2023-08-08 00:00:00,XRP/USDT,0.62240,0.64639,0.61426,0.64131,312821.80631253,200615.75260628865
1691366400,2023-08-07 00:00:00,XRP/USDT,0.62409,0.62751,0.60110,0.62061,438177.84598997,271937.5529998353
1691280000,2023-08-06 00:00:00,XRP/USDT,0.62800,0.63680,0.62130,0.62130,68546.47665884,42587.92594813729
1691193600,2023-08-05 00:00:00,XRP/USDT,0.63528,0.63528,0.61200,0.62900,323009.42867353,203172.93063565038
1691107200,2023-08-04 00:00:00,XRP/USDT,0.66390,0.66619,0.62779,0.63670,473138.90010041,301247.5376939311
1691020800,2023-08-03 00:00:00,XRP/USDT,0.68447,0.68447,0.65591,0.66341,402578.13237343,267074.35879785725
1690934400,2023-08-02 00:00:00,XRP/USDT,0.70669,0.70669,0.67789,0.68590,208064.11383350,142711.17567839765
1690848000,2023-08-01 00:00:00,XRP/USDT,0.69394,0.70620,0.67870,0.70581,332320.41675478,234555.0733496913
1690761600,2023-07-31 00:00:00,XRP/USDT,0.70300,0.72061,0.68627,0.69940,440343.21056874,307976.0414717767
1690675200,2023-07-30 00:00:00,XRP/USDT,0.71181,0.73598,0.68282,0.70136,396818.31750221,278312.49516334996
1690588800,2023-07-29 00:00:00,XRP/USDT,0.71142,0.71397,0.70616,0.71187,107761.46628018,76712.15500087173
1690502400,2023-07-28 00:00:00,XRP/USDT,0.71215,0.71887,0.70376,0.71266,161349.20719190,114987.12599737945
1690416000,2023-07-27 00:00:00,XRP/USDT,0.71191,0.73074,0.70771,0.71424,273223.39173382,195147.07531196362
1690329600,2023-07-26 00:00:00,XRP/USDT,0.70858,0.72940,0.69161,0.71276,350975.31206355,250161.16342641588
1690243200,2023-07-25 00:00:00,XRP/USDT,0.70061,0.71092,0.67853,0.71041,253288.93937617,179938.99542222492
1690156800,2023-07-24 00:00:00,XRP/USDT,0.73641,0.76880,0.68124,0.70312,466026.27191103,327672.3923060834
1690070400,2023-07-23 00:00:00,XRP/USDT,0.73348,0.75050,0.71864,0.73920,530169.88586450,391901.57963103836
1689984000,2023-07-22 00:00:00,XRP/USDT,0.77281,0.77970,0.72090,0.73207,766775.89522155,561333.6296148401
1689897600,2023-07-21 00:00:00,XRP/USDT,0.78741,0.79820,0.76227,0.77601,723791.44402824,561669.3984803546
1689811200,2023-07-20 00:00:00,XRP/USDT,0.81947,0.85803,0.77091,0.79490,954340.38739843,758605.173943012
1689724800,2023-07-19 00:00:00,XRP/USDT,0.77642,0.84500,0.77114,0.81979,894453.62838156,733264.1400109191
1689638400,2023-07-18 00:00:00,XRP/USDT,0.73786,0.78344,0.72995,0.77950,416300.01008341,324505.8578600181
1689552000,2023-07-17 00:00:00,XRP/USDT,0.74570,0.76181,0.71604,0.74246,827454.87717625,614352.1481082785
1689465600,2023-07-16 00:00:00,XRP/USDT,0.71461,0.78660,0.70250,0.74661,576963.57057845,430766.77142957656
1689379200,2023-07-15 00:00:00,XRP/USDT,0.71842,0.73553,0.69395,0.71371,602571.90046094,430061.59107797744
1689292800,2023-07-14 00:00:00,XRP/USDT,0.82354,0.82354,0.67233,0.71920,933248.22607683,671192.124194456
1689206400,2023-07-13 00:00:00,XRP/USDT,0.47102,0.94938,0.47025,0.82489,2456459.73396437,2026309.0699498693
1689120000,2023-07-12 00:00:00,XRP/USDT,0.47512,0.47619,0.46669,0.46725,66031.30546251,30853.1274773578
1689033600,2023-07-11 00:00:00,XRP/USDT,0.47688,0.47759,0.47113,0.47572,186956.00219814,88938.70936569915
