https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume FLOW,Volume USDT,tradecount
1690934400000,2023-08-02,FLOWUSDT,0.591,0.596,0.571,0.575,6415991.61,3721350.63085,13987
1690848000000,2023-08-01,FLOWUSDT,0.579,0.593,0.561,0.591,7149107.18,4130524.21962,15419
1690761600000,2023-07-31,FLOWUSDT,0.587,0.593,0.575,0.58,3203233.53,1869088.67662,7295
1690675200000,2023-07-30,FLOWUSDT,0.594,0.608,0.573,0.587,10286548.48,6102796.5346,16921
1690588800000,2023-07-29,FLOWUSDT,0.585,0.601,0.58,0.593,3738891.05,2192947.72156,5927
1690502400000,2023-07-28,FLOWUSDT,0.581,0.59,0.572,0.585,4804615.73,2793645.02051,10370
1690416000000,2023-07-27,FLOWUSDT,0.591,0.594,0.574,0.581,3806789.5,2229401.71437,8821
1690329600000,2023-07-26,FLOWUSDT,0.585,0.603,0.567,0.591,6993192.26,4098858.19583,13862
1690243200000,2023-07-25,FLOWUSDT,0.59,0.6,0.576,0.585,6387028.7,3746419.08139,16285
1690156800000,2023-07-24,FLOWUSDT,0.617,0.622,0.56,0.589,8517137.6,5037594.75295,20128
1690070400000,2023-07-23,FLOWUSDT,0.621,0.629,0.611,0.618,5997606.74,3722710.8996,19521
1689984000000,2023-07-22,FLOWUSDT,0.631,0.637,0.617,0.621,6598609.19,4135698.1947,16195
1689897600000,2023-07-21,FLOWUSDT,0.633,0.644,0.622,0.631,8896555.97,5610232.40238,18227
1689811200000,2023-07-20,FLOWUSDT,0.645,0.655,0.619,0.633,8351341.35,5324360.20734,21434
1689724800000,2023-07-19,FLOWUSDT,0.638,0.664,0.624,0.645,9701499.09,6240632.0419,26881
1689638400000,2023-07-18,FLOWUSDT,0.622,0.674,0.615,0.639,19902816.38,12823664.33431,51952
1689552000000,2023-07-17,FLOWUSDT,0.609,0.635,0.599,0.621,11450816.39,7071677.38939,27921
1689465600000,2023-07-16,FLOWUSDT,0.608,0.641,0.605,0.609,12336528.42,7685488.00232,28232
1689379200000,2023-07-15,FLOWUSDT,0.616,0.622,0.599,0.608,6842069.19,4161808.07803,14616
1689292800000,2023-07-14,FLOWUSDT,0.638,0.662,0.598,0.616,22763017.1,14494219.97449,48262
1689206400000,2023-07-13,FLOWUSDT,0.585,0.641,0.567,0.637,17613686.57,10678601.29242,34483
1689120000000,2023-07-12,FLOWUSDT,0.603,0.603,0.578,0.585,8270048.93,4883899.99871,19041
1689033600000,2023-07-11,FLOWUSDT,0.603,0.618,0.589,0.603,7518390.15,4526545.68829,23290
1688947200000,2023-07-10,FLOWUSDT,0.61,0.616,0.587,0.602,9607074.63,5759050.64869,22178
1688860800000,2023-07-09,FLOWUSDT,0.603,0.622,0.597,0.61,7969549.26,4856035.47561,18353
1688774400000,2023-07-08,FLOWUSDT,0.615,0.624,0.587,0.603,9764091.25,5901551.65794,21405
1688688000000,2023-07-07,FLOWUSDT,0.622,0.628,0.602,0.614,11455386.7,7029114.59584,29540
1688601600000,2023-07-06,FLOWUSDT,0.614,0.659,0.606,0.622,28033617.2,17723589.93657,65828
1688515200000,2023-07-05,FLOWUSDT,0.642,0.66,0.602,0.614,16944735.26,10613235.91971,40548
1688428800000,2023-07-04,FLOWUSDT,0.691,0.696,0.637,0.642,23670037.8,15755444.00696,48872
1688342400000,2023-07-03,FLOWUSDT,0.718,0.791,0.685,0.692,43996885.17,32585735.06623,111710
