https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DAI
1697760000000,2023-10-20 00:00:00,DAI/USD,1.0012,1.0072,1.0002,1.0006,7502.759913944422,7498.26095737
1697673600000,2023-10-19 00:00:00,DAI/USD,1.0003,1.0011,1.0002,1.0011,4342.319349221007,4337.54804637
1697587200000,2023-10-18 00:00:00,DAI/USD,1.0003,1.0072,1.0003,1.0003,8355.503860978475,8352.99796159
1697500800000,2023-10-17 00:00:00,DAI/USD,1.0,1.0032,0.99823,1.0002,15007.341897675895,15004.34102947
1697414400000,2023-10-16 00:00:00,DAI/USD,1.0,1.0,0.9992,1.0,1284.36513869,1284.36513869
1697328000000,2023-10-15 00:00:00,DAI/USD,1.0009,1.0019,0.99948,1.0012,49.159409146272004,49.10048856
1697241600000,2023-10-14 00:00:00,DAI/USD,1.0012,1.0034,0.9995,1.0016,554.1875744953281,553.3022908300001
1697155200000,2023-10-13 00:00:00,DAI/USD,1.0,1.0195,0.99932,1.0012,30054.33483800509,30018.31286257
1696982400000,2023-10-11 00:00:00,DAI/USD,1.0009,1.0009,0.9992,1.0,1124.70533582,1124.70533582
1696896000000,2023-10-10 00:00:00,DAI/USD,0.99996,1.0032,0.99996,1.0009,40181.21430111318,40145.08372576
1696809600000,2023-10-09 00:00:00,DAI/USD,0.99789,1.0001,0.99728,0.99998,549.2444078821402,549.25539299
1696723200000,2023-10-08 00:00:00,DAI/USD,0.99806,1.0002,0.9962,1.0002,3144.9513840239038,3144.32251952
1696636800000,2023-10-07 00:00:00,DAI/USD,1.0002,1.0002,1.0002,1.0002,56.697051432858,56.68571429
1696550400000,2023-10-06 00:00:00,DAI/USD,0.99911,1.0005,0.99521,1.0005,15040.297378764135,15032.78098827
1696464000000,2023-10-05 00:00:00,DAI/USD,0.99934,1.0005,0.9952,0.99914,16754.230603885902,16768.6516443
1696377600000,2023-10-04 00:00:00,DAI/USD,1.0005,1.0005,0.99722,1.0005,59.569555032569994,59.53978514
1696204800000,2023-10-02 00:00:00,DAI/USD,0.99971,1.0007,0.99904,1.0007,281.50000772689197,281.30309556
1696118400000,2023-10-01 00:00:00,DAI/USD,0.99921,1.0007,0.9972,1.0007,623.9438809680389,623.5074257699999
1696032000000,2023-09-30 00:00:00,DAI/USD,1.001,1.0011,1.001,1.0011,60.621530412000006,60.55492
1695945600000,2023-09-29 00:00:00,DAI/USD,0.9992,1.0012,0.99878,1.0012,7113.942788967304,7105.41628942
1695859200000,2023-09-28 00:00:00,DAI/USD,1.0001,1.0009,0.995,0.9992,13551.42889307716,13562.278716050001
1695772800000,2023-09-27 00:00:00,DAI/USD,1.0009,1.0009,0.995,1.0001,64414.220987700966,64407.78020968
1695600000000,2023-09-25 00:00:00,DAI/USD,1.0007,1.002,0.9983,1.0004,646.071877330764,645.81355191
1695513600000,2023-09-24 00:00:00,DAI/USD,1.0017,1.002,1.0017,1.002,239.85789339024,239.37913512
1695427200000,2023-09-23 00:00:00,DAI/USD,1.0016,1.0017,1.0016,1.0017,7.993319231205,7.979753649999999
1695340800000,2023-09-22 00:00:00,DAI/USD,1.0002,1.0022,0.99602,1.0004,11929.593764744082,11924.82383521
1695254400000,2023-09-21 00:00:00,DAI/USD,0.99917,1.0009,0.9984,1.0009,1809.7866209798667,1808.15927763
1695168000000,2023-09-20 00:00:00,DAI/USD,0.9992,0.9992,0.99589,0.99917,3787.478877869739,3790.6250967
1695081600000,2023-09-19 00:00:00,DAI/USD,1.0001,1.0001,0.9952,0.9992,4382.319399970063,4385.82806242
1694995200000,2023-09-18 00:00:00,DAI/USD,1.0001,1.0001,0.9952,1.0001,1857.8651358067868,1857.6793678699999
1694908800000,2023-09-17 00:00:00,DAI/USD,0.9992,1.0001,0.9985,1.0001,2947.600016968644,2947.30528644
1694822400000,2023-09-16 00:00:00,DAI/USD,1.0014,1.0068,0.995,0.9992,47851.61413168197,47889.92607254
1694736000000,2023-09-15 00:00:00,DAI/USD,1.0015,1.0132,1.0012,1.0016,10274.007822130496,10257.59566906
1694649600000,2023-09-14 00:00:00,DAI/USD,1.0012,1.0012,1.0012,1.0012,2512.629774248844,2509.61823237
1694563200000,2023-09-13 00:00:00,DAI/USD,1.0011,1.0258,1.0006,1.0012,44433.14753368643,44379.89166369
1694476800000,2023-09-12 00:00:00,DAI/USD,1.0013,1.0194,1.0002,1.0014,31394.70150133355,31350.810366820002
1694390400000,2023-09-11 00:00:00,DAI/USD,1.0012,1.0026,1.0002,1.0026,5416.437344170824,5402.39112724
1694304000000,2023-09-10 00:00:00,DAI/USD,1.0016,1.0023,1.0013,1.0013,215.531016386792,215.25118984
1694217600000,2023-09-09 00:00:00,DAI/USD,1.0014,1.0018,1.0013,1.0014,40.382563840206004,40.32610729
1694131200000,2023-09-08 00:00:00,DAI/USD,1.0012,1.0132,1.0004,1.0013,18769.09095401867,18744.72281436
1694044800000,2023-09-07 00:00:00,DAI/USD,1.0013,1.0387,0.99991,1.0004,59244.12544781916,59220.43727291
1693958400000,2023-09-06 00:00:00,DAI/USD,1.0003,1.0014,1.0,1.0002,122.471506343388,122.44701694
1693872000000,2023-09-05 00:00:00,DAI/USD,1.0,1.0022,0.99961,1.0001,267.85644956666,267.8296666
1693785600000,2023-09-04 00:00:00,DAI/USD,1.0005,1.0022,1.0005,1.0008,2183.297275256904,2181.55203363
1693699200000,2023-09-03 00:00:00,DAI/USD,1.001,1.0022,0.99993,1.0011,1079.1124296512971,1077.92671027
1693612800000,2023-09-02 00:00:00,DAI/USD,1.0012,1.0015,1.0,1.0002,85.531696988814,85.51459407
1693526400000,2023-09-01 00:00:00,DAI/USD,1.0012,1.0022,1.0012,1.0012,3083.546678288712,3079.85085726
1693440000000,2023-08-31 00:00:00,DAI/USD,1.0,1.0012,0.99962,1.0012,7969.746545885253,7960.19431271
1693353600000,2023-08-30 00:00:00,DAI/USD,1.0012,1.0132,0.9962,0.9962,36456.78193741936,36595.8461528
1693267200000,2023-08-29 00:00:00,DAI/USD,1.0014,1.0032,0.99933,1.0001,762.28857593547,762.2123547
1693180800000,2023-08-28 00:00:00,DAI/USD,1.0005,1.0032,1.0002,1.0016,3651.0058515481287,3645.1735738300004
1693094400000,2023-08-27 00:00:00,DAI/USD,1.0099,1.0099,0.9992,1.0014,10056.201476958488,10042.14247749
1693008000000,2023-08-26 00:00:00,DAI/USD,1.0015,1.0055,1.0003,1.0016,594.905528700608,593.95520038
1692921600000,2023-08-25 00:00:00,DAI/USD,1.0012,1.0042,0.99822,1.0002,76460.78590040021,76445.49680104
1692835200000,2023-08-24 00:00:00,DAI/USD,1.0012,1.0012,1.0003,1.0003,15.732074306829999,15.7273561
1692748800000,2023-08-23 00:00:00,DAI/USD,0.9992,1.0002,0.99887,1.0002,1789.002315807378,1788.64458689
1692662400000,2023-08-22 00:00:00,DAI/USD,0.9992,0.9992,0.99906,0.9992,427.982645595328,428.32530584
1692576000000,2023-08-21 00:00:00,DAI/USD,1.0001,1.0002,0.9952,0.9992,11658.341525936825,11667.67566647
1692489600000,2023-08-20 00:00:00,DAI/USD,1.0003,1.0012,1.0,1.0012,27.840758006968,27.807389139999998
1692403200000,2023-08-19 00:00:00,DAI/USD,1.0002,1.0012,0.99932,1.0012,29111.420534790424,29076.52870035
1692316800000,2023-08-18 00:00:00,DAI/USD,1.0009,1.0009,0.99888,1.0002,1127.215124565324,1126.98972662
1692230400000,2023-08-17 00:00:00,DAI/USD,1.0007,1.001,0.9962,0.99958,31967.97237123432,31981.40456115
1692144000000,2023-08-16 00:00:00,DAI/USD,0.9999,1.001,0.9982,1.0006,31999.882028937664,31980.693612770003
1692057600000,2023-08-15 00:00:00,DAI/USD,0.99998,1.001,0.99865,1.001,186.83850760574995,186.65185574999998
1691971200000,2023-08-14 00:00:00,DAI/USD,1.0002,1.001,0.9982,1.001,7798.515853688558,7790.72512856
1691884800000,2023-08-13 00:00:00,DAI/USD,1.0004,1.001,0.9982,1.001,281.19264509336,280.91173336
1691798400000,2023-08-12 00:00:00,DAI/USD,1.001,1.001,1.001,1.001,597.1520969614199,596.55554142
1691712000000,2023-08-11 00:00:00,DAI/USD,1.0005,1.0016,0.99897,1.001,36544.83542002292,36508.32709293
1691625600000,2023-08-10 00:00:00,DAI/USD,1.0006,1.0132,0.99999,1.0008,9095.638217969159,9088.36752395
1691539200000,2023-08-09 00:00:00,DAI/USD,0.99991,1.0132,0.9998,1.0014,21265.155219493066,21235.425623619998
1691452800000,2023-08-08 00:00:00,DAI/USD,1.0009,1.0016,0.9998,0.9998,6683.069650183702,6684.40653149
1691366400000,2023-08-07 00:00:00,DAI/USD,1.0017,1.0017,0.9998,1.0009,1979.1472102114508,1977.36757939
1691280000000,2023-08-06 00:00:00,DAI/USD,1.0005,1.002,0.99992,1.0013,64.550586483571,64.46677967
1691193600000,2023-08-05 00:00:00,DAI/USD,1.0009,1.0015,0.9998,1.0014,8587.820487115843,8575.81434703
1691107200000,2023-08-04 00:00:00,DAI/USD,1.0009,1.0009,1.0009,1.0009,24.327130820481,24.30525609
1691020800000,2023-08-03 00:00:00,DAI/USD,1.0013,1.0018,1.0001,1.0009,12207.997324425776,12197.02000642
1690934400000,2023-08-02 00:00:00,DAI/USD,1.0015,1.0198,1.0013,1.0013,18600.663371854916,18576.51390378
1690848000000,2023-08-01 00:00:00,DAI/USD,1.0013,1.0042,1.0013,1.0021,6683.829804589432,6669.82317592
1690761600000,2023-07-31 00:00:00,DAI/USD,1.0013,1.0192,1.0012,1.0013,10240.107420453358,10226.81256412
1690675200000,2023-07-30 00:00:00,DAI/USD,1.0013,1.0017,1.0013,1.0013,29.765306189989005,29.72666153
1690588800000,2023-07-29 00:00:00,DAI/USD,1.0013,1.0013,1.0013,1.0013,513.451317937179,512.78469783
1690502400000,2023-07-28 00:00:00,DAI/USD,1.0013,1.0041,1.0013,1.0013,562.329409419377,561.59933029
1690416000000,2023-07-27 00:00:00,DAI/USD,1.0015,1.0194,1.0012,1.0013,29230.662752804987,29192.71222691
