https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SHIB,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1677369600000,2023-02-26 00:00:00,SHIB/USDT,0.000012389,0.000013151,0.000012313,0.000012838,103153.21867436,8240117534,50372.40693716,4025373766,17125,0.00001252
1677283200000,2023-02-25 00:00:00,SHIB/USDT,0.000012541,0.000012638,0.000012005,0.000012397,80406.59840991,6486247862,30178.20625152,2431504723,15229,0.000012397
1677196800000,2023-02-24 00:00:00,SHIB/USDT,0.000013137,0.000013224,0.000012227,0.000012551,61194.99302435,4739701312,31057.80101837,2407663036,13032,0.000012915
1677110400000,2023-02-23 00:00:00,SHIB/USDT,0.00001306,0.000013655,0.000012981,0.000013134,44835.08296501,3397742975,23616.99410457,1789184668,7991,0.000013197
1677024000000,2023-02-22 00:00:00,SHIB/USDT,0.000013063,0.000013121,0.000012525,0.000013121,67093.34585365,5254211923,35623.50754753,2787699478,13126,0.00001277
1676937600000,2023-02-21 00:00:00,SHIB/USDT,0.000013485,0.000013608,0.00001284,0.000013063,81395.68406701,6143268060,39454.12382479,2975346814,15194,0.000013252
1676851200000,2023-02-20 00:00:00,SHIB/USDT,0.000013323,0.000013769,0.000013028,0.000013483,93721.48512435,6950177854,45042.43637524,3337259375,18348,0.000013485
1676764800000,2023-02-19 00:00:00,SHIB/USDT,0.000013187,0.000013967,0.000013103,0.000013349,93689.25651473,6960893987,44874.4845613,3319433282,11777,0.000013463
1676678400000,2023-02-18 00:00:00,SHIB/USDT,0.000013183,0.000013388,0.000013033,0.000013197,74454.35653833,5641633772,35481.9643226,2686918691,15667,0.000013197
1676592000000,2023-02-17 00:00:00,SHIB/USDT,0.000012719,0.000013366,0.000012637,0.000013174,98022.86377471,7483141243,49002.0681194,3737262373,17999,0.0000131
1676505600000,2023-02-16 00:00:00,SHIB/USDT,0.000013746,0.000013966,0.000012579,0.000012702,134676.28827939,9989357400,57765.94699219,4266236206,20406,0.000013489
1676419200000,2023-02-15 00:00:00,SHIB/USDT,0.00001275,0.000013858,0.000012538,0.000013727,248710.13830337,18799728443,128463.66838604,9723721844,19450,0.000013235
1676332800000,2023-02-14 00:00:00,SHIB/USDT,0.000012467,0.000012821,0.000012127,0.000012753,85604.08320821,6874735796,42251.30126539,3393826703,16154,0.000012454
1676246400000,2023-02-13 00:00:00,SHIB/USDT,0.000012821,0.000013055,0.000012,0.000012468,123957.87500825,9920336336,67090.63212767,5363726500,19212,0.000012499
1676160000000,2023-02-12 00:00:00,SHIB/USDT,0.000012907,0.000013512,0.000012591,0.000012819,82370.04982043,6348804745,39464.01732507,3036065369,17862,0.000012976
1676073600000,2023-02-11 00:00:00,SHIB/USDT,0.000012862,0.000013137,0.000012415,0.000012907,98001.712366563,7700157214,45836.646579402,3600542920,18888,0.000012728630062134
1675987200000,2023-02-10 00:00:00,SHIB/USDT,0.000012137,0.0000137,0.0000119,0.000012859,126149.271045746,10084513282,60161.150338137,4777788825,18989,0.000012516351940403
1675900800000,2023-02-09 00:00:00,SHIB/USDT,0.000013758,0.000013899,0.000011723,0.000012145,148576.751321561,11500659708,54147.733910061,4182393137,21129,0.000012941991422392
1675814400000,2023-02-08 00:00:00,SHIB/USDT,0.000014386,0.000014536,0.000013513,0.000013737,113394.265006597,8108082039,41214.228525011,2939780967,17156,0.000013990478281457
1675728000000,2023-02-07 00:00:00,SHIB/USDT,0.000014068,0.0000145,0.000013782,0.000014344,96638.904094328,6854141993,38387.017700645,2722501255,16421,0.000014100406069711
1675641600000,2023-02-06 00:00:00,SHIB/USDT,0.000014304,0.0000169,0.000013939,0.000014082,169334.610691523,11653468845,73080.384175326,4994433319,18725,0.000014543337781041
1675555200000,2023-02-05 00:00:00,SHIB/USDT,0.000014695,0.000015398,0.000013954,0.000014292,156279.303646689,10708636482,82051.065793046,5611910792,19823,0.000014600572180007
1675468800000,2023-02-04 00:00:00,SHIB/USDT,0.00001272,0.000015715,0.000012708,0.000014692,330712.112955676,22850710028,181062.381385776,12638804102,19514,0.000014507391436989
1675382400000,2023-02-03 00:00:00,SHIB/USDT,0.000012133,0.000012895,0.000012047,0.000012719,113428.110089727,9112260250,62366.816483667,4997311319,18845,0.000012449743165168
1675296000000,2023-02-02 00:00:00,SHIB/USDT,0.000012035,0.00001295,0.000011894,0.000012138,141445.480323521,11430415008,75986.460729957,6137891119,18069,0.000012381898213008
1675209600000,2023-02-01 00:00:00,SHIB/USDT,0.000011806,0.000012037,0.00001131,0.000011993,93972.486589713,8022373912,50760.280033586,4327383663,14416,0.00001171621575757
1675123200000,2023-01-31 00:00:00,SHIB/USDT,0.000011511,0.000011996,0.000011431,0.000011811,108105.83910213,9185292824,55749.039599653,4738642354,18008,0.000011770426760697
1675036800000,2023-01-30 00:00:00,SHIB/USDT,0.00001212,0.000012132,0.000011148,0.000011517,61991.706752804,5315122500,34913.131250739,2998211788,12506,0.000011667611689966
1674950400000,2023-01-29 00:00:00,SHIB/USDT,0.000011826,0.00001215,0.000011741,0.000012095,88053.150640685,7334091256,34622.979344828,2886770890,9291,0.000012006250735497
1674864000000,2023-01-28 00:00:00,SHIB/USDT,0.000011725,0.0000123,0.000011666,0.000011816,80800.790038976,6792674963,41972.495667218,3523080564,16106,0.000011896623174326
1674777600000,2023-01-27 00:00:00,SHIB/USDT,0.000011616,0.000011857,0.000011309,0.000011724,58233.166200931,5043606126,32861.92213071,2844831267,11859,0.000011546791641157
1674691200000,2023-01-26 00:00:00,SHIB/USDT,0.000011673,0.000011867,0.000011378,0.000011616,65012.547704056,5592631161,29075.77540001,2501065726,16315,0.000011625172241374
1674604800000,2023-01-25 00:00:00,SHIB/USDT,0.000011175,0.000011917,0.000010872,0.000011632,79345.927457586,7037376740,46168.266833957,4094963537,13314,0.000011276551187725
1674518400000,2023-01-24 00:00:00,SHIB/USDT,0.000011964,0.000012195,0.0000109,0.00001118,62964.650422012,5335644199,24700.877358639,2067570805,10615,0.000011813028695697
1674432000000,2023-01-23 00:00:00,SHIB/USDT,0.000012007,0.000012186,0.000011843,0.000012004,92554.926462792,7684831239,47181.600536487,3909551251,9263,0.000012044183110668
1674345600000,2023-01-22 00:00:00,SHIB/USDT,0.000011871,0.000012479,0.000011598,0.000012,213451.500960966,18038187013,164130.073398375,13927295625,16216,0.000011837281720277
1674259200000,2023-01-21 00:00:00,SHIB/USDT,0.000012264,0.000012483,0.00001179,0.000011837,112961.145924385,9305005561,60565.91114964,4983769876,14843,0.00001214108536772
1674172800000,2023-01-20 00:00:00,SHIB/USDT,0.000011544,0.000012399,0.000011343,0.000012237,87417.385554554,7478887967,43996.370423309,3758662609,16355,0.000011695829082475
1674086400000,2023-01-19 00:00:00,SHIB/USDT,0.000011163,0.000011791,0.000010825,0.000011553,101833.330500607,9005525143,51486.410422981,4547266564,15642,0.000011311700960518
1674000000000,2023-01-18 00:00:00,SHIB/USDT,0.000010538,0.000012938,0.000010077,0.000011166,284146.368565391,24023041323,131909.211520122,11116431326,21082,0.000011855011365756
1673913600000,2023-01-17 00:00:00,SHIB/USDT,0.000010517,0.000010794,0.000010275,0.000010537,57403.92352909,5437547295,29438.376391042,2787493564,16196,0.000010557769909112
1673827200000,2023-01-16 00:00:00,SHIB/USDT,0.000010662,0.000011044,0.000010084,0.00001052,120050.810581632,11375722850,53385.355024836,5036320188,19197,0.000010556812781433
1673740800000,2023-01-15 00:00:00,SHIB/USDT,0.000010399,0.000010959,0.000009792,0.000010663,88832.035123027,8737771007,50602.260092516,4991522427,15369,0.000010171369872546
1673654400000,2023-01-14 00:00:00,SHIB/USDT,0.000010188,0.000011089,0.000009614,0.0000104,131144.382274702,12544751671,73831.286453595,7028988841,16041,0.000010461815313521
1673568000000,2023-01-13 00:00:00,SHIB/USDT,0.000009466,0.000010276,0.0000093,0.000010196,77362.909503516,7999131955,44200.174508448,4571205309,16758,0.00000967636994863
1673481600000,2023-01-12 00:00:00,SHIB/USDT,0.00000913,0.00000955,0.000008832,0.000009472,95977.912854488,10330756235,50586.526076539,5445399405,15464,0.000009292601440904
1673395200000,2023-01-11 00:00:00,SHIB/USDT,0.000009243,0.000009243,0.000008664,0.000009123,62200.775205387,6970230834,27172.567280812,3041316717,10646,0.000008925061351458
1673308800000,2023-01-10 00:00:00,SHIB/USDT,0.000008673,0.000009631,0.000008559,0.000009243,51779.748432692,5682587077,32284.003087756,3533090935,8615,0.000009121084667742
1673222400000,2023-01-09 00:00:00,SHIB/USDT,0.00000864,0.000009188,0.000008582,0.000008677,65869.149902797,7440628723,38705.265586665,4366232637,10769,0.000008854391268007
1673136000000,2023-01-08 00:00:00,SHIB/USDT,0.000008415,0.000008672,0.000008337,0.000008641,47120.854327775,5571582749,23183.007690734,2741111976,11905,0.000008457994292502
