Timezones are UTC,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
1575072000.0,2019-11-30,ETHUSD,160.94,162.28,157.25,157.26,89.5,14286.62
1574985600.0,2019-11-29,ETHUSD,158.56,162.09,157,160.94,58.31,9342.97
1574899200.0,2019-11-28,ETHUSD,158.97,162,156.33,158.56,114.31,18218.43
1574812800.0,2019-11-27,ETHUSD,155.78,162,149.41,158.97,144.87,22673.92
1574726400.0,2019-11-26,ETHUSD,155.8,158.25,150.49,155.78,86.24,13304.32
1574640000.0,2019-11-25,ETHUSD,149.17,160,143.1,155.8,317.23,47983.9
1574553600.0,2019-11-24,ETHUSD,162.74,164.01,149.17,149.17,152.42,23610.5
1574467200.0,2019-11-23,ETHUSD,159.05,164.38,157.05,162.74,192.0,30792.12
1574380800.0,2019-11-22,ETHUSD,171.01,173.6,149.11,159.05,552.09,88334.13
1574294400.0,2019-11-21,ETHUSD,185.12,186,168.03,171.01,547.54,95724.85
1574208000.0,2019-11-20,ETHUSD,183.81,185.6,181.56,185.12,66.2,12148.04
1574121600.0,2019-11-19,ETHUSD,189,189,181.64,183.81,139.21,25770.9
1574035200.0,2019-11-18,ETHUSD,192.48,192.48,184.67,189,121.79,22889.08
1573948800.0,2019-11-17,ETHUSD,191.23,193.36,188.02,192.48,81.38,15517.21
1573862400.0,2019-11-16,ETHUSD,188.36,191.28,187.78,191.23,76.19,14466.23
1573776000.0,2019-11-15,ETHUSD,193.05,194.32,185,188.36,279.66,52705.06
1573689600.0,2019-11-14,ETHUSD,195.29,198.38,192,193.05,102.65,19936.66
1573603200.0,2019-11-13,ETHUSD,196,196.91,193.07,195.29,133.79,26184.29
1573516800.0,2019-11-12,ETHUSD,195.9,196.79,193.05,196,53.74,10471.86
1573430400.0,2019-11-11,ETHUSD,196.09,198.5,193,195.9,145.49,28414.36
1573344000.0,2019-11-10,ETHUSD,191.43,198.28,190.07,196.09,162.09,31512.27
1573257600.0,2019-11-09,ETHUSD,190.85,192.72,188.37,191.43,49.69,9477.74
1573171200.0,2019-11-08,ETHUSD,190.38,195,188.38,190.85,109.79,20870.39
1573084800.0,2019-11-07,ETHUSD,193.84,195.8,188.66,190.38,117.74,22583.75
1572998400.0,2019-11-06,ETHUSD,194,197.28,191.22,193.84,91.3,17762.19
1572912000.0,2019-11-05,ETHUSD,190.7,195.89,188.1,194,128.06,24686.73
1572825600.0,2019-11-04,ETHUSD,189.89,193.06,186.78,190.7,209.39,39884.1
1572739200.0,2019-11-03,ETHUSD,189.3,189.9,186,189.89,92.93,17522.78
1572652800.0,2019-11-02,ETHUSD,187.9,189.9,186.11,189.3,52.17,9813.56
1572566400.0,2019-11-01,ETHUSD,187.99,189.89,185.24,187.9,69.28,12965.32
1572480000.0,2019-10-31,ETHUSD,184.92,187.99,182.29,187.99,179.41,33058.12
1572393600.0,2019-10-30,ETHUSD,189.8,192.5,183.05,184.92,94.45,17587.08
1572307200.0,2019-10-29,ETHUSD,184.2,192.32,182.6,189.8,149.33,28061.05
1572220800.0,2019-10-28,ETHUSD,184.03,188.65,182.43,184.2,103.63,19119.32
1572134400.0,2019-10-27,ETHUSD,180.91,188.55,178.08,184.03,278.26,51178.18
1572048000.0,2019-10-26,ETHUSD,185,196.65,176.79,180.91,518.24,96194.58
1571961600.0,2019-10-25,ETHUSD,166.9,187.45,166.76,185,244.95,43969.17
1571875200.0,2019-10-24,ETHUSD,171,173.64,166.9,166.9,66.18,11219.05
1571788800.0,2019-10-23,ETHUSD,178,179.5,165.75,171,212.61,36512.26
1571702400.0,2019-10-22,ETHUSD,180.3,181.53,178,178,69.66,12496.95
1571616000.0,2019-10-21,ETHUSD,180.53,184,178,180.3,73.1,13245.11
1571529600.0,2019-10-20,ETHUSD,180.62,184,179.35,180.53,49.24,8940.55
1571443200.0,2019-10-19,ETHUSD,181.27,184.5,180,180.62,37.69,6850.77
1571356800.0,2019-10-18,ETHUSD,185.3,186.99,177.94,181.27,143.38,25964.12
1571270400.0,2019-10-17,ETHUSD,188,188,182,185.3,66.21,12264.28
1571184000.0,2019-10-16,ETHUSD,190.4,190.51,182.77,188,88.06,16304.09
1571097600.0,2019-10-15,ETHUSD,194.06,195.48,188.12,190.4,66.98,12852.16
1571011200.0,2019-10-14,ETHUSD,190.4,196.8,190,194.06,75.22,14509.75
1570924800.0,2019-10-13,ETHUSD,189.66,193.37,189.66,190.4,48.91,9377.45
1570838400.0,2019-10-12,ETHUSD,191.8,195,189.5,189.66,47.69,9186.18
1570752000.0,2019-10-11,ETHUSD,199.52,203.59,190.83,191.8,187.36,36563.42
1570665600.0,2019-10-10,ETHUSD,200.45,202.47,196.12,199.52,155.63,31077.88
1570579200.0,2019-10-09,ETHUSD,189.39,202.6,188.18,200.45,329.43,65431.25
1570492800.0,2019-10-08,ETHUSD,190.9,193.65,186.24,189.39,120.09,22803.91
1570406400.0,2019-10-07,ETHUSD,180.69,193,179,190.9,154.46,28856.99
1570320000.0,2019-10-06,ETHUSD,186.06,188.5,179.23,180.69,128.62,23625.93
1570233600.0,2019-10-05,ETHUSD,188,188.74,183.45,186.06,50.29,9361.49
1570147200.0,2019-10-04,ETHUSD,186.2,189.66,184,188,158.78,29714.28
1570060800.0,2019-10-03,ETHUSD,190.62,190.98,180,186.2,329.79,60832.32
1569974400.0,2019-10-02,ETHUSD,188.73,191.43,187,190.62,113.11,21462.13
1569888000.0,2019-10-01,ETHUSD,190.77,195.2,187.3,188.73,407.45,78026.83
1569801600.0,2019-09-30,ETHUSD,180.21,190.77,177.08,190.77,180.07,33195.28
1569715200.0,2019-09-29,ETHUSD,186.63,186.63,177.54,180.21,109.48,19857.72
1569628800.0,2019-09-28,ETHUSD,186.05,190,182,186.63,312.7,58278.68
1569542400.0,2019-09-27,ETHUSD,177.45,190,174.13,186.05,180.26,32575.72
1569456000.0,2019-09-26,ETHUSD,180.66,183,166.59,177.45,315.0,55013.35
1569369600.0,2019-09-25,ETHUSD,179.45,187.94,172.72,180.66,377.56,67445.4
1569283200.0,2019-09-24,ETHUSD,210.79,210.79,168.68,179.45,533.92,99601.66
1569196800.0,2019-09-23,ETHUSD,218.94,219.76,207.66,210.79,140.99,30288.12
1569110400.0,2019-09-22,ETHUSD,226.27,226.27,214.96,218.94,110.81,24393.14
1569024000.0,2019-09-21,ETHUSD,222.56,227.05,221,226.27,86.15,19336.83
1568937600.0,2019-09-20,ETHUSD,228.74,228.74,220.82,222.56,96.48,21527.68
1568851200.0,2019-09-19,ETHUSD,220.72,231.87,212.21,228.74,379.78,83247.42
1568764800.0,2019-09-18,ETHUSD,216.38,223.5,216.38,220.72,115.6,25477.57
1568678400.0,2019-09-17,ETHUSD,201.39,221,200.8,216.38,215.11,45367.05
1568592000.0,2019-09-16,ETHUSD,195.47,204.18,193.5,201.39,131.0,26035.63
1568505600.0,2019-09-15,ETHUSD,192.88,197,190.2,195.47,97.8,18987.43
1568419200.0,2019-09-14,ETHUSD,185.55,193,184.56,192.88,60.04,11328.15
1568332800.0,2019-09-13,ETHUSD,185.5,186.28,183.5,185.55,54.67,10136.88
1568246400.0,2019-09-12,ETHUSD,184.13,187,183.01,185.5,123.02,22815.6
1568160000.0,2019-09-11,ETHUSD,186.28,189.3,182.71,184.13,93.82,17476.83
1568073600.0,2019-09-10,ETHUSD,186.51,190,184.38,186.28,101.32,18977.63
1567987200.0,2019-09-09,ETHUSD,184.23,191.01,180.59,186.51,114.38,21310.83
1567900800.0,2019-09-08,ETHUSD,182.4,187.08,180.47,184.23,111.96,20617.0
1567814400.0,2019-09-07,ETHUSD,174,184.46,174,182.4,87.26,15624.92
1567728000.0,2019-09-06,ETHUSD,177.38,180.59,172,174,119.33,21089.43
1567641600.0,2019-09-05,ETHUSD,178.69,179.64,175,177.38,79.23,13978.38
1567555200.0,2019-09-04,ETHUSD,183.73,184.51,177.05,178.69,113.55,20507.11
1567468800.0,2019-09-03,ETHUSD,183.48,186.79,180.55,183.73,248.21,45948.53
1567382400.0,2019-09-02,ETHUSD,180.74,187.12,178,183.48,200.37,36818.41
1567296000.0,2019-09-01,ETHUSD,181.49,186.26,178,180.74,424.15,77651.44
1567209600.0,2019-08-31,ETHUSD,178.46,185,175.89,181.49,107.28,19421.27
1567123200.0,2019-08-30,ETHUSD,180.46,181,175.51,178.46,106.53,19019.4
1567036800.0,2019-08-29,ETHUSD,183.16,185,175.9,180.46,345.1,62224.88
1566950400.0,2019-08-28,ETHUSD,194.11,195.75,178.88,183.16,273.46,50272.59
1566864000.0,2019-08-27,ETHUSD,195.2,196.62,192,194.11,100.86,19511.77
1566777600.0,2019-08-26,ETHUSD,195.8,202,193,195.2,123.05,24321.54
1566691200.0,2019-08-25,ETHUSD,200.6,200.73,193.61,195.8,68.3,13481.43
1566604800.0,2019-08-24,ETHUSD,202.57,202.57,197,200.6,76.01,15101.04
1566518400.0,2019-08-23,ETHUSD,200.95,205,199,202.57,63.24,12759.32
1566432000.0,2019-08-22,ETHUSD,195.28,205,193.36,200.95,125.96,25076.57
1566345600.0,2019-08-21,ETHUSD,201.8,204,191.8,195.28,411.56,81314.61
1566259200.0,2019-08-20,ETHUSD,210,210,201.11,201.8,146.63,29861.57
1566172800.0,2019-08-19,ETHUSD,203.43,210,201.5,210,172.01,35522.0
1566086400.0,2019-08-18,ETHUSD,193.2,204,191,203.43,610.5,120051.84
1566000000.0,2019-08-17,ETHUSD,193.37,196.03,191.33,193.2,78.76,15244.67
1565913600.0,2019-08-16,ETHUSD,196.57,198,189.61,193.37,108.42,21023.35
1565827200.0,2019-08-15,ETHUSD,195.67,199.86,187,196.57,245.47,47630.73
1565740800.0,2019-08-14,ETHUSD,213.24,215.5,195.31,195.67,182.28,37020.5
1565654400.0,2019-08-13,ETHUSD,216.5,216.61,210,213.24,87.16,18537.5
1565568000.0,2019-08-12,ETHUSD,217.58,219.5,214,216.5,40.7,8780.74
1565481600.0,2019-08-11,ETHUSD,209.54,220,209.54,217.58,78.84,16957.6
1565395200.0,2019-08-10,ETHUSD,212.76,220,204.32,209.54,136.59,28688.65
1565308800.0,2019-08-09,ETHUSD,222.05,224.07,211.94,212.76,119.25,25759.89
1565222400.0,2019-08-08,ETHUSD,227,227,219.25,222.05,94.44,21035.25
1565136000.0,2019-08-07,ETHUSD,226.86,231.54,222.87,227,88.7,20099.19
1565049600.0,2019-08-06,ETHUSD,234,238.62,226,226.86,195.38,45321.86
1564963200.0,2019-08-05,ETHUSD,225,237.43,225,234,208.57,48715.75
1564876800.0,2019-08-04,ETHUSD,224.24,226,221.8,225,33.19,7429.86
1564790400.0,2019-08-03,ETHUSD,221.58,227.25,220.8,224.24,114.05,25694.44
1564704000.0,2019-08-02,ETHUSD,221.51,226.67,219,221.58,210.58,46980.38
1564617600.0,2019-08-01,ETHUSD,222,222.94,216.03,221.51,122.8,26979.4
