https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume ADA
1665187200000,2022-10-08 00:00:00,ADA/USDT,0.42380985,0.42709985,0.41910306,0.42227041,40484.732283275436,95873.95025684
1665100800000,2022-10-07 00:00:00,ADA/USDT,0.42877684,0.43059441,0.42201752,0.423569,43478.78372452987,102648.64455267
1665014400000,2022-10-06 00:00:00,ADA/USDT,0.43214992,0.43710225,0.42573131,0.42890841,47281.299896475655,110236.35534793
1664928000000,2022-10-05 00:00:00,ADA/USDT,0.43520079,0.43676727,0.42361647,0.43197895,39802.576985852895,92140.08457091
1664841600000,2022-10-04 00:00:00,ADA/USDT,0.42759681,0.43761967,0.42524562,0.43561417,44519.00523929039,102198.24859988
1664755200000,2022-10-03 00:00:00,ADA/USDT,0.41944047,0.42820733,0.41709826,0.4275561,42568.34540374302,99562.01163717
1664668800000,2022-10-02 00:00:00,ADA/USDT,0.43013536,0.432999,0.41765139,0.41941955,40335.87344115454,96170.70411037
1664582400000,2022-10-01 00:00:00,ADA/USDT,0.43375648,0.43606712,0.4285259,0.43067402,39824.61709089825,92470.44224051
1664496000000,2022-09-30 00:00:00,ADA/USDT,0.43796559,0.44081055,0.43,0.43499216,45770.34325511295,105221.07629506
1664409600000,2022-09-29 00:00:00,ADA/USDT,0.43623911,0.43879745,0.4276323,0.43779348,41603.08846892853,95029.02708585
1664323200000,2022-09-28 00:00:00,ADA/USDT,0.44146779,0.44318687,0.42556414,0.43691491,45073.28615735104,103162.61845436
1664236800000,2022-09-27 00:00:00,ADA/USDT,0.44611882,0.46329807,0.43793745,0.44121047,42437.455485633414,96184.1533036
1664150400000,2022-09-26 00:00:00,ADA/USDT,0.44603266,0.45076331,0.43738207,0.4470918,42943.06431380368,96049.76945183
1664064000000,2022-09-25 00:00:00,ADA/USDT,0.45107476,0.46210194,0.43930981,0.44609469,60366.97812075398,135323.23848274
1663977600000,2022-09-24 00:00:00,ADA/USDT,0.46137264,0.46841115,0.4505959,0.45065381,57266.90371559064,127075.15712691
1663891200000,2022-09-23 00:00:00,ADA/USDT,0.45856703,0.48165828,0.44668883,0.46227506,99311.22767895275,214831.46349914
1663804800000,2022-09-22 00:00:00,ADA/USDT,0.43862225,0.46629565,0.43603681,0.4577108,45621.17339065903,99672.48618704
1663718400000,2022-09-21 00:00:00,ADA/USDT,0.44160845,0.46281206,0.43030002,0.43943753,45251.866470509565,102976.79051334
1663632000000,2022-09-20 00:00:00,ADA/USDT,0.45241695,0.45437054,0.43793691,0.44155848,44265.839790058606,100249.09903227
1663545600000,2022-09-19 00:00:00,ADA/USDT,0.44684457,0.45648456,0.43318687,0.45259175,58969.97382686439,130293.9654266
1663459200000,2022-09-18 00:00:00,ADA/USDT,0.48596099,0.48909979,0.44128902,0.44710269,79712.76194077896,178287.36825712
1663372800000,2022-09-17 00:00:00,ADA/USDT,0.47471555,0.48745247,0.47152465,0.4859945,52043.244526102346,107086.07715952
1663286400000,2022-09-16 00:00:00,ADA/USDT,0.46588843,0.47445208,0.45293978,0.47445208,46259.96814331312,97501.87657163
1663200000000,2022-09-15 00:00:00,ADA/USDT,0.47671066,0.48109067,0.46236735,0.46549995,50355.01271759163,108174.04538409
1663113600000,2022-09-14 00:00:00,ADA/USDT,0.46669385,0.48625032,0.46469595,0.48069657,37391.7366521814,77786.56846289
1663027200000,2022-09-13 00:00:00,ADA/USDT,0.50146565,0.50777947,0.46138842,0.46289455,43162.898482408804,93245.63981669
1662940800000,2022-09-12 00:00:00,ADA/USDT,0.50825509,0.51935316,0.49600504,0.50140631,54246.680066277484,108189.06540342
1662854400000,2022-09-11 00:00:00,ADA/USDT,0.5123134,0.51925654,0.50125423,0.5095096,48431.497947926444,95055.12349115
1662768000000,2022-09-10 00:00:00,ADA/USDT,0.50190735,0.52358568,0.49498253,0.51188676,56612.9623627729,110596.6529839
1662681600000,2022-09-09 00:00:00,ADA/USDT,0.47911638,0.50443892,0.47791376,0.50223321,54262.3721804345,108042.18259568
1662595200000,2022-09-08 00:00:00,ADA/USDT,0.47845623,0.48233133,0.46319081,0.47929121,52527.848326841326,109594.85012638
1662508800000,2022-09-07 00:00:00,ADA/USDT,0.4621753,0.48225123,0.45455009,0.47809756,53996.33475731677,112939.99232566
1662422400000,2022-09-06 00:00:00,ADA/USDT,0.49863084,0.51159803,0.46158874,0.46203646,56567.06845140887,122429.88021207
1662336000000,2022-09-05 00:00:00,ADA/USDT,0.50313152,0.50596473,0.48288401,0.49808888,48385.27306058123,97141.84556897
1662249600000,2022-09-04 00:00:00,ADA/USDT,0.47967996,0.50673667,0.4755511,0.50342283,55832.81654459662,110906.40554501
1662163200000,2022-09-03 00:00:00,ADA/USDT,0.4542835,0.48487165,0.45353339,0.47985563,47801.53705182475,99616.49726153
1662076800000,2022-09-02 00:00:00,ADA/USDT,0.45744414,0.46594951,0.44853886,0.45419644,44706.30604019985,98429.45057033
1661990400000,2022-09-01 00:00:00,ADA/USDT,0.44476476,0.462013,0.44134203,0.45720004,43199.603345939235,94487.31313746
1661904000000,2022-08-31 00:00:00,ADA/USDT,0.45287821,0.4632598,0.4445733,0.44480132,40925.15512920395,92007.7196021
