https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FIL,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1674691200000,2023-01-26 00:00:00,FIL/USDT,5.502,5.645,4.5,5.439,8205.70131036,1522.95315,4316.87600949,800.68219,339,5.391816821998541063
1674604800000,2023-01-25 00:00:00,FIL/USDT,4.987,6,4.826,5.485,8698.90076557,1584.10384,6419.06032279,1167.18651,448,5.496133312790861961
1674518400000,2023-01-24 00:00:00,FIL/USDT,5.413,5.538,4.867,4.92,2782.65891744,536.98592,2022.01641846,391.0557,208,5.188444573705683609
1674432000000,2023-01-23 00:00:00,FIL/USDT,5.462,5.757,5.242,5.444,6589.23909111,1210.63585,2553.20276051,462.51497,354,5.448534188788932914
1674345600000,2023-01-22 00:00:00,FIL/USDT,4.999,5.77,4.916,5.422,13559.79105357,2502.46898,6568.868342,1222.99789,741,5.426842579627169075
1674259200000,2023-01-21 00:00:00,FIL/USDT,4.722,5.183,4.711,4.949,5513.94995179,1114.33863,2774.94405176,561.02809,326,4.949877030561623009
1674172800000,2023-01-20 00:00:00,FIL/USDT,4.371,4.768,4.357,4.768,977.34413104,221.503,364.59688667,82.2464,31,4.414366805664017761
1674086400000,2023-01-19 00:00:00,FIL/USDT,4.256,4.42,4.256,4.392,402.30081343,92.51442,330.77039964,75.99165,20,4.348776643889248221
1674000000000,2023-01-18 00:00:00,FIL/USDT,4.69,4.711,4.232,4.272,2483.06502818,548.5828,654.86913307,146.79948,130,4.531448645862447041
1673913600000,2023-01-17 00:00:00,FIL/USDT,4.554,4.832,4.439,4.634,3118.38767117,672.51777,2292.10345094,495.76194,148,4.639965905906916876
1673827200000,2023-01-16 00:00:00,FIL/USDT,4.785,4.825,4.439,4.641,2324.69184175,504.30861,1632.96599072,354.26728,101,4.610818825423784773
1673740800000,2023-01-15 00:00:00,FIL/USDT,4.777,4.973,4.505,4.757,4605.46963648,987.69264,2281.70886995,487.42779,291,4.665460159399074739
1673654400000,2023-01-14 00:00:00,FIL/USDT,4.018,4.834,4.01,4.785,5709.73563833,1301.46201,2351.88507506,540.64089,441,4.397875735476786782
1673568000000,2023-01-13 00:00:00,FIL/USDT,3.892,4.066,3.756,3.976,4195.31155065,1087.79067,917.07284568,235.43619,158,3.858178393038641875
1673481600000,2023-01-12 00:00:00,FIL/USDT,3.722,3.846,3.667,3.836,1736.01601221,462.17099,362.18639774,97.28909,59,3.756719934489854687
1673395200000,2023-01-11 00:00:00,FIL/USDT,3.767,3.767,3.55,3.708,1418.07186554,384.11604,781.39438566,212.31476,50,3.692243401663672767
1673308800000,2023-01-10 00:00:00,FIL/USDT,3.812,3.83,3.66,3.752,1074.94849911,287.72366,662.50680581,177.17305,40,3.73627429501570923
1673222400000,2023-01-09 00:00:00,FIL/USDT,3.454,3.939,3.454,3.822,2050.97251678,542.96893,783.16260615,207.66232,140,3.781906163224906495
1673136000000,2023-01-08 00:00:00,FIL/USDT,3.374,3.456,3.372,3.456,156.1030336,45.62045,87.33037211,25.56925,27,3.421834052635989249
1673049600000,2023-01-07 00:00:00,FIL/USDT,3.352,3.381,3.295,3.295,124.64878546,37.15607,7.4423325,2.21342,13,3.354852220513244299
1672963200000,2023-01-06 00:00:00,FIL/USDT,3.334,3.374,3.23,3.329,1031.29522482,317.29405,288.39497945,88.51831,46,3.250357431192919879
1672876800000,2023-01-05 00:00:00,FIL/USDT,3.327,3.334,3.242,3.291,894.71925908,270.75038,754.93377118,228.34354,35,3.304808284089473622
1672790400000,2023-01-04 00:00:00,FIL/USDT,3.141,3.445,3.138,3.331,1476.28612917,444.71226,492.54380984,148.41305,92,3.321352120415865599
1672704000000,2023-01-03 00:00:00,FIL/USDT,3.14,3.14,3.067,3.08,120.97657119,38.83011,1.0999912,0.35714,7,3.115629252488570218
1672617600000,2023-01-02 00:00:00,FIL/USDT,3.082,3.188,3.049,3.188,744.4102542,240.44464,388.48903659,125.48877,27,3.096174249480428496
1672531200000,2023-01-01 00:00:00,FIL/USDT,3.029,3.141,3.023,3.12,203.50228738,66.70136,140.07115834,46.1992,12,3.051319077408396643
1672444800000,2022-12-31 00:00:00,FIL/USDT,2.987,3.067,2.987,2.995,463.21871256,153.15846,297.76072493,98.63703,12,3.024676035330587893
1672358400000,2022-12-30 00:00:00,FIL/USDT,2.982,2.982,2.938,2.959,118.82021294,40.27869,90.93471462,30.80641,6,2.949970554723027075
1672272000000,2022-12-29 00:00:00,FIL/USDT,3.03,3.141,2.93,2.959,382.54774943,128.7034,375.94774347,126.48632,23,2.972869938085757563
1672185600000,2022-12-28 00:00:00,FIL/USDT,3.081,3.081,2.721,2.995,703.14335136,233.86697,94.9615622,31.35314,23,3.006847959989277822
1672099200000,2022-12-27 00:00:00,FIL/USDT,2.96,3.27,2.96,3.072,823.5064666,260.71957,220.69110385,70.71993,45,3.159562298148224388
1672012800000,2022-12-26 00:00:00,FIL/USDT,2.956,2.974,2.956,2.974,12.7248,4.29,0,0,2,2.966180705394190871
1671926400000,2022-12-25 00:00:00,FIL/USDT,2.962,2.962,2.909,2.923,141.89369017,48.39709,48.88365388,16.63904,9,2.931956224416021894
1671840000000,2022-12-24 00:00:00,FIL/USDT,2.962,2.981,2.938,2.955,1764.73775522,595.95946,1532.59186644,517.57194,44,2.961178643385051101
1671753600000,2022-12-23 00:00:00,FIL/USDT,3.001,3.001,2.959,2.959,571.82246254,190.85921,62.9949816,21.00546,16,2.996069032318256012
1671667200000,2022-12-22 00:00:00,FIL/USDT,2.934,3.11,2.909,2.987,1032.35515406,348.87575,595.99126358,203.06557,56,2.959894283532357246
1671580800000,2022-12-21 00:00:00,FIL/USDT,2.932,2.957,2.895,2.949,795.29945228,271.08087,515.40065882,175.55848,21,2.933897042038661967
1671494400000,2022-12-20 00:00:00,FIL/USDT,2.808,3.103,2.808,2.983,1314.71024884,442.8384,532.45441024,178.91964,61,2.969654185627394962
1671408000000,2022-12-19 00:00:00,FIL/USDT,3.067,3.339,2.7,2.811,5077.02310884,1694.76276,669.84612261,230.78532,232,2.999540577822232269
1671321600000,2022-12-18 00:00:00,FIL/USDT,3.149,3.34,3.065,3.072,1160.15717486,371.39368,226.38215209,72.4898,66,3.124474195187670466
1671235200000,2022-12-17 00:00:00,FIL/USDT,3.03,5.702,3,3.216,17179.8261255,5541.9894,3151.30198112,979.73151,355,3.112376950005404692
1671148800000,2022-12-16 00:00:00,FIL/USDT,4.083,4.083,2.788,3.79,4140.64146618,1209.22147,1777.09385542,524.11212,278,3.472480383803168237
1671062400000,2022-12-15 00:00:00,FIL/USDT,4.182,4.182,4.132,4.132,41.72661578,10.041,0,0,4,4.155649877490735721
1670976000000,2022-12-14 00:00:00,FIL/USDT,4.315,4.359,4.214,4.214,637.42869966,147.48264,468.12574822,108.22848,19,4.322347938325460237
1670889600000,2022-12-13 00:00:00,FIL/USDT,4.232,4.364,4.132,4.296,864.49602626,202.57494,641.43321142,150.59351,28,4.268347311877070091
1670803200000,2022-12-12 00:00:00,FIL/USDT,4.334,4.334,4.157,4.197,1808.0285001,430.11365,684.22556084,164.17148,38,4.203890712165527762
1670716800000,2022-12-11 00:00:00,FIL/USDT,4.384,4.388,4.354,4.354,2300.1464014,528.17379,43.51194306,9.92149,42,4.354910158860621113
1670630400000,2022-12-10 00:00:00,FIL/USDT,4.425,4.425,4.425,4.425,0,0,0,0,0,4.417699090863083382
1670544000000,2022-12-09 00:00:00,FIL/USDT,4.438,4.441,4.406,4.425,456.98000313,103.44355,180.47918196,40.76142,13,4.417699090863083382
1670457600000,2022-12-08 00:00:00,FIL/USDT,4.365,4.416,4.354,4.396,106.12454968,24.32817,44.72535948,10.24518,11,4.362237232865683899
1670371200000,2022-12-07 00:00:00,FIL/USDT,4.492,4.492,4.334,4.335,221.4793361,49.9666,167.59478601,37.61731,16,4.433241532737554557
1670284800000,2022-12-06 00:00:00,FIL/USDT,4.6,4.6,4.544,4.564,125.87330336,27.60568,45.64943296,9.99728,4,4.559701733689687763
1670198400000,2022-12-05 00:00:00,FIL/USDT,4.59,4.615,4.492,4.492,165.9673647,36.16452,151.4299979,32.9537,16,4.589338030178290824
1670112000000,2022-12-04 00:00:00,FIL/USDT,4.456,4.546,4.456,4.546,91.79103786,20.58441,3.37954186,0.74341,2,4.459313599829472502
1670025600000,2022-12-03 00:00:00,FIL/USDT,4.698,4.698,4.437,4.437,370.61978878,81.50535,161.47691997,35.45223,21,4.547399955190271796
1669939200000,2022-12-02 00:00:00,FIL/USDT,4.404,4.655,4.404,4.655,1002.01166492,222.46939,366.01912844,80.55187,43,4.505184227718760867
1669852800000,2022-12-01 00:00:00,FIL/USDT,4.414,4.453,4.346,4.36,552.79327757,125.58647,393.72080753,89.65441,46,4.401809736728579002
1669766400000,2022-11-30 00:00:00,FIL/USDT,4.438,4.491,4.245,4.386,642.95412306,147.32197,185.10254802,42.09497,23,4.36466289772438433
1669680000000,2022-11-29 00:00:00,FIL/USDT,4.247,4.546,4.247,4.345,413.22069172,95.03911,147.11587295,33.76729,26,4.348059465463546169
1669593600000,2022-11-28 00:00:00,FIL/USDT,4.295,4.295,4.165,4.247,140.98391223,33.32272,19.64264222,4.64171,12,4.231529686636572914
1669507200000,2022-11-27 00:00:00,FIL/USDT,4.295,5.308,4.295,4.334,413.99220731,92.95797,387.24314639,86.8807,32,4.456998297262877034
1669420800000,2022-11-26 00:00:00,FIL/USDT,4.314,4.386,4.293,4.293,94.6415886,21.85315,90.6524686,20.93315,5,4.330874328758889829
1669334400000,2022-11-25 00:00:00,FIL/USDT,4.334,4.334,4.266,4.294,88.14715744,20.57599,51.94739614,12.13981,12,4.284048030960531898
1669248000000,2022-11-24 00:00:00,FIL/USDT,4.434,4.434,4.365,4.365,744.64945343,169.86878,447.76980668,102.20252,18,4.383688602178727307
1669161600000,2022-11-23 00:00:00,FIL/USDT,4.386,4.456,4.386,4.438,27.91954348,6.30894,27.84752332,6.29262,9,4.425474838344312352
1669075200000,2022-11-22 00:00:00,FIL/USDT,4.177,4.334,4.132,4.296,123.48117821,28.70677,92.01334084,21.31562,8,4.301916546112052195
1668988800000,2022-11-21 00:00:00,FIL/USDT,4.106,4.212,4.074,4.076,278.12963122,67.51485,126.22137422,30.68223,11,4.119763105385244323
1668902400000,2022-11-20 00:00:00,FIL/USDT,4.404,4.453,4.224,4.224,132.51180427,30.64972,8.10375711,1.84548,10,4.323775970246925984
1668816000000,2022-11-19 00:00:00,FIL/USDT,4.286,4.386,4.275,4.386,44.89558865,10.46754,28.0905495,6.55149,11,4.289226097135714912
1668729600000,2022-11-18 00:00:00,FIL/USDT,4.386,4.386,4.326,4.354,73.56616491,16.85077,47.9023323,10.92855,5,4.36587899909882634
1668643200000,2022-11-17 00:00:00,FIL/USDT,4.283,4.315,4.282,4.315,81.2405424,18.95776,74.976198,17.506,4,4.285362059818054587
1668556800000,2022-11-16 00:00:00,FIL/USDT,4.384,4.493,4.283,4.283,237.6888333,53.44916,225.55179909,50.68399,11,4.447421390984798943
1668470400000,2022-11-15 00:00:00,FIL/USDT,4.352,4.491,4.296,4.414,320.54877099,73.40516,224.96461058,51.44804,33,4.367119422244863921
1668384000000,2022-11-14 00:00:00,FIL/USDT,4.233,4.386,4.058,4.345,1006.74115008,238.48871,484.83900695,116.28827,95,4.223044251560549036
1668297600000,2022-11-13 00:00:00,FIL/USDT,4.301,4.386,4.168,4.292,169.73405279,39.38976,12.01681532,2.7557,30,4.309287615395246576
1668211200000,2022-11-12 00:00:00,FIL/USDT,4.432,4.8,4.243,4.283,579.49595178,131.79602,432.24177324,97.46282,49,4.403079822043998601
1668124800000,2022-11-11 00:00:00,FIL/USDT,4.647,4.686,4.226,4.438,1259.36185801,280.75621,1118.25368466,248.90152,163,4.489712004788565568
1668038400000,2022-11-10 00:00:00,FIL/USDT,4.283,4.768,4.132,4.655,1505.85759196,338.26069,717.87635303,161.0647,60,4.457683729471563022
1667952000000,2022-11-09 00:00:00,FIL/USDT,4.76,4.825,4.006,4.334,4163.63134889,919.62845,1961.85486524,438.87604,201,4.532082317438944522
1667865600000,2022-11-08 00:00:00,FIL/USDT,5.638,5.781,4.529,4.803,5286.29830377,1011.16826,214.93000808,40.63759,530,5.240885112309320968
