https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MATIC,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1697500800000,2023-10-17 00:00:00,MATIC/USDT,0.53348,0.53459,0.51586,0.5191,4526131.2155,8594328.5017,2346922.2167,4456156.0145,104563,0.52668
1697414400000,2023-10-16 00:00:00,MATIC/USDT,0.51498,0.54177,0.51395,0.53341,3707016.6903,7046468.7765,1902736.0395,3616667.8839,87965,0.52613
1697328000000,2023-10-15 00:00:00,MATIC/USDT,0.51743,0.52042,0.51292,0.51535,1614229.7241,3125156.7309,826978.2036,1601105.9126,36918,0.51653
1697241600000,2023-10-14 00:00:00,MATIC/USDT,0.51483,0.52167,0.51409,0.51743,1963460.0212,3790129.938,1002049.4319,1934320.0994,45210,0.51804
1697155200000,2023-10-13 00:00:00,MATIC/USDT,0.50768,0.52469,0.50686,0.51488,2407298.394,4702421.7372,1232026.3127,2406691.8785,54833,0.51194
1697068800000,2023-10-12 00:00:00,MATIC/USDT,0.51432,0.51655,0.50107,0.50783,2709352.808,5313194.0107,1388750.5553,2723520.6606,62433,0.50995
1696982400000,2023-10-11 00:00:00,MATIC/USDT,0.51761,0.52288,0.50674,0.5144,3139336.8827,6095514.0732,1621694.9909,3148883.0484,71679,0.51504
1696896000000,2023-10-10 00:00:00,MATIC/USDT,0.5289,0.53408,0.51128,0.51744,3931244.2063,7492730.3087,2012837.4774,3836442.9497,88642,0.52474
1696809600000,2023-10-09 00:00:00,MATIC/USDT,0.56073,0.56087,0.52146,0.52923,5180165.8384,9555559.2846,2662538.3634,4911919.909,117572,0.54238
1696723200000,2023-10-08 00:00:00,MATIC/USDT,0.5639,0.56872,0.55626,0.56075,5204829.8249,9266639.8767,2674207.9858,4761290.9601,116785,0.56168
1696636800000,2023-10-07 00:00:00,MATIC/USDT,0.56357,0.58107,0.5626,0.56407,7150126.3007,12514863.6742,3697080.1158,6470755.87,165690,0.57135
1696550400000,2023-10-06 00:00:00,MATIC/USDT,0.54509,0.56979,0.54482,0.56351,8393468.5536,15087610.2271,4289759.8847,7711404.5941,191804,0.55639
1696464000000,2023-10-05 00:00:00,MATIC/USDT,0.5619,0.56666,0.54421,0.54484,7749872.9361,13938751.7887,3902598.2539,7019216.4098,177561,0.55606
1696377600000,2023-10-04 00:00:00,MATIC/USDT,0.56654,0.59853,0.5508,0.5622,8166426.688,14361229.2612,4172535.5899,7338418.4734,193507,0.56887
1696291200000,2023-10-03 00:00:00,MATIC/USDT,0.54711,0.57943,0.54673,0.56661,10645578.7563,18912773.7124,5504042.5446,9778037.3964,236777,0.56295
1696204800000,2023-10-02 00:00:00,MATIC/USDT,0.56937,0.57097,0.54395,0.54704,4360876.525,7815801.6339,2226393.5872,3990654.3837,104872,0.55804
1696118400000,2023-10-01 00:00:00,MATIC/USDT,0.53279,0.57452,0.53213,0.56863,2263314.907,4131680.6496,1143026.0233,2086739.0608,55863,0.54803
1696032000000,2023-09-30 00:00:00,MATIC/USDT,0.52582,0.53728,0.5242,0.53287,2530018.6259,4784103.0859,1289110.7341,2437609.4765,59473,0.52885
1695945600000,2023-09-29 00:00:00,MATIC/USDT,0.5201,0.52778,0.51678,0.52582,3986901.226,7635836.7255,2034538.2526,3896818.6164,93488,0.52214
1695859200000,2023-09-28 00:00:00,MATIC/USDT,0.50377,0.52317,0.50288,0.51976,4056533.9136,7913387.3681,2096836.1887,4089892.5005,93558,0.51267
1695772800000,2023-09-27 00:00:00,MATIC/USDT,0.50979,0.51653,0.50063,0.50377,3010133.6012,5936685.2627,1537282.8933,3032115.3203,70662,0.50706
1695686400000,2023-09-26 00:00:00,MATIC/USDT,0.51946,0.52605,0.50664,0.50983,2338046.6208,4510479.9149,1221370.1954,2356154.1632,53683,0.51838
1695600000000,2023-09-25 00:00:00,MATIC/USDT,0.51276,0.51996,0.50776,0.51944,2640659.8279,5125155.1068,1349501.1754,2619300.6019,61346,0.51524
1695513600000,2023-09-24 00:00:00,MATIC/USDT,0.52075,0.52614,0.5112,0.51348,998574.2937,1919276.9086,511070.6446,982135.0828,23745,0.52029
1695427200000,2023-09-23 00:00:00,MATIC/USDT,0.52085,0.5235,0.51877,0.52086,1319712.6997,2532469.2632,668686.6049,1283160.3556,31737,0.52111
1695340800000,2023-09-22 00:00:00,MATIC/USDT,0.51931,0.52448,0.51525,0.521,2061169.8385,3956855.4035,1073324.7806,2060478.9062,47688,0.52091
1695254400000,2023-09-21 00:00:00,MATIC/USDT,0.54047,0.54362,0.51835,0.51949,2565167.1948,4832638.6658,1324037.2332,2494282.3045,58951,0.53089
1695168000000,2023-09-20 00:00:00,MATIC/USDT,0.5446,0.54935,0.53471,0.54096,2373171.7146,4382626.4818,1223170.6889,2258806.3952,55295,0.5415
1695081600000,2023-09-19 00:00:00,MATIC/USDT,0.52625,0.54584,0.52459,0.54429,2645447.5663,4940500.5,1367303.372,2553124.0946,60785,0.53553
1694995200000,2023-09-18 00:00:00,MATIC/USDT,0.51733,0.53484,0.51237,0.52624,2301999.6285,4373743.8446,1148764.5108,2182481.4985,53513,0.52636
1694908800000,2023-09-17 00:00:00,MATIC/USDT,0.52849,0.5285,0.513,0.51739,1476891.4369,2833186.8402,775407.8336,1487424.7817,35230,0.52129
1694822400000,2023-09-16 00:00:00,MATIC/USDT,0.53029,0.53641,0.52408,0.52848,2119326.5789,4009042.3053,1070041.2645,2024136.4539,49829,0.52864
1694736000000,2023-09-15 00:00:00,MATIC/USDT,0.52234,0.53471,0.5151,0.53002,2179079.5411,4170633.2807,1117913.0093,2139721.6082,50386,0.5225
1694649600000,2023-09-14 00:00:00,MATIC/USDT,0.51363,0.52715,0.51317,0.52233,2766600.559,5317330.9626,1428890.0307,2746360.9417,65261,0.52031
1694563200000,2023-09-13 00:00:00,MATIC/USDT,0.50643,0.52374,0.50495,0.51334,3286532.2889,6419268.6505,1671479.6486,3264777.1224,79654,0.51199
1694476800000,2023-09-12 00:00:00,MATIC/USDT,0.50322,0.51861,0.50015,0.5065,4294972.6629,8453512.9113,2185992.635,4302566.5658,103105,0.50808
1694390400000,2023-09-11 00:00:00,MATIC/USDT,0.52317,0.52455,0.4927,0.50366,3623051.5722,7132218.5901,1890529.4588,3722163.0796,87504,0.50813
1694304000000,2023-09-10 00:00:00,MATIC/USDT,0.53947,0.53954,0.51386,0.52323,2439801.8185,4639365.1466,1250073.9808,2377061.8804,59355,0.52595
1694217600000,2023-09-09 00:00:00,MATIC/USDT,0.54365,0.54371,0.53919,0.53945,3338298.5831,6163969.5909,1735984.1323,3205333.7563,77526,0.54158
1694131200000,2023-09-08 00:00:00,MATIC/USDT,0.55531,0.55841,0.53363,0.54356,6062480.7473,11127215.1285,3122888.6385,5731753.845,141740,0.54486
1694044800000,2023-09-07 00:00:00,MATIC/USDT,0.55865,0.5652,0.55013,0.55528,5993591.6143,10758386.7584,3068884.0751,5508178.0638,137015,0.55713
1693958400000,2023-09-06 00:00:00,MATIC/USDT,0.55815,0.56892,0.54352,0.55855,5717471.0329,10275969.357,3017852.5268,5424512.5041,127345,0.55643
1693872000000,2023-09-05 00:00:00,MATIC/USDT,0.5543,0.56664,0.55053,0.55837,7163443.4359,12847760.6788,3595130.7022,6448360.3472,144394,0.55758
1693785600000,2023-09-04 00:00:00,MATIC/USDT,0.54202,0.55466,0.53992,0.5544,13606301.1113,24899292.4341,7075628.4294,12947566.5588,296610,0.54647
1693699200000,2023-09-03 00:00:00,MATIC/USDT,0.54077,0.54632,0.53741,0.54198,22975558.8064,42388795.5667,11848383.1022,21859389.8016,506510,0.54202
1693612800000,2023-09-02 00:00:00,MATIC/USDT,0.54044,0.54726,0.53592,0.54079,21887045.1495,40417014.0589,11335068.6193,20931518.3283,480729,0.54153
1693526400000,2023-09-01 00:00:00,MATIC/USDT,0.54951,0.554,0.53153,0.54034,20870751.7542,38229987.6677,10835939.2805,19848004.3769,475083,0.54597
1693440000000,2023-08-31 00:00:00,MATIC/USDT,0.57481,0.58901,0.54296,0.54958,22708533.1059,39946336.6724,11825620.8324,20801504.5854,529821,0.56877
1693353600000,2023-08-30 00:00:00,MATIC/USDT,0.59352,0.59475,0.56667,0.57498,25312361.9069,43913796.5668,13419538.8702,23281440.3403,563564,0.57646
1693267200000,2023-08-29 00:00:00,MATIC/USDT,0.56202,0.63013,0.55201,0.59375,12767301.7888,22354074.7675,6685223.6343,11701837.9188,326495,0.57171
1693180800000,2023-08-28 00:00:00,MATIC/USDT,0.55593,0.56739,0.54594,0.56213,15432324.1081,27729581.245,7796997.7223,14009175.8571,379035,0.55657
1693094400000,2023-08-27 00:00:00,MATIC/USDT,0.54844,0.5654,0.54502,0.55595,22329183.7564,40532988.1002,11717094.8498,21268561.7517,516455,0.55092
1693008000000,2023-08-26 00:00:00,MATIC/USDT,0.54674,0.54922,0.54397,0.54831,23783748.5007,43491826.8285,12372279.8369,22624263.2325,518730,0.54685
1692921600000,2023-08-25 00:00:00,MATIC/USDT,0.54706,0.55612,0.5358,0.5467,23632514.9101,43526201.5783,12628985.0175,23259808.0717,522280,0.54296
1692835200000,2023-08-24 00:00:00,MATIC/USDT,0.55734,0.56062,0.53754,0.54723,23858437.7742,43281821.547,12607912.302,22871845.0597,518478,0.5513
1692748800000,2023-08-23 00:00:00,MATIC/USDT,0.54876,0.57051,0.54415,0.55754,22662518.699,40906957.0083,11934086.9196,21541191.8586,516023,0.55405
1692662400000,2023-08-22 00:00:00,MATIC/USDT,0.55687,0.55832,0.52875,0.54864,23656673.4905,43532153.1017,12489154.3889,22983044.3272,519858,0.54353
1692576000000,2023-08-21 00:00:00,MATIC/USDT,0.58018,0.58078,0.55068,0.55694,25122225.0805,44308242.2346,13776160.4441,24286200.3636,681463,0.56708
1692489600000,2023-08-20 00:00:00,MATIC/USDT,0.57705,0.58076,0.57007,0.58021,37774737.6444,65565714.436,22031659.325,38240387.5464,1246451,0.57614
1692403200000,2023-08-19 00:00:00,MATIC/USDT,0.57758,0.58842,0.57142,0.5771,28290135.2986,48855499.7032,16279853.7707,28114739.7369,975886,0.57907
1692316800000,2023-08-18 00:00:00,MATIC/USDT,0.57185,0.5848,0.56454,0.57749,18990467.84,33018278.8706,10703004.5063,18608546.1458,782968,0.57518
1692230400000,2023-08-17 00:00:00,MATIC/USDT,0.62381,0.62815,0.53871,0.57229,13095948.9066,21557776.4067,7337284.5868,12076761.258,740765,0.60792
1692144000000,2023-08-16 00:00:00,MATIC/USDT,0.63877,0.6392,0.60528,0.62377,9887377.718,15791671.0775,5554058.841,8870919.9369,564880,0.62617
1692057600000,2023-08-15 00:00:00,MATIC/USDT,0.67957,0.68001,0.62207,0.63906,12613413.1872,18879773.8164,7101301.817,10629249.026,573577,0.66838
1691971200000,2023-08-14 00:00:00,MATIC/USDT,0.67727,0.68574,0.6714,0.67952,19052965.5385,28008521.1779,10692231.5138,15718081.7669,650392,0.68026
1691884800000,2023-08-13 00:00:00,MATIC/USDT,0.68216,0.69198,0.67401,0.67748,18207459.271,26761373.8181,10346972.2512,15207840.254,691953,0.68037
