https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USD
1693785600,2023-09-04 00:00:00,LTC/USD,63.89,64.97,63.05,63.71,2467.27292990,157189.95836392898
1693699200,2023-09-03 00:00:00,LTC/USD,64.61,64.89,63.64,63.93,1953.87683178,124911.3458556954
1693612800,2023-09-02 00:00:00,LTC/USD,63.03,64.69,63.03,64.56,2462.72347863,158993.4277803528
1693526400,2023-09-01 00:00:00,LTC/USD,63.99,64.25,61.90,63.03,3485.18108797,219670.96397474912
1693440000,2023-08-31 00:00:00,LTC/USD,67.61,68.30,63.15,63.92,6951.87218155,444363.66984467604
1693353600,2023-08-30 00:00:00,LTC/USD,68.93,68.95,66.55,67.62,2452.17858650,165816.31601913003
1693267200,2023-08-29 00:00:00,LTC/USD,65.44,70.44,64.62,68.91,9560.46881092,658811.9057604971
1693180800,2023-08-28 00:00:00,LTC/USD,65.29,65.66,64.01,65.57,5666.81223021,371572.87793486967
1693094400,2023-08-27 00:00:00,LTC/USD,65.11,65.86,64.84,65.33,997.46431134,65164.343459842195
1693008000,2023-08-26 00:00:00,LTC/USD,65.10,65.46,64.92,65.00,857.16662073,55715.83034745
1692921600,2023-08-25 00:00:00,LTC/USD,64.82,65.40,63.58,65.13,4510.37603772,293760.7913367036
1692835200,2023-08-24 00:00:00,LTC/USD,65.57,65.82,63.93,64.85,3545.16492014,229903.94507107898
1692748800,2023-08-23 00:00:00,LTC/USD,64.78,66.68,64.05,65.67,5513.04455866,362041.6361672022
1692662400,2023-08-22 00:00:00,LTC/USD,67.02,67.33,62.05,64.53,9247.30867790,596728.828984887
1692576000,2023-08-21 00:00:00,LTC/USD,65.52,67.17,64.39,66.92,8422.08907326,563606.2007825592
1692489600,2023-08-20 00:00:00,LTC/USD,64.06,65.83,64.02,65.22,1381.54056129,90104.07540733379
1692403200,2023-08-19 00:00:00,LTC/USD,63.98,64.92,63.57,64.10,6107.64711755,391500.180234955
1692316800,2023-08-18 00:00:00,LTC/USD,64.69,65.90,63.12,64.01,8234.58232463,527095.6145995663
1692230400,2023-08-17 00:00:00,LTC/USD,74.29,75.66,57.40,64.86,15927.31009302,1033045.3326332772
1692144000,2023-08-16 00:00:00,LTC/USD,79.28,79.43,72.93,74.46,11615.14828035,864863.940954861
1692057600,2023-08-15 00:00:00,LTC/USD,82.11,82.12,77.21,79.21,6035.82566512,478097.75093415513
1691971200,2023-08-14 00:00:00,LTC/USD,81.83,83.02,81.60,82.02,3290.40884623,269879.3335677846
1691884800,2023-08-13 00:00:00,LTC/USD,83.39,83.58,81.03,81.95,2155.45840504,176639.816293028
1691798400,2023-08-12 00:00:00,LTC/USD,83.47,83.88,83.29,83.37,776.34660116,64724.0161387092
1691712000,2023-08-11 00:00:00,LTC/USD,83.21,83.52,82.58,83.50,1805.69386408,150775.43765068
1691625600,2023-08-10 00:00:00,LTC/USD,84.04,84.27,82.61,83.01,2270.79408214,188498.6167584414
1691539200,2023-08-09 00:00:00,LTC/USD,83.83,84.53,83.27,84.02,4036.42432726,339140.3719763852
1691452800,2023-08-08 00:00:00,LTC/USD,82.36,85.32,81.71,83.91,5078.06711574,426100.6116817434
1691366400,2023-08-07 00:00:00,LTC/USD,82.53,83.19,79.31,82.27,7551.55577737,621266.4938042299
1691280000,2023-08-06 00:00:00,LTC/USD,82.98,83.38,81.65,82.47,3370.72081655,277983.3457408785
1691193600,2023-08-05 00:00:00,LTC/USD,82.13,83.29,81.39,83.06,5337.69275220,443348.759997732
1691107200,2023-08-04 00:00:00,LTC/USD,82.42,83.77,80.72,82.08,12422.34152563,1019625.7924237103
1691020800,2023-08-03 00:00:00,LTC/USD,87.41,88.32,81.01,82.41,9004.59735352,742068.8679035831
1690934400,2023-08-02 00:00:00,LTC/USD,94.04,94.42,85.82,87.45,17078.30325554,1493497.619696973
1690848000,2023-08-01 00:00:00,LTC/USD,92.33,93.97,88.00,93.70,9685.27192030,907509.97893211
1690761600,2023-07-31 00:00:00,LTC/USD,93.90,94.87,91.18,92.26,5767.75930788,532133.4737450088
1690675200,2023-07-30 00:00:00,LTC/USD,94.38,104.99,90.98,94.06,29316.73869581,2757532.441727889
1690588800,2023-07-29 00:00:00,LTC/USD,91.62,94.86,90.86,94.43,5036.89121829,475633.63774312474
1690502400,2023-07-28 00:00:00,LTC/USD,90.67,91.97,90.49,91.52,2681.32789260,245395.12873075198
1690416000,2023-07-27 00:00:00,LTC/USD,90.63,91.89,89.71,90.47,2976.95131902,269324.7858317394
1690329600,2023-07-26 00:00:00,LTC/USD,89.40,91.14,88.54,90.71,4298.59413861,389925.4743133131
1690243200,2023-07-25 00:00:00,LTC/USD,89.09,90.12,88.61,89.53,5631.91043395,504224.9411515435
1690156800,2023-07-24 00:00:00,LTC/USD,93.19,93.24,87.41,89.18,6787.24516609,605286.5239119062
1690070400,2023-07-23 00:00:00,LTC/USD,91.87,93.58,91.70,93.28,2165.59083897,202006.3134591216
1689984000,2023-07-22 00:00:00,LTC/USD,94.20,96.39,91.19,92.02,5903.37108404,543228.2071533608
1689897600,2023-07-21 00:00:00,LTC/USD,92.24,94.69,91.82,94.05,2985.47095251,280783.5430835655
1689811200,2023-07-20 00:00:00,LTC/USD,91.98,94.92,91.50,92.34,9487.80114728,876103.5579398354
1689724800,2023-07-19 00:00:00,LTC/USD,91.62,94.10,91.62,91.98,5167.86974221,475340.65888847585
1689638400,2023-07-18 00:00:00,LTC/USD,92.22,92.90,89.36,91.64,4305.50336756,394556.3286031984
1689552000,2023-07-17 00:00:00,LTC/USD,93.08,93.61,89.33,92.24,6256.84842212,577131.6984563487
1689465600,2023-07-16 00:00:00,LTC/USD,94.84,95.36,91.87,93.03,2225.13628128,207004.42824747838
1689379200,2023-07-15 00:00:00,LTC/USD,94.49,95.82,93.79,94.68,2571.80219760,243498.232068768
1689292800,2023-07-14 00:00:00,LTC/USD,101.83,103.60,92.36,95.21,14254.10500535,1357133.3375593734
