https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume LINK,Volume USDT,tradecount
1585353600000,2020-03-28,LINKUSDT,2.1372,2.1544,2.0372,2.1364,11038170.15,23165235.569611,71702
1585267200000,2020-03-27,LINKUSDT,2.3125,2.3599,2.1055,2.1373,8151561.2,18458235.878502,60044
1585180800000,2020-03-26,LINKUSDT,2.2569,2.3132,2.1884,2.3132,6818801.71,15381812.42816,51855
1585094400000,2020-03-25,LINKUSDT,2.3109,2.35,2.1804,2.257,11321064.3,25603393.547877,80450
1585008000000,2020-03-24,LINKUSDT,2.247,2.3709,2.195,2.3104,18400021.32,42125779.988059,117439
1584921600000,2020-03-23,LINKUSDT,1.9889,2.3,1.9352,2.2468,23688851.36,50113221.86206,150383
1584835200000,2020-03-22,LINKUSDT,2.2754,2.33,1.9334,1.9898,21634031.69,45651954.71691,139879
1584748800000,2020-03-21,LINKUSDT,2.2631,2.375,2.105,2.2787,19488573.19,43555963.344588,142713
1584662400000,2020-03-20,LINKUSDT,2.2409,2.6249,2.0143,2.26,39390658.87,92950604.203597,266204
1584576000000,2020-03-19,LINKUSDT,1.9497,2.37,1.8841,2.2398,33408982.34,72131641.874988,211883
1584489600000,2020-03-18,LINKUSDT,1.866,1.9543,1.762,1.9483,22313474.3,41616263.148234,152303
1584403200000,2020-03-17,LINKUSDT,1.7832,2.069,1.73,1.8641,32839078.68,63607268.71138,216429
1584316800000,2020-03-16,LINKUSDT,2.0868,2.0898,1.5571,1.7832,47175196.27,83730824.597792,282101
1584230400000,2020-03-15,LINKUSDT,2.1401,2.4,2.015,2.0884,24056586.5,51979848.940518,155416
1584144000000,2020-03-14,LINKUSDT,2.4328,2.5141,2.0607,2.1379,21644199.58,49665845.0193,164059
1584057600000,2020-03-13,LINKUSDT,1.999,2.752,1.36,2.4333,73634341.0,158669681.822411,452861
1583971200000,2020-03-12,LINKUSDT,3.817,3.8519,0.0001,1.9931,72676626.17,190728042.065768,432243
1583884800000,2020-03-11,LINKUSDT,4.0842,4.11,3.5514,3.8169,19593491.56,74775482.53567,206382
1583798400000,2020-03-10,LINKUSDT,4.1237,4.2119,3.9132,4.0839,18071323.59,73423955.1774,183772
1583712000000,2020-03-09,LINKUSDT,4.0537,4.369,3.6012,4.1231,29055644.52,117048733.6128,234015
1583625600000,2020-03-08,LINKUSDT,4.3468,4.4646,3.85,4.0537,18324667.26,76704000.260849,159751
1583539200000,2020-03-07,LINKUSDT,4.6813,4.6863,4.3143,4.3412,8209506.85,37077348.439829,76471
1583452800000,2020-03-06,LINKUSDT,4.7144,4.78,4.5429,4.6814,7667605.13,35594630.161441,85892
1583366400000,2020-03-05,LINKUSDT,4.6388,4.899,4.6239,4.7151,11867449.08,56507767.004489,151802
1583280000000,2020-03-04,LINKUSDT,4.5873,4.9762,4.5333,4.6406,18623299.51,88271977.43112,200285
1583193600000,2020-03-03,LINKUSDT,4.2421,4.68,4.1249,4.5846,17189323.0,75145836.87199,186840
1583107200000,2020-03-02,LINKUSDT,3.8622,4.3435,3.8173,4.2423,12656156.05,52493228.923206,126321
1583020800000,2020-03-01,LINKUSDT,4.06,4.2385,3.7607,3.859,14748523.07,58869388.27488,166679
1582934400000,2020-02-29,LINKUSDT,4.1614,4.3535,4.0572,4.0579,12512141.06,52784929.732009,139262
1582848000000,2020-02-28,LINKUSDT,3.9568,4.2395,3.75,4.1609,18277736.2,72869826.761623,194537
1582761600000,2020-02-27,LINKUSDT,3.5648,4.132,3.4197,3.9579,19252934.55,73709388.667313,202340
1582675200000,2020-02-26,LINKUSDT,3.4874,3.8587,3.3113,3.5648,22248039.55,79253903.994869,203425
1582588800000,2020-02-25,LINKUSDT,3.9179,3.96,3.4864,3.4905,12394531.52,45560015.711433,132649
1582502400000,2020-02-24,LINKUSDT,4.2366,4.2871,3.7916,3.9148,8591286.07,34393400.24606,87016
1582416000000,2020-02-23,LINKUSDT,4.1006,4.3768,4.0693,4.2365,5652318.24,24032570.083964,63222
1582329600000,2020-02-22,LINKUSDT,4.2789,4.35,4.0332,4.1066,6716454.02,27976312.645338,74109
1582243200000,2020-02-21,LINKUSDT,4.2666,4.5127,4.184,4.2778,7730080.2,33610465.144214,86900
1582156800000,2020-02-20,LINKUSDT,4.384,4.4865,4.0673,4.2644,11478760.65,48988610.962952,130166
1582070400000,2020-02-19,LINKUSDT,4.5539,4.8355,4.193,4.3873,10109760.48,46417990.67109,108921
1581984000000,2020-02-18,LINKUSDT,4.3059,4.636,4.1416,4.5523,11931206.57,52870430.990999,127067
1581897600000,2020-02-17,LINKUSDT,4.4563,4.5522,3.8449,4.3108,19343142.25,80859272.12602,203214
1581811200000,2020-02-16,LINKUSDT,4.3215,4.8671,4.0384,4.4566,22171359.69,99672983.283162,239160
1581724800000,2020-02-15,LINKUSDT,4.4262,4.621,4.065,4.3241,15608978.06,68514672.461874,163882
1581638400000,2020-02-14,LINKUSDT,3.8753,4.487,3.7873,4.426,10369344.95,43468717.183474,110173
1581552000000,2020-02-13,LINKUSDT,3.993,4.1147,3.7123,3.8765,8232595.29,32416055.398167,89477
1581465600000,2020-02-12,LINKUSDT,3.9937,4.2,3.8472,3.9953,13673147.31,55003441.647905,143053
1581379200000,2020-02-11,LINKUSDT,3.3874,3.9964,3.35,3.9931,11780106.07,43237892.692082,118440
1581292800000,2020-02-10,LINKUSDT,3.4927,3.4972,3.2806,3.3862,6758374.35,22873780.17518,72032
1581206400000,2020-02-09,LINKUSDT,3.4179,3.4984,3.233,3.4945,6151025.56,20655537.547869,60824
1581120000000,2020-02-08,LINKUSDT,3.3071,3.4865,3.131,3.4171,10059760.55,33442719.414118,104763
