https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume SOL,Volume USDT,tradecount
1688774400000,2023-07-08,SOLUSDT,21.51,22.5,21.32,21.81,6473021.26,141295328.4756,264889
1688688000000,2023-07-07,SOLUSDT,19.61,21.9,19.26,21.5,9794096.48,201924527.8472,384122
1688601600000,2023-07-06,SOLUSDT,18.99,21.0,18.82,19.61,9598016.99,191792798.087,372425
1688515200000,2023-07-05,SOLUSDT,19.14,19.53,18.32,19.0,2415908.51,45542827.1218,114667
1688428800000,2023-07-04,SOLUSDT,19.25,19.94,19.06,19.13,3096292.18,60240000.1787,126023
1688342400000,2023-07-03,SOLUSDT,19.46,19.66,18.87,19.26,3065186.84,59024387.909,124367
1688256000000,2023-07-02,SOLUSDT,18.7,19.74,18.53,19.45,4872775.08,93143280.6398,197708
1688169600000,2023-07-01,SOLUSDT,18.85,19.0,17.9,18.7,3515091.93,64576714.604,138180
1688083200000,2023-06-30,SOLUSDT,18.0,20.03,17.01,18.86,11454016.49,213782011.5099,434580
1687996800000,2023-06-29,SOLUSDT,15.98,18.28,15.87,17.99,7948251.73,138922032.3826,281100
1687910400000,2023-06-28,SOLUSDT,16.63,16.65,15.6,15.97,4040252.29,65244690.9615,129721
1687824000000,2023-06-27,SOLUSDT,16.27,16.93,16.13,16.63,2951107.45,48945681.0979,94192
1687737600000,2023-06-26,SOLUSDT,16.96,17.12,15.89,16.27,3056592.4,50708531.8759,118719
1687651200000,2023-06-25,SOLUSDT,16.64,17.38,16.57,16.96,2723041.25,46423157.9487,109594
1687564800000,2023-06-24,SOLUSDT,17.14,17.53,16.37,16.64,2908701.89,49434893.8546,106882
1687478400000,2023-06-23,SOLUSDT,16.62,17.53,16.16,17.13,4851596.52,81683374.9206,152991
1687392000000,2023-06-22,SOLUSDT,17.23,17.75,16.57,16.62,3547312.43,60681208.2693,117978
1687305600000,2023-06-21,SOLUSDT,16.65,17.4,16.54,17.23,4146918.99,70174971.8578,141146
1687219200000,2023-06-20,SOLUSDT,16.1,16.69,15.73,16.64,3005581.72,48599821.6509,115323
1687132800000,2023-06-19,SOLUSDT,15.45,16.14,15.34,16.1,1890318.27,29630700.9155,73328
1687046400000,2023-06-18,SOLUSDT,15.65,15.84,15.28,15.45,1603688.44,24988841.2491,64825
1686960000000,2023-06-17,SOLUSDT,15.32,16.12,15.16,15.64,2500321.4,39363071.3267,90284
1686873600000,2023-06-16,SOLUSDT,14.78,15.47,14.38,15.31,2809890.09,42032019.3608,100067
1686787200000,2023-06-15,SOLUSDT,14.49,15.08,14.18,14.77,4700648.85,68956600.1054,150206
1686700800000,2023-06-14,SOLUSDT,15.03,15.37,14.06,14.48,3978891.53,59168861.0578,119760
1686614400000,2023-06-13,SOLUSDT,15.19,16.0,14.76,15.04,4814274.27,73501068.0974,137385
1686528000000,2023-06-12,SOLUSDT,15.55,15.69,14.74,15.19,5195357.99,79018834.5821,143884
1686441600000,2023-06-11,SOLUSDT,15.61,16.18,15.11,15.55,6064017.28,94450259.4782,171966
1686355200000,2023-06-10,SOLUSDT,17.4,17.43,12.8,15.61,17211734.83,257899669.9241,546884
1686268800000,2023-06-09,SOLUSDT,18.88,19.37,17.11,17.4,4755455.49,86834563.3293,151879
1686182400000,2023-06-08,SOLUSDT,18.64,19.11,18.23,18.89,2669714.01,49983556.2839,96458
1686096000000,2023-06-07,SOLUSDT,20.38,20.53,18.5,18.64,3842270.95,74564492.2795,131089
1686009600000,2023-06-06,SOLUSDT,20.01,20.7,19.23,20.38,4383534.14,87570026.4616,151125
1685923200000,2023-06-05,SOLUSDT,21.83,22.06,19.03,20.0,6215040.24,128314404.5497,236131
1685836800000,2023-06-04,SOLUSDT,21.19,22.3,21.03,21.82,2800007.16,61235931.7012,113651
1685750400000,2023-06-03,SOLUSDT,21.26,21.35,20.95,21.19,1130915.88,23911838.3216,43087
1685664000000,2023-06-02,SOLUSDT,20.49,21.37,20.3,21.26,2068166.11,43533850.4529,71386
1685577600000,2023-06-01,SOLUSDT,20.82,20.98,20.41,20.49,1732297.47,35827115.892,85430
1685491200000,2023-05-31,SOLUSDT,21.25,21.33,20.37,20.81,2050625.96,42487752.8681,78634
1685404800000,2023-05-30,SOLUSDT,20.57,21.4,20.46,21.25,3192653.91,67259618.8489,119873
1685318400000,2023-05-29,SOLUSDT,20.81,20.98,20.26,20.57,2222352.38,45832375.1958,92379
1685232000000,2023-05-28,SOLUSDT,20.42,21.19,20.29,20.81,2874459.57,59442842.8656,112931
1685145600000,2023-05-27,SOLUSDT,19.35,20.54,19.33,20.43,1565995.03,31175014.0542,68435
1685059200000,2023-05-26,SOLUSDT,19.25,19.56,19.08,19.35,1034272.52,19995752.4831,40268
1684972800000,2023-05-25,SOLUSDT,19.22,19.58,18.77,19.25,1692742.89,32636649.6644,74514
1684886400000,2023-05-24,SOLUSDT,20.02,20.07,18.66,19.22,2780601.57,53714029.7822,95272
1684800000000,2023-05-23,SOLUSDT,19.52,20.18,19.42,20.02,2466255.33,49125104.3996,69834
1684713600000,2023-05-22,SOLUSDT,19.61,20.03,19.28,19.53,2054927.32,40435124.8665,62601
1684627200000,2023-05-21,SOLUSDT,20.28,20.39,19.33,19.61,1976334.78,39399092.8894,70021
1684540800000,2023-05-20,SOLUSDT,20.35,20.37,20.08,20.28,856718.98,17331516.0412,32249
1684454400000,2023-05-19,SOLUSDT,20.35,20.59,20.21,20.36,1214543.49,24774397.6472,44184
1684368000000,2023-05-18,SOLUSDT,21.06,21.09,20.07,20.34,2624370.52,54122873.6492,85048
1684281600000,2023-05-17,SOLUSDT,20.68,21.23,20.42,21.06,2614414.01,54381219.574,95994
1684195200000,2023-05-16,SOLUSDT,20.98,21.13,20.43,20.67,2722401.44,56488107.1277,82744
1684108800000,2023-05-15,SOLUSDT,20.93,21.52,20.6,20.99,2858317.83,60589521.0732,99861
1684022400000,2023-05-14,SOLUSDT,20.83,21.28,20.62,20.93,1553375.08,32524042.8007,55101
1683936000000,2023-05-13,SOLUSDT,20.91,21.29,20.77,20.84,1835421.61,38541774.649,87138
1683849600000,2023-05-12,SOLUSDT,20.17,20.95,19.8,20.9,3076452.18,62576189.0804,130573
1683763200000,2023-05-11,SOLUSDT,20.92,20.93,19.69,20.17,3721715.1,75301830.7803,130603
1683676800000,2023-05-10,SOLUSDT,20.66,21.31,19.74,20.91,5057170.3,105186175.6784,172064
1683590400000,2023-05-09,SOLUSDT,20.63,21.0,20.4,20.65,2375473.6,49074673.718,89469
1683504000000,2023-05-08,SOLUSDT,21.65,21.81,20.0,20.62,5254424.55,110323115.846,215313
1683417600000,2023-05-07,SOLUSDT,21.91,22.78,21.63,21.66,2954384.97,65622089.6294,127435
1683331200000,2023-05-06,SOLUSDT,22.82,23.23,21.56,21.91,2849745.66,63556974.2493,128400
1683244800000,2023-05-05,SOLUSDT,21.74,23.07,21.56,22.82,3636404.07,81078034.571,132976
1683158400000,2023-05-04,SOLUSDT,22.24,22.49,21.61,21.74,2529635.56,55794938.995,95797
1683072000000,2023-05-03,SOLUSDT,22.25,22.3,21.23,22.24,4181975.28,90683868.5326,138483
1682985600000,2023-05-02,SOLUSDT,21.95,22.38,21.75,22.25,2566813.09,56694549.2913,87272
1682899200000,2023-05-01,SOLUSDT,22.73,22.88,21.54,21.96,3758634.21,83028090.5666,142085
1682812800000,2023-04-30,SOLUSDT,23.18,23.99,22.69,22.74,3110943.4,72653365.1858,135691
1682726400000,2023-04-29,SOLUSDT,23.34,23.89,22.9,23.19,3194699.55,74573317.0256,126795
1682640000000,2023-04-28,SOLUSDT,22.34,23.5,22.16,23.34,4422324.38,101037207.0132,181675
1682553600000,2023-04-27,SOLUSDT,21.28,22.52,21.18,22.33,4703115.03,103151347.5371,164959
1682467200000,2023-04-26,SOLUSDT,21.94,22.97,20.36,21.28,6657868.13,145622482.2452,245072
1682380800000,2023-04-25,SOLUSDT,21.39,21.97,20.73,21.93,3314599.54,70038971.4649,108215
1682294400000,2023-04-24,SOLUSDT,21.47,22.02,21.0,21.38,3120614.16,67118302.581,116140
1682208000000,2023-04-23,SOLUSDT,21.79,22.25,20.91,21.47,2754139.65,59657685.9679,101756
1682121600000,2023-04-22,SOLUSDT,21.26,21.99,21.05,21.79,1831214.09,39509360.2929,75308
1682035200000,2023-04-21,SOLUSDT,22.19,22.41,21.0,21.25,4194496.37,91117869.2633,147812
1681948800000,2023-04-20,SOLUSDT,22.66,23.18,21.59,22.2,5486212.56,122984399.7062,227359
1681862400000,2023-04-19,SOLUSDT,24.82,24.98,21.71,22.66,6650547.99,154611702.9451,278574
1681776000000,2023-04-18,SOLUSDT,24.57,25.44,24.0,24.82,3477504.6,86340721.1576,136977
1681689600000,2023-04-17,SOLUSDT,25.34,26.0,24.28,24.58,5631537.5,141638685.5921,237722
1681603200000,2023-04-16,SOLUSDT,24.05,25.49,23.81,25.34,3471417.67,85696287.3758,145691
1681516800000,2023-04-15,SOLUSDT,24.72,24.8,23.81,24.05,2861426.92,69401166.774,106820
1681430400000,2023-04-14,SOLUSDT,24.43,25.49,23.73,24.71,6432126.81,158987936.1012,259938
1681344000000,2023-04-13,SOLUSDT,23.81,25.3,23.63,24.43,6063385.78,148267011.9938,225178
1681257600000,2023-04-12,SOLUSDT,22.99,24.48,22.29,23.8,10374263.08,245273383.4527,397878
1681171200000,2023-04-11,SOLUSDT,20.89,23.68,20.82,22.98,8297859.99,187821252.6031,342838
1681084800000,2023-04-10,SOLUSDT,20.29,20.95,20.08,20.89,1615129.64,33082258.5347,68772
1680998400000,2023-04-09,SOLUSDT,20.04,20.44,19.87,20.28,1051608.84,21204993.0137,49642
1680912000000,2023-04-08,SOLUSDT,20.44,20.74,19.85,20.04,1608993.48,32613603.6507,62582
1680825600000,2023-04-07,SOLUSDT,20.62,20.78,20.22,20.44,1220862.47,24962530.9341,55610
1680739200000,2023-04-06,SOLUSDT,20.96,20.99,20.43,20.62,1674280.5,34623160.801,68618
1680652800000,2023-04-05,SOLUSDT,20.91,21.34,20.58,20.97,2603072.26,54699560.3752,101797
1680566400000,2023-04-04,SOLUSDT,20.45,21.26,20.28,20.92,2514863.89,52336172.1135,95627
1680480000000,2023-04-03,SOLUSDT,20.52,20.99,19.94,20.45,3984085.57,81293742.0618,146124
1680393600000,2023-04-02,SOLUSDT,21.07,21.3,20.23,20.52,1822345.58,37792706.5648,81028
1680307200000,2023-04-01,SOLUSDT,21.15,21.34,20.74,21.08,1824463.55,38378008.2739,79306
1680220800000,2023-03-31,SOLUSDT,20.55,21.49,20.04,21.16,3228391.27,66841059.7936,115061
1680134400000,2023-03-30,SOLUSDT,21.1,21.67,20.16,20.55,4349577.78,90293720.9049,149633
1680048000000,2023-03-29,SOLUSDT,20.45,21.56,20.43,21.1,3377523.28,71294760.149,123019
1679961600000,2023-03-28,SOLUSDT,19.91,20.88,19.6,20.45,3316462.41,66838750.3537,122189
1679875200000,2023-03-27,SOLUSDT,20.94,20.99,19.33,19.91,3556384.38,71424696.4961,131411
1679788800000,2023-03-26,SOLUSDT,20.4,21.14,20.29,20.94,1848599.09,38525107.7875,73413
1679702400000,2023-03-25,SOLUSDT,20.66,20.98,20.09,20.41,2338133.56,48126751.7977,98857
1679616000000,2023-03-24,SOLUSDT,22.16,22.27,20.26,20.66,4995998.21,105444805.2465,182757
1679529600000,2023-03-23,SOLUSDT,21.41,22.95,21.08,22.16,5049411.36,110887607.2172,185723
1679443200000,2023-03-22,SOLUSDT,22.52,23.09,20.93,21.42,8602292.98,190178186.1945,332692
1679356800000,2023-03-21,SOLUSDT,22.13,23.33,21.51,22.53,6547867.38,147281635.2492,264477
1679270400000,2023-03-20,SOLUSDT,21.86,23.91,21.35,22.13,10056429.13,229184068.5418,444627
1679184000000,2023-03-19,SOLUSDT,21.2,22.43,21.19,21.86,4290990.03,93875263.5697,176495
1679097600000,2023-03-18,SOLUSDT,21.6,22.94,21.05,21.2,7417972.25,163869083.7443,318142
1679011200000,2023-03-17,SOLUSDT,19.67,21.69,19.42,21.6,5853746.15,119477590.3191,226642
1678924800000,2023-03-16,SOLUSDT,19.25,19.9,18.88,19.67,4381882.68,85218944.7111,175444
1678838400000,2023-03-15,SOLUSDT,20.86,21.46,18.7,19.24,7661168.72,152873436.1115,297554
1678752000000,2023-03-14,SOLUSDT,20.4,22.12,19.75,20.86,9812864.39,206265491.743,381197
1678665600000,2023-03-13,SOLUSDT,20.19,21.47,18.87,20.4,10652102.31,213837675.7817,364952
1678579200000,2023-03-12,SOLUSDT,18.07,20.53,17.71,20.2,6555846.63,123325702.2025,244816
1678492800000,2023-03-11,SOLUSDT,18.17,18.89,16.94,18.07,6593106.41,117330612.9782,228203
1678406400000,2023-03-10,SOLUSDT,17.34,18.36,16.0,18.17,9520202.65,163280019.6269,260217
1678320000000,2023-03-09,SOLUSDT,18.41,18.78,16.69,17.33,7832548.96,139985823.0474,200872
1678233600000,2023-03-08,SOLUSDT,20.25,20.39,18.1,18.41,5826803.53,111198944.9338,170148
1678147200000,2023-03-07,SOLUSDT,20.62,20.95,19.71,20.25,3104831.99,63162152.5823,121953
1678060800000,2023-03-06,SOLUSDT,20.98,21.19,20.47,20.63,2216419.88,46081041.9169,81761
1677974400000,2023-03-05,SOLUSDT,20.98,21.72,20.84,20.97,1733301.96,36815880.4825,87774
1677888000000,2023-03-04,SOLUSDT,21.42,21.62,20.2,20.98,1754082.61,36745274.1578,76327
1677801600000,2023-03-03,SOLUSDT,22.0,22.02,20.34,21.42,3635280.89,76486305.9361,140659
1677715200000,2023-03-02,SOLUSDT,22.5,22.65,21.67,22.0,2231193.36,49073754.3441,91461
