https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume USD
1694304000,2023-09-10,ADA/USD,0.2533,0.2533,0.245325,0.249201,32568.392473,8116.075972664074
1694217600,2023-09-09,ADA/USD,0.254363,0.255041,0.253301,0.253671,584.83927,148.35676246017
1694131200,2023-09-08,ADA/USD,0.257446,0.25882,0.253006,0.254025,10172.570436,2584.0872050049
1694044800,2023-09-07,ADA/USD,0.257613,0.258132,0.254206,0.257445,6600.638141,1699.301286209745
1693958400,2023-09-06,ADA/USD,0.257357,0.258983,0.253,0.256928,30546.307779,7848.201765042912
1693872000,2023-09-05,ADA/USD,0.255356,0.2575,0.254677,0.256673,3369.522601,864.8654745664729
1693785600,2023-09-04,ADA/USD,0.255492,0.259071,0.254323,0.255357,8206.78283,2095.6594431203102
1693699200,2023-09-03,ADA/USD,0.255835,0.255836,0.2538,0.255156,922.547834,235.39361513210397
1693612800,2023-09-02,ADA/USD,0.255428,0.256791,0.254,0.256176,2036.354906,521.665254399456
1693526400,2023-09-01,ADA/USD,0.25542,0.257632,0.252722,0.254749,22403.074271,5707.1607674629795
1693440000,2023-08-31,ADA/USD,0.265484,0.265784,0.251155,0.254741,5605.167423,1427.865954502443
1693353600,2023-08-30,ADA/USD,0.27209,0.27209,0.261212,0.266192,43574.446227,11599.168990057584
1693267200,2023-08-29,ADA/USD,0.267394,0.279278,0.260371,0.272815,88222.600855,24068.44885225682
1693180800,2023-08-28,ADA/USD,0.262252,0.266684,0.258944,0.266684,43482.212222,11596.010284211847
1693094400,2023-08-27,ADA/USD,0.260695,0.264349,0.260695,0.262951,1731.723973,455.35855042432297
1693008000,2023-08-26,ADA/USD,0.260202,0.26139,0.258148,0.26139,1605.823716,419.74626112524004
1692921600,2023-08-25,ADA/USD,0.26523,0.269664,0.26,0.260576,50270.48001,13099.280599085758
1692835200,2023-08-24,ADA/USD,0.267692,0.270557,0.262535,0.265231,3976.935222,1054.806505866282
1692748800,2023-08-23,ADA/USD,0.258329,0.268292,0.258329,0.26698,11247.418302,3002.83573826796
1692662400,2023-08-22,ADA/USD,0.263211,0.263211,0.251392,0.258328,9250.590923,2389.686651956744
1692576000,2023-08-21,ADA/USD,0.271184,0.271185,0.26,0.263913,25656.713592,6771.140254205497
1692489600,2023-08-20,ADA/USD,0.268023,0.271904,0.266129,0.271184,3791.969995,1028.32159112408
1692403200,2023-08-19,ADA/USD,0.263897,0.268,0.261104,0.267983,2550.168795,683.4018841904851
1692316800,2023-08-18,ADA/USD,0.258435,0.265437,0.258238,0.264188,46724.564355,12344.06920781874
1692230400,2023-08-17,ADA/USD,0.272275,0.277691,0.248423,0.257006,368485.945995,94703.09903639098
1692144000,2023-08-16,ADA/USD,0.281718,0.281718,0.267518,0.271909,5634.334882,1532.026363429738
1692057600,2023-08-15,ADA/USD,0.290378,0.290378,0.276237,0.281832,3787.972115,1067.5717571146802
1691971200,2023-08-14,ADA/USD,0.28952,0.291948,0.288452,0.290709,1616.148324,469.828863121716
1691884800,2023-08-13,ADA/USD,0.29097,0.293248,0.287226,0.28977,2668.978311,773.3898451784701
1691798400,2023-08-12,ADA/USD,0.293299,0.293634,0.291329,0.291329,498.762552,145.303995511608
1691712000,2023-08-11,ADA/USD,0.296525,0.296645,0.293207,0.293207,7880.512296,2310.621368773272
1691625600,2023-08-10,ADA/USD,0.300993,0.300993,0.29689,0.29689,1416.522969,420.55150426641
