https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ATOM,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1701302400000,2023-11-30 00:00:00,ATOM/USDT,9.071,9.169,9.005,9.131,2694865.83,296122.390538,1369905.08,150530.022963,39253,9.1
1701216000000,2023-11-29 00:00:00,ATOM/USDT,9.191,9.206,8.914,9.071,3496516.96,384198.195956,1764583.13,193895.038074,50940,9.101
1701129600000,2023-11-28 00:00:00,ATOM/USDT,9.08,9.2,8.789,9.185,4308162.35,476795.01082,2206210.07,244175.645495,61789,9.037
1701043200000,2023-11-27 00:00:00,ATOM/USDT,9.541,9.545,8.899,9.078,3657412.81,400542.833037,1868500.14,204602.645377,52872,9.133
1700956800000,2023-11-26 00:00:00,ATOM/USDT,9.246,9.689,9.182,9.54,2178522.25,229903.542748,1075166.61,113468.482082,31660,9.476
1700870400000,2023-11-25 00:00:00,ATOM/USDT,8.816,9.246,8.777,9.246,4672172.35,525035.298831,2376873.97,267114.92746,66909,8.899
1700784000000,2023-11-24 00:00:00,ATOM/USDT,8.708,8.906,8.678,8.812,4255775.09,482904.796719,2169788.09,246207.62044,61327,8.813
1700697600000,2023-11-23 00:00:00,ATOM/USDT,8.729,8.939,8.624,8.71,4428765.99,506486.905751,2233362.63,255407.997142,63741,8.744
1700611200000,2023-11-22 00:00:00,ATOM/USDT,8.177,8.775,8.167,8.729,3962257.25,464602.448877,2013461.49,236096.689417,57172,8.529
1700524800000,2023-11-21 00:00:00,ATOM/USDT,8.856,8.932,8.164,8.164,6094667.42,700233.272909,3112561.54,357502.085447,87844,8.707
1700438400000,2023-11-20 00:00:00,ATOM/USDT,9.07,9.236,8.767,8.857,4495978.98,494635.847736,2301774.9,253242.880284,65697,9.09
1700352000000,2023-11-19 00:00:00,ATOM/USDT,9.029,9.087,8.871,9.071,4766947.96,531553.955723,2439240.2,271995.226917,70403,8.968
1700265600000,2023-11-18 00:00:00,ATOM/USDT,9.064,9.08,8.711,9.033,2414864.28,269260.301671,1239757.96,138229.854202,34406,8.969
1700179200000,2023-11-17 00:00:00,ATOM/USDT,9.21,9.37,8.888,9.067,5606866.35,612332.698579,2900941.15,316795.017001,81967,9.159
1700092800000,2023-11-16 00:00:00,ATOM/USDT,9.499,9.542,8.717,9.204,5436428.78,582199.193752,2786041,298317.594896,80105,9.338
1700006400000,2023-11-15 00:00:00,ATOM/USDT,9.014,9.504,8.89,9.499,4810713.78,519065.369731,2456771.65,265055.681776,69568,9.273
1699920000000,2023-11-14 00:00:00,ATOM/USDT,9.093,9.324,8.603,9.014,5342708.93,584311.417711,2751946.22,300993.385006,77989,9.145
1699833600000,2023-11-13 00:00:00,ATOM/USDT,8.65,10,8.425,9.101,2015143.08,230989.458,1011746.03,116027.701927,31140,8.74
1699747200000,2023-11-12 00:00:00,ATOM/USDT,8.582,9.178,8.353,8.649,5458201.62,636000.302719,2753424.96,320838.296052,82830,8.583
1699660800000,2023-11-11 00:00:00,ATOM/USDT,8.966,9.006,8.569,8.584,3783598.39,435555.664936,1889082.47,217472.731176,56785,8.688
1699574400000,2023-11-10 00:00:00,ATOM/USDT,9.011,9.512,8.951,8.967,5481535.24,598679.875498,2795160.65,305247.067946,79847,9.157
1699488000000,2023-11-09 00:00:00,ATOM/USDT,8.649,9.047,8.21,9.013,4681224.83,535471.029428,2480891.25,283858.135756,64635,8.744
1699401600000,2023-11-08 00:00:00,ATOM/USDT,8.454,8.726,8.36,8.651,3699528.82,432951.52178,1935318.98,226432.262145,52206,8.545
1699315200000,2023-11-07 00:00:00,ATOM/USDT,8.7,8.729,8.16,8.466,3894445.67,462705.159863,1925197.95,228758.893233,56429,8.417
1699228800000,2023-11-06 00:00:00,ATOM/USDT,8.358,8.749,8.32,8.7,374900.66,43928.119838,305034.72,35745.351121,3163,8.535
1699142400000,2023-11-05 00:00:00,ATOM/USDT,8.102,8.566,8.051,8.357,237862.11,28531.457029,191845.72,23012.38262,3050,8.337
1699056000000,2023-11-04 00:00:00,ATOM/USDT,7.75,8.216,7.706,8.101,1760689.5,226153.056101,867164.69,111399.475717,26945,7.785
1698969600000,2023-11-03 00:00:00,ATOM/USDT,7.835,7.837,7.54,7.748,5606051.21,730083.400762,2597363.27,338246.785565,81282,7.678
1698883200000,2023-11-02 00:00:00,ATOM/USDT,7.874,8.089,7.541,7.832,5751606.56,735307.938416,2716416.08,347218.467974,84530,7.823
1698796800000,2023-11-01 00:00:00,ATOM/USDT,7.935,8.018,7.551,7.861,4318642.84,554192.530271,2125283.71,272800.888132,62968,7.794
1698710400000,2023-10-31 00:00:00,ATOM/USDT,8.104,8.231,7.68,7.933,7470827.66,940912.104836,3698383.28,465775.678501,108481,7.94
1698624000000,2023-10-30 00:00:00,ATOM/USDT,7.317,8.141,7.294,8.103,997316.68,130016.688584,516267.41,67300.252206,14382,7.677
1698537600000,2023-10-29 00:00:00,ATOM/USDT,7.169,7.391,7.047,7.312,936631.81,130224.247924,442935.46,61575.295428,12722,7.193
1698451200000,2023-10-28 00:00:00,ATOM/USDT,7.021,7.214,7.02,7.178,1134819.43,158669.764898,570777.76,79808.429114,15747,7.152
1698364800000,2023-10-27 00:00:00,ATOM/USDT,7.172,7.18,6.924,7.029,1507665.59,214022.211425,742889.97,105446.245052,21470,7.044
1698278400000,2023-10-26 00:00:00,ATOM/USDT,7.108,7.361,6.916,7.166,1663056.31,233313.538421,795287.02,111572.380896,23564,7.129
1698192000000,2023-10-25 00:00:00,ATOM/USDT,6.996,7.205,6.871,7.114,1666194.39,236468.909402,833130.17,118226.796277,23474,7.046
1698105600000,2023-10-24 00:00:00,ATOM/USDT,7.022,7.317,6.76,7.002,1663493.06,235276.797517,837917.69,118506.509135,23712,7.072
1698019200000,2023-10-23 00:00:00,ATOM/USDT,6.749,7.081,6.627,7.016,1509933.38,223598.417299,771078.75,114160.107158,20559,6.754
1697932800000,2023-10-22 00:00:00,ATOM/USDT,6.629,6.753,6.513,6.75,1010723.14,152845.238937,500794.03,75736.006867,14157,6.613
1697846400000,2023-10-21 00:00:00,ATOM/USDT,6.406,6.7,6.356,6.632,1128689.7,174069.330757,564852.83,87144.048802,15868,6.485
1697760000000,2023-10-20 00:00:00,ATOM/USDT,6.258,6.472,6.242,6.405,1529902.23,240050.178917,768106.49,120510.127785,21055,6.373
1697673600000,2023-10-19 00:00:00,ATOM/USDT,6.282,6.287,6.168,6.261,1239584.45,199044.494015,638538,102555.565488,16869,6.227
1697587200000,2023-10-18 00:00:00,ATOM/USDT,6.447,6.469,6.27,6.279,1311840.37,205580.980507,643857.59,100873.556683,17653,6.381
1697500800000,2023-10-17 00:00:00,ATOM/USDT,6.627,6.63,6.382,6.442,1742491.65,267472.593547,908949.17,139465.582518,23665,6.515
1697414400000,2023-10-16 00:00:00,ATOM/USDT,6.6,6.77,6.567,6.626,1430849.82,215911.733134,723402.44,109117.902293,19682,6.627
1697328000000,2023-10-15 00:00:00,ATOM/USDT,6.579,6.681,6.524,6.599,758543.43,115248.606492,375953.07,57085.66389,9986,6.581
1697241600000,2023-10-14 00:00:00,ATOM/USDT,6.55,6.631,6.539,6.581,892619.21,135393.5783,413643.57,62735.50439,11625,6.592
1697155200000,2023-10-13 00:00:00,ATOM/USDT,6.177,6.606,6.058,6.55,1001665.65,158550.869275,528660.27,83592.237539,12747,6.321
1697068800000,2023-10-12 00:00:00,ATOM/USDT,6.16,6.534,6.05,6.176,1113218.52,177602.28455,582766.29,93050.966782,15155,6.269
1696982400000,2023-10-11 00:00:00,ATOM/USDT,6.537,6.548,6.15,6.23,1258894.75,198701.437995,638880.08,100895.192013,17743,6.336
1696896000000,2023-10-10 00:00:00,ATOM/USDT,6.619,6.749,6.294,6.488,1554528.68,237192.884836,824992.76,125946.893951,21677,6.554
1696809600000,2023-10-09 00:00:00,ATOM/USDT,6.63,6.65,6.4,6.588,1782644.36,271834.369601,902099.75,137568.574513,24668,6.558
1696723200000,2023-10-08 00:00:00,ATOM/USDT,6.617,6.701,6.609,6.629,1599556.56,240570.779535,858536.77,129182.692357,22639,6.649
1696636800000,2023-10-07 00:00:00,ATOM/USDT,6.56,6.755,6.532,6.618,1868556.3,281335.064228,865282.42,130319.696332,25805,6.642
1696550400000,2023-10-06 00:00:00,ATOM/USDT,6.575,6.748,6.21,6.561,730122.65,110451.020967,385738.47,58368.077683,10986,6.61
1696464000000,2023-10-05 00:00:00,ATOM/USDT,6.649,6.827,6.446,6.583,2731650.57,410055.799915,1372986.67,206126.617419,39270,6.662
1696377600000,2023-10-04 00:00:00,ATOM/USDT,6.968,6.971,6.305,6.653,2369273.92,349037.61304,1178341.49,173575.920332,34556,6.79
1696291200000,2023-10-03 00:00:00,ATOM/USDT,7.021,7.057,6.908,6.971,3792771.73,540860.175638,1932897.35,275637.129454,54294,7.012
1696204800000,2023-10-02 00:00:00,ATOM/USDT,7.096,7.134,6.971,7.017,1324576.63,187713.115164,656739.88,93068.028344,19788,7.056
1696118400000,2023-10-01 00:00:00,ATOM/USDT,7.009,7.242,6.81,7.096,705498.3,100397.462984,370039.43,52654.220884,11098,7.027
1696032000000,2023-09-30 00:00:00,ATOM/USDT,7.005,7.06,6.932,7.008,910207.94,129950.339314,457823.51,65363.533022,13160,7.004
1695945600000,2023-09-29 00:00:00,ATOM/USDT,7.005,7.08,6.814,7.004,1163184.79,167203.224149,596624.69,85761.54358,16393,6.957
1695859200000,2023-09-28 00:00:00,ATOM/USDT,6.908,7.075,6.847,7.006,840388.67,120334.927542,430695.87,61663.916264,11430,6.984
1695772800000,2023-09-27 00:00:00,ATOM/USDT,6.889,7.001,6.827,6.906,1014913.79,146956.369282,509950.45,73840.530898,14612,6.906
1695686400000,2023-09-26 00:00:00,ATOM/USDT,7.003,7.068,6.797,6.89,555024.74,79807.594859,268698.48,38633.628536,7582,6.954
1695600000000,2023-09-25 00:00:00,ATOM/USDT,6.978,7.056,6.906,7.003,759218.5,108651.364553,408271.49,58423.144593,9849,6.987
1695513600000,2023-09-24 00:00:00,ATOM/USDT,7.078,7.119,6.959,6.974,492344.96,69712.165757,240951.09,34102.648174,6080,7.062
1695427200000,2023-09-23 00:00:00,ATOM/USDT,7.104,7.181,7.052,7.082,683684.61,96347.525023,424826.71,59853.617942,6910,7.096
1695340800000,2023-09-22 00:00:00,ATOM/USDT,7.14,7.202,7.036,7.103,1208201.7,169420.519092,894591.33,125419.425829,10414,7.131
1695254400000,2023-09-21 00:00:00,ATOM/USDT,7.289,7.499,7.151,7.151,1174681.27,159464.103624,747468.41,101484.704785,10278,7.367
1695168000000,2023-09-20 00:00:00,ATOM/USDT,7.5,7.512,7.175,7.29,933856.33,127189.067033,467475.33,63655.422284,12508,7.343
1695081600000,2023-09-19 00:00:00,ATOM/USDT,7.379,7.583,7.204,7.5,994281.23,134183.472011,495200.96,66818.101186,13562,7.411
1694995200000,2023-09-18 00:00:00,ATOM/USDT,6.943,7.481,6.853,7.384,799110.48,109453.583187,457802.04,62855.389501,10805,7.303
1694908800000,2023-09-17 00:00:00,ATOM/USDT,7.141,7.162,6.912,6.945,206097.28,29260.046859,141703.01,20089.533212,2518,7.044
1694822400000,2023-09-16 00:00:00,ATOM/USDT,6.933,7.169,6.933,7.141,267472.16,37759.433202,155567.51,21975.055633,2960,7.083
1694736000000,2023-09-15 00:00:00,ATOM/USDT,6.836,7.047,6.76,6.926,802427.47,117319.778193,422389.54,61752.919028,10985,6.839
1694649600000,2023-09-14 00:00:00,ATOM/USDT,6.533,6.914,6.501,6.835,1191454.89,180011.216046,579816.72,87582.697636,15500,6.62
1694563200000,2023-09-13 00:00:00,ATOM/USDT,6.37,6.577,6.362,6.534,1793671.44,277120.167345,971763.07,150244.179368,18022,6.473
1694476800000,2023-09-12 00:00:00,ATOM/USDT,6.371,6.558,6.341,6.372,3221345.37,501382.437513,1905858.27,296809.476768,24457,6.425
1694390400000,2023-09-11 00:00:00,ATOM/USDT,6.657,6.682,6.288,6.37,2953977.22,457309.349277,1278313.4,197495.968366,20704,6.461
1694304000000,2023-09-10 00:00:00,ATOM/USDT,6.849,6.855,6.544,6.659,3313418.88,493340.007516,1431901.55,213026.487921,14678,6.716
1694217600000,2023-09-09 00:00:00,ATOM/USDT,6.835,6.927,6.806,6.852,4223271.94,616433.121048,2248624.31,327937.864065,19001,6.851
1694131200000,2023-09-08 00:00:00,ATOM/USDT,6.946,7,6.778,6.834,4585514.97,666563.502185,2004847.37,292218.66062,32942,6.879
1694044800000,2023-09-07 00:00:00,ATOM/USDT,6.892,6.984,6.81,6.948,4632686.77,672870.020824,1676901.92,243593.731481,30985,6.885
