https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume APT,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1703030400000,2023-12-20 00:00:00,APT/USDT,8.126,8.351,8.079,8.227,5751690.968,700415.31951,2815698.852,342878.18088,81935,8.212
1702944000000,2023-12-19 00:00:00,APT/USDT,7.917,8.151,7.819,8.126,6842596.329,859325.55417,3305563.232,415134.1839,97272,7.963
1702857600000,2023-12-18 00:00:00,APT/USDT,8.07,8.126,7.734,7.916,4649495.839,591199.20489,2247443.889,285790.7003,66961,7.865
1702771200000,2023-12-17 00:00:00,APT/USDT,8.204,8.402,8.026,8.07,8750329.243,1066750.86846,4298484.319,524045.27053,124857,8.203
1702684800000,2023-12-16 00:00:00,APT/USDT,8.291,8.561,8.184,8.203,8222111.031,983229.08146,4028515.151,481770.32712,116432,8.362
1702598400000,2023-12-15 00:00:00,APT/USDT,8.447,8.514,8.203,8.287,4090802.249,492126.88237,2025390.362,243652.76896,57687,8.312
1702512000000,2023-12-14 00:00:00,APT/USDT,8.686,8.734,8.33,8.449,4609993.889,541110.19541,2266224.614,266015.32572,65147,8.521
1702425600000,2023-12-13 00:00:00,APT/USDT,9.109,9.111,8.307,8.686,5649452.637,662602.90475,2793517.951,327675.72552,80428,8.529
1702339200000,2023-12-12 00:00:00,APT/USDT,7.793,9.184,7.789,9.104,8048651.736,959966.08357,3961602.006,472661.00815,114880,8.405
1702252800000,2023-12-11 00:00:00,APT/USDT,8.434,8.449,7.512,7.793,7963779.226,1016617.56398,3924026.644,500892.64367,114575,7.837
1702166400000,2023-12-10 00:00:00,APT/USDT,8.247,8.493,8.004,8.433,8022047.222,971087.10424,3957452.852,479063.9911,114767,8.262
1702080000000,2023-12-09 00:00:00,APT/USDT,8.5,8.786,8.178,8.25,7747120.401,906713.62958,3837876.39,449196.86276,111739,8.545
1701993600000,2023-12-08 00:00:00,APT/USDT,7.958,8.65,7.833,8.5,7290495.403,882132.12563,3599938.474,435647.23553,104974,8.269
1701907200000,2023-12-07 00:00:00,APT/USDT,7.273,8.154,7.255,7.96,7468742.282,976103.96281,3696212.407,483057.33538,107947,7.658
1701820800000,2023-12-06 00:00:00,APT/USDT,7.503,7.742,7.237,7.273,6185281.548,828014.87644,3069942.539,410943.92247,88811,7.47
1701734400000,2023-12-05 00:00:00,APT/USDT,7.667,7.753,7.225,7.503,4415598.854,592687.20002,2201644.674,295543.82997,63771,7.451
1701648000000,2023-12-04 00:00:00,APT/USDT,7.288,7.759,6.98,7.668,7028217.601,949323.19281,3503904.014,473209.96023,101464,7.405
1701561600000,2023-12-03 00:00:00,APT/USDT,7.344,7.539,7.215,7.285,7134827.394,972639.90421,3530654.541,481305.61137,104062,7.336
1701475200000,2023-12-02 00:00:00,APT/USDT,7.1,7.398,7.056,7.346,6148862.84,850141.71344,3056670.763,422578.9306,89698,7.233
1701388800000,2023-12-01 00:00:00,APT/USDT,7.743,7.792,7.035,7.101,2449276.999,336264.69492,1232717.546,169248.91555,34676,7.29
1701302400000,2023-11-30 00:00:00,APT/USDT,7.015,7.993,6.95,7.741,6516734.173,920334.35869,3264946.925,461121.72148,93884,7.082
1701216000000,2023-11-29 00:00:00,APT/USDT,7.048,7.2,6.95,7.018,7018764.451,995709.32664,3546318.464,503096.10653,101777,7.049
1701129600000,2023-11-28 00:00:00,APT/USDT,7.005,7.087,6.95,7.053,3164407.819,450496.27333,1604735.231,228464.25827,44376,7.024
1701043200000,2023-11-27 00:00:00,APT/USDT,7.266,7.387,7.001,7.001,3142714.873,437109.63221,1591759.957,221378.54755,45072,7.19
1700956800000,2023-11-26 00:00:00,APT/USDT,7.383,7.412,7.067,7.261,4258172.622,584227.91536,2127866.33,291972.75978,60654,7.289
1700870400000,2023-11-25 00:00:00,APT/USDT,7.421,7.608,7.32,7.383,4567087.76,617951.95048,2301222.553,311373.4088,65623,7.391
1700784000000,2023-11-24 00:00:00,APT/USDT,7.273,7.472,7.235,7.422,6446136.88,878738.30266,3258010.811,444127.95338,91840,7.335
