https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AVAX,Volume USD
1700179200,2023-11-17 00:00:00,AVAX/USD,21.73307,24.60000,20.10338,21.95000,34894.37009099,765931.4234972305
1700092800,2023-11-16 00:00:00,AVAX/USD,20.82993,27.78289,19.30000,21.86000,58931.82338234,1288249.6591379524
1700006400,2023-11-15 00:00:00,AVAX/USD,17.05871,20.88139,17.03769,20.73898,31569.40591182,654717.2778171168
1699920000,2023-11-14 00:00:00,AVAX/USD,16.07002,18.08618,15.71369,17.03835,37861.98276959,645105.7141222438
1699833600,2023-11-13 00:00:00,AVAX/USD,18.97434,19.55980,16.20359,16.27000,33759.90806839,549273.7042727054
1699747200,2023-11-12 00:00:00,AVAX/USD,16.96998,19.56486,15.80236,19.01459,24645.25834099,468619.482798005
1699660800,2023-11-11 00:00:00,AVAX/USD,14.60840,17.00000,14.02437,16.63717,56647.13266528,942447.9761648165
1699574400,2023-11-10 00:00:00,AVAX/USD,12.96418,14.84079,12.89000,14.78000,13090.46768102,193477.11232547558
1699488000,2023-11-09 00:00:00,AVAX/USD,12.95915,13.90050,11.11000,12.96485,21140.51504039,274083.6064214003
1699401600,2023-11-08 00:00:00,AVAX/USD,12.74221,13.09316,12.71078,13.05285,1862.84996103,24315.501113830436
1699315200,2023-11-07 00:00:00,AVAX/USD,13.04643,13.04643,12.29745,12.80000,6354.00329096,81331.24212428801
1699228800,2023-11-06 00:00:00,AVAX/USD,12.36180,13.11000,12.25632,13.08508,4899.54050551,64110.87947783879
1699142400,2023-11-05 00:00:00,AVAX/USD,12.24394,12.62134,12.15763,12.38596,4708.50074905,58319.30193770334
1699056000,2023-11-04 00:00:00,AVAX/USD,12.01532,12.30149,11.97042,12.24695,8052.78747760,98622.08559879332
1698969600,2023-11-03 00:00:00,AVAX/USD,11.77343,12.15778,11.54873,12.08159,3049.24866638,36839.77219524995
1698883200,2023-11-02 00:00:00,AVAX/USD,12.27416,12.53976,11.55618,11.86018,10967.64326438,130078.22329133439
1698796800,2023-11-01 00:00:00,AVAX/USD,11.33000,12.27107,10.90000,12.19385,10379.90366268,126570.98827717052
1698710400,2023-10-31 00:00:00,AVAX/USD,11.47478,11.74999,11.02791,11.33997,8621.27023215,97764.94579447403
1698624000,2023-10-30 00:00:00,AVAX/USD,11.42191,11.64580,11.07586,11.43368,7820.32617045,89415.10692855077
1698537600,2023-10-29 00:00:00,AVAX/USD,10.96367,11.46102,10.79510,11.35084,18088.56366218,205320.39195921924
1698451200,2023-10-28 00:00:00,AVAX/USD,10.58741,11.05066,10.57010,10.98280,12022.59557111,132041.7626383869
1698364800,2023-10-27 00:00:00,AVAX/USD,10.99420,10.99420,10.42999,10.58904,13779.33065762,145909.88350676448
1698278400,2023-10-26 00:00:00,AVAX/USD,10.48462,11.47000,10.45003,11.14998,23025.21821265,256730.72256668325
1698192000,2023-10-25 00:00:00,AVAX/USD,10.31960,10.59993,10.19823,10.51203,7841.94844270,82434.79728811567
1698105600,2023-10-24 00:00:00,AVAX/USD,10.49351,10.80022,10.12998,10.37637,12491.98378777,129621.44581590299
1698019200,2023-10-23 00:00:00,AVAX/USD,10.10928,10.65411,9.90230,10.54701,11396.88849981,120203.09697638107
1697932800,2023-10-22 00:00:00,AVAX/USD,9.65310,10.08379,9.55436,10.08379,7265.63034398,73265.09060632209
1697846400,2023-10-21 00:00:00,AVAX/USD,9.31000,9.77000,9.18625,9.65466,3708.15191574,35800.94597481834
1697760000,2023-10-20 00:00:00,AVAX/USD,9.15999,9.38000,9.07708,9.22414,12372.64428074,114127.00301574507
1697673600,2023-10-19 00:00:00,AVAX/USD,8.87186,9.11214,8.77962,9.07347,12881.42243803,116879.20004879207
1697587200,2023-10-18 00:00:00,AVAX/USD,9.11543,9.16871,8.86000,8.92000,6109.22493866,54494.2864528472
1697500800,2023-10-17 00:00:00,AVAX/USD,9.39276,9.39276,9.03818,9.11453,8014.58562472,73049.18111407918
1697414400,2023-10-16 00:00:00,AVAX/USD,9.17109,9.79520,9.16922,9.42425,15805.92623091,148959.00028165357
