https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOGE,Volume USD
1673740800,2023-01-15,DOGE/USD,0.08797,0.08797,0.08134,0.08191,13588.379884,1113.0241962984398
1673654400,2023-01-14,DOGE/USD,0.08581,0.0942,0.0675,0.08521,435533.673485,37111.82431765684
1673568000,2023-01-13,DOGE/USD,0.08178,0.08581,0.07606,0.08581,24026.778258,2061.73784231898
1673481600,2023-01-12,DOGE/USD,0.07404,0.085,0.07404,0.07801,38571.53029,3008.9650779229
1673395200,2023-01-11,DOGE/USD,0.07401,0.07998,0.07119,0.07326,17533.159522,1284.4792665817201
1673308800,2023-01-10,DOGE/USD,0.07799,0.0822,0.07401,0.07401,19843.067424,1468.5854200502401
1673222400,2023-01-09,DOGE/USD,0.075,0.08,0.07018,0.07799,60371.087165,4708.34108799835
1673136000,2023-01-08,DOGE/USD,0.0718,0.07479,0.07151,0.0725,9247.880444,670.47133219
1673049600,2023-01-07,DOGE/USD,0.07299,0.075,0.07004,0.07152,20284.55348,1450.7512648896
1672963200,2023-01-06,DOGE/USD,0.07298,0.073,0.07,0.07,48730.634248,3411.1443973600003
1672876800,2023-01-05,DOGE/USD,0.07031,0.075,0.0703,0.07042,38379.366835,2702.6750125207
1672790400,2023-01-04,DOGE/USD,0.07279,0.075,0.07002,0.07032,43806.832529,3080.4964634392795
1672704000,2023-01-03,DOGE/USD,0.07366,0.07366,0.07,0.07299,160641.456349,11725.219898913509
1672617600,2023-01-02,DOGE/USD,0.06512,0.07375,0.06512,0.07042,78441.565023,5523.85500891966
1672531200,2023-01-01,DOGE/USD,0.0671,0.07199,0.06301,0.06593,30630.604365,2019.47574578445
1672444800,2022-12-31,DOGE/USD,0.07099,0.07226,0.066,0.07217,45468.708463,3281.47668977471
1672358400,2022-12-30,DOGE/USD,0.0691,0.0724,0.06511,0.0682,44338.068084,3023.8562433288
1672272000,2022-12-29,DOGE/USD,0.06965,0.07289,0.06,0.07141,153833.087874,10985.22080508234
1672185600,2022-12-28,DOGE/USD,0.07151,0.0739,0.06921,0.07219,47384.821257,3420.7102465428306
1672099200,2022-12-27,DOGE/USD,0.07676,0.07698,0.07149,0.07698,24228.993299,1865.1479041570203
1672012800,2022-12-26,DOGE/USD,0.07689,0.07798,0.07256,0.077,59832.14937,4607.07550149
1671926400,2022-12-25,DOGE/USD,0.07865,0.07865,0.0737,0.0768,11171.222877,857.9499169535999
1671840000,2022-12-24,DOGE/USD,0.0774,0.0787,0.075,0.07863,21882.627553,1720.63100449239
1671753600,2022-12-23,DOGE/USD,0.07551,0.07899,0.07465,0.07881,19403.246759,1529.1698770767903
1671667200,2022-12-22,DOGE/USD,0.07676,0.07874,0.07084,0.07871,18449.184313,1452.1352972762302
1671580800,2022-12-21,DOGE/USD,0.07399,0.07399,0.07083,0.07399,40718.635429,3012.7718353917103
1671494400,2022-12-20,DOGE/USD,0.06902,0.07679,0.06902,0.07679,28135.720565,2160.5419821863497
1671408000,2022-12-19,DOGE/USD,0.07702,0.08,0.07,0.07,147473.262859,10323.128400130001
1671321600,2022-12-18,DOGE/USD,0.07985,0.081,0.07701,0.07999,33952.701178,2715.87656722822
1671235200,2022-12-17,DOGE/USD,0.074,0.07984,0.07146,0.07984,18689.24871,1492.1496170064
1671148800,2022-12-16,DOGE/USD,0.084,0.09,0.075,0.07796,78553.552951,6124.034988059961
1671062400,2022-12-15,DOGE/USD,0.08999,0.08999,0.084,0.08401,42437.130706,3565.14335061106
1670976000,2022-12-14,DOGE/USD,0.08781,0.09439,0.0868,0.08701,98545.256177,8574.42273996077
1670889600,2022-12-13,DOGE/USD,0.09248,0.09671,0.08,0.09201,71601.416711,6588.04635157911
1670803200,2022-12-12,DOGE/USD,0.091,0.09567,0.08342,0.09299,49915.025384,4641.59821045816
1670716800,2022-12-11,DOGE/USD,0.098,0.09926,0.092,0.09206,28312.947038,2606.48990431828
1670630400,2022-12-10,DOGE/USD,0.096,0.09927,0.09501,0.09926,34888.245841,3463.0072821776603
1670544000,2022-12-09,DOGE/USD,0.09899,0.10289,0.09308,0.09927,65808.942195,6532.853691697649
1670457600,2022-12-08,DOGE/USD,0.09897,0.09899,0.09308,0.0959,29646.368254,2843.0867155586
1670371200,2022-12-07,DOGE/USD,0.10338,0.10338,0.092,0.09933,165329.76339,16422.2053975287
1670284800,2022-12-06,DOGE/USD,0.10698,0.10706,0.097,0.10369,66553.242971,6900.9057636629905
1670198400,2022-12-05,DOGE/USD,0.105,0.11178,0.09701,0.09801,83472.50381,8181.140098418099
1670112000,2022-12-04,DOGE/USD,0.10389,0.10599,0.09771,0.10598,37911.980164,4017.9116577807204
1670025600,2022-12-03,DOGE/USD,0.09901,0.104,0.09581,0.1,40553.63029,4055.363029
1669939200,2022-12-02,DOGE/USD,0.1025,0.10518,0.09551,0.102,42633.397796,4348.606575192
1669852800,2022-12-01,DOGE/USD,0.10466,0.10895,0.0935,0.1015,32437.329242,3292.3889180630003
1669766400,2022-11-30,DOGE/USD,0.10348,0.11246,0.09901,0.10521,92041.888407,9683.72707930047
1669680000,2022-11-29,DOGE/USD,0.09115,0.116,0.09113,0.09521,92337.210561,8791.42581751281
1669593600,2022-11-28,DOGE/USD,0.09918,0.09982,0.09003,0.09716,116276.928968,11297.46641853088
1669507200,2022-11-27,DOGE/USD,0.08956,0.1079,0.0888,0.09943,133187.872452,13242.870157902362
1669420800,2022-11-26,DOGE/USD,0.0928,0.09589,0.0873,0.0873,182255.606872,15910.914479925601
1669334400,2022-11-25,DOGE/USD,0.08111,0.09161,0.08111,0.0896,151755.707612,13597.3114020352
