https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DOGE
1664496000000,2022-09-30 00:00:00,DOGE/USD,0.06732094,0.06911345,0.06671351,0.06872235,19149.743269438844,278653.78977056
1664409600000,2022-09-29 00:00:00,DOGE/USD,0.06732994,0.06793337,0.066081,0.06732513,19700.033306101104,292610.40128851
1664323200000,2022-09-28 00:00:00,DOGE/USD,0.06727827,0.068,0.06552569,0.0673728,20534.681829578498,304791.87193613
1664236800000,2022-09-27 00:00:00,DOGE/USD,0.06784957,0.0699,0.06659562,0.0673287,18583.861933067325,276016.94274607
1664150400000,2022-09-26 00:00:00,DOGE/USD,0.06766026,0.06870241,0.067,0.06792877,20886.000092013957,307469.13409464
1664064000000,2022-09-25 00:00:00,DOGE/USD,0.06950637,0.07040008,0.06679746,0.06760516,21194.74050454641,313507.73379645
1663977600000,2022-09-24 00:00:00,DOGE/USD,0.06998945,0.075,0.06914922,0.06954943,35170.46588161186,505690.21028083
1663891200000,2022-09-23 00:00:00,DOGE/USD,0.0657965,0.0707,0.0655,0.06995433,32510.069597881906,464732.77062166
1663804800000,2022-09-22 00:00:00,DOGE/USD,0.06365217,0.06603109,0.06323564,0.06575293,20565.52424858856,312769.70088768
1663718400000,2022-09-21 00:00:00,DOGE/USD,0.06430021,0.06676124,0.0626,0.0637811,23347.218350449544,366052.29998306
1663632000000,2022-09-20 00:00:00,DOGE/USD,0.06458852,0.06673384,0.0636506,0.06442152,24337.850728227168,377790.69367235
1663545600000,2022-09-19 00:00:00,DOGE/USD,0.06371155,0.06479197,0.06232459,0.06447778,39254.13022447456,608800.89581984
1663459200000,2022-09-18 00:00:00,DOGE/USD,0.06851097,0.06853141,0.06255039,0.0636706,24958.38380915124,391992.28229593
1663372800000,2022-09-17 00:00:00,DOGE/USD,0.06666226,0.06878187,0.06645752,0.06855386,19620.50048344251,286205.62698355
1663286400000,2022-09-16 00:00:00,DOGE/USD,0.06473507,0.06666612,0.06446518,0.06666612,16031.506300662366,240474.56640138
1663200000000,2022-09-15 00:00:00,DOGE/USD,0.067,0.06728454,0.06462433,0.06470316,17353.919424154414,268208.22080644
1663113600000,2022-09-14 00:00:00,DOGE/USD,0.06562779,0.06746037,0.06541981,0.06713562,21524.545414985107,320612.8939449
1663027200000,2022-09-13 00:00:00,DOGE/USD,0.06940481,0.06940481,0.06461037,0.06549909,27838.754896910934,425025.06365983
1662940800000,2022-09-12 00:00:00,DOGE/USD,0.0690791,0.07055024,0.06800001,0.06939619,21988.44440937573,316853.76977289
1662854400000,2022-09-11 00:00:00,DOGE/USD,0.07037279,0.0710292,0.0680881,0.06908901,16977.797175346765,245738.02946875
1662768000000,2022-09-10 00:00:00,DOGE/USD,0.0697276,0.07099104,0.0691645,0.07039519,19005.91624636828,269988.84790805
1662681600000,2022-09-09 00:00:00,DOGE/USD,0.06720692,0.07108715,0.06711958,0.07000775,30340.55702156226,433388.54657609
1662595200000,2022-09-08 00:00:00,DOGE/USD,0.06730629,0.0676718,0.06583171,0.0671965,16238.263591309571,241653.41336691
1662508800000,2022-09-07 00:00:00,DOGE/USD,0.06499293,0.06786857,0.06374134,0.06733721,25703.35424738925,381711.00714433
1662422400000,2022-09-06 00:00:00,DOGE/USD,0.0692517,0.07162001,0.06421376,0.06504486,24823.426420146767,381635.48080735
1662336000000,2022-09-05 00:00:00,DOGE/USD,0.06961288,0.07018634,0.0675366,0.06917309,22358.590205089535,323226.70861009
1662249600000,2022-09-04 00:00:00,DOGE/USD,0.06911833,0.07033236,0.06824779,0.0696055,19133.112171338755,274879.31515956
1662163200000,2022-09-03 00:00:00,DOGE/USD,0.06799958,0.07045665,0.06751006,0.06914169,18901.415397954705,273372.19263739
1662076800000,2022-09-02 00:00:00,DOGE/USD,0.06880539,0.06913393,0.06688555,0.06803135,15295.883745379972,224835.81092217
1661990400000,2022-09-01 00:00:00,DOGE/USD,0.06811362,0.06900688,0.06618633,0.0687622,19867.050626632434,288924.01096289
1661904000000,2022-08-31 00:00:00,DOGE/USD,0.06814956,0.06999999,0.06707879,0.06804192,16011.149850072194,235313.02247309
1661817600000,2022-08-30 00:00:00,DOGE/USD,0.07046993,0.07098429,0.06675686,0.06803865,38489.94710107773,565707.09590913
1661731200000,2022-08-29 00:00:00,DOGE/USD,0.06820518,0.07070561,0.06750481,0.07046229,29099.30466918348,412976.99335607
1661644800000,2022-08-28 00:00:00,DOGE/USD,0.07021275,0.07105499,0.06838604,0.06848501,20538.050046148124,299891.17393935
1661558400000,2022-08-27 00:00:00,DOGE/USD,0.07027921,0.07093143,0.06900001,0.07017031,19049.05562495865,271468.88228025
1661472000000,2022-08-26 00:00:00,DOGE/USD,0.07593597,0.07633006,0.06988175,0.07038261,34687.60946126415,492843.4660389
1661385600000,2022-08-25 00:00:00,DOGE/USD,0.07460324,0.07902592,0.07448935,0.0760309,58285.303645945554,766600.20657319
1661299200000,2022-08-24 00:00:00,DOGE/USD,0.07560987,0.07636021,0.07379769,0.07461831,38543.41398163661,516540.9667096
