https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume SOL
1656806400000,2022-07-03 00:00:00,SOL/USDT,33.378702,33.691506,32.237551,33.471971,6122.879736699917,182.92558083
1656720000000,2022-07-02 00:00:00,SOL/USDT,33.46829,34.223701,31.942119,33.399957,1299.617219189953,38.91074528
1656633600000,2022-07-01 00:00:00,SOL/USDT,33.761154,35.192993,31.968165,33.317194,2787.1037524071603,83.65361598
1656547200000,2022-06-30 00:00:00,SOL/USDT,33.957406,34.050015,31.111064,33.710288,3123.6343829349194,92.66115979
1656460800000,2022-06-29 00:00:00,SOL/USDT,35.372672,36.009544,33.190762,34.035362,9717.094728854114,285.49996703
1656374400000,2022-06-28 00:00:00,SOL/USDT,38.679637,38.848948,38.086574,38.381667,1748.3973901343102,45.55293
1656288000000,2022-06-27 00:00:00,SOL/USDT,39.275521,41.171336,37.992172,38.471721,3170.3224468821804,82.40656681
1656201600000,2022-06-26 00:00:00,SOL/USDT,42.269272,42.399982,39.082041,39.366733,5747.72674411758,146.00466704
1656115200000,2022-06-25 00:00:00,SOL/USDT,41.738846,42.549454,39.808568,42.338597,10127.17424727494,239.19484737
1656028800000,2022-06-24 00:00:00,SOL/USDT,38.083278,42.828599,37.81,42.035918,16390.625884020938,389.91954176
1655942400000,2022-06-23 00:00:00,SOL/USDT,35.5,38.5,35.170247,38.282817,8093.642458147377,211.41710805
1655856000000,2022-06-22 00:00:00,SOL/USDT,35.922608,36.744162,33.706407,35.0,7845.956055000001,224.170173
1655769600000,2022-06-21 00:00:00,SOL/USDT,35.0,39.065654,35.0,35.79716,5459.346517702277,152.50781117
1655683200000,2022-06-20 00:00:00,SOL/USDT,32.53903,36.5,31.859644,35.5,13115.74876606,369.45771172
1655596800000,2022-06-19 00:00:00,SOL/USDT,32,35.2,29.126412,34.045234,12719.996550314907,373.62047652
1655510400000,2022-06-18 00:00:00,SOL/USDT,30.665358,31.9,27.2,31.545888,8237.403973010636,261.12449182
1655424000000,2022-06-17 00:00:00,SOL/USDT,30.552824,32.073914,29.4,30.7,4688.281323382999,152.71274669
1655337600000,2022-06-16 00:00:00,SOL/USDT,34.802852,35.588214,29.7,29.7,4956.274652274,166.87793442
1655251200000,2022-06-15 00:00:00,SOL/USDT,29.749984,34.945185,26.805444,34.117364,23046.59733058563,675.50931926
1655164800000,2022-06-14 00:00:00,SOL/USDT,27.794422,32.137664,26.0,29.773502,7748.687648789444,260.25449236
1655078400000,2022-06-13 00:00:00,SOL/USDT,30.715313,30.715313,26.164763,27.794422,14954.288606760047,538.03200537
1654992000000,2022-06-12 00:00:00,SOL/USDT,33.576352,34.464427,31.0,31.0,9623.027128759999,310.42022996
1654905600000,2022-06-11 00:00:00,SOL/USDT,37.450778,37.919152,33.301816,34.080969,3155.3744249820575,92.58464526
1654819200000,2022-06-10 00:00:00,SOL/USDT,39.5,40.708324,36.9,36.9,6468.370477272,175.29459288
1654732800000,2022-06-09 00:00:00,SOL/USDT,38.749402,41.760226,38.420009,39.839843,6365.57811079572,159.77919669
1654646400000,2022-06-08 00:00:00,SOL/USDT,39.839737,40.747257,38.46658,39.10792,4171.084252661105,106.65574269
1654560000000,2022-06-07 00:00:00,SOL/USDT,42.412919,42.412919,37.315315,39.201041,10202.183890201964,260.25288181
