https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume DOGE,Volume USDT,tradecount
1698192000000,2023-10-25,DOGEUSDT,0.0666,0.06978,0.0646,0.06832,1473029982.0,99228256.80723,224723
1698105600000,2023-10-24,DOGEUSDT,0.06742,0.07012,0.06418,0.0666,1893961402.0,127544825.43812,283177
1698019200000,2023-10-23,DOGEUSDT,0.06169,0.0679,0.06131,0.06742,1809514093.0,116349908.04166,264652
1697932800000,2023-10-22,DOGEUSDT,0.06119,0.06173,0.05979,0.0617,431537666.0,26312254.20039,64341
1697846400000,2023-10-21,DOGEUSDT,0.0599,0.06147,0.05942,0.06119,419977032.0,25519096.90125,53376
1697760000000,2023-10-20,DOGEUSDT,0.05887,0.06049,0.05862,0.0599,380263308.0,22731498.03425,53037
1697673600000,2023-10-19,DOGEUSDT,0.05859,0.05899,0.05738,0.05887,268646752.0,15670050.9032,40963
1697587200000,2023-10-18,DOGEUSDT,0.05903,0.05936,0.05827,0.05858,259892423.0,15276595.01294,40637
1697500800000,2023-10-17,DOGEUSDT,0.06,0.06016,0.05812,0.05904,328504417.0,19474198.00777,49141
1697414400000,2023-10-16,DOGEUSDT,0.0593,0.06176,0.05909,0.06,685936360.0,41294868.55518,83863
1697328000000,2023-10-15,DOGEUSDT,0.05984,0.05986,0.05901,0.05931,187751427.0,11152991.95888,30905
1697241600000,2023-10-14,DOGEUSDT,0.05839,0.05998,0.05833,0.05984,258485303.0,15306116.07218,38073
1697155200000,2023-10-13,DOGEUSDT,0.05789,0.0591,0.05777,0.05839,340601297.0,19868943.50442,40017
1697068800000,2023-10-12,DOGEUSDT,0.05851,0.05852,0.05722,0.05788,241613425.0,13992832.68488,36751
1696982400000,2023-10-11,DOGEUSDT,0.05914,0.05948,0.05764,0.05851,356464937.0,20867859.46762,49943
1696896000000,2023-10-10,DOGEUSDT,0.05872,0.05923,0.05846,0.05913,254040040.0,14947507.45563,36453
1696809600000,2023-10-09,DOGEUSDT,0.06095,0.061,0.05678,0.05873,806444033.0,47628376.32,92599
1696723200000,2023-10-08,DOGEUSDT,0.06143,0.0616,0.06065,0.06096,202221066.0,12375190.40245,25087
1696636800000,2023-10-07,DOGEUSDT,0.06136,0.06166,0.06105,0.06143,279174721.0,17141192.6657,26462
1696550400000,2023-10-06,DOGEUSDT,0.06087,0.06162,0.06071,0.06137,299784369.0,18338128.23727,35843
1696464000000,2023-10-05,DOGEUSDT,0.06146,0.06165,0.06059,0.06086,252901933.0,15443219.89739,31539
1696377600000,2023-10-04,DOGEUSDT,0.06138,0.06159,0.06001,0.06147,335531290.0,20428970.39124,43652
1696291200000,2023-10-03,DOGEUSDT,0.06201,0.06232,0.06107,0.06137,285220585.0,17603805.51431,40004
1696204800000,2023-10-02,DOGEUSDT,0.0632,0.0642,0.06093,0.062,626702154.0,39391905.23778,85372
1696118400000,2023-10-01,DOGEUSDT,0.06207,0.06358,0.06169,0.06319,426685075.0,26690722.24152,55959
1696032000000,2023-09-30,DOGEUSDT,0.06213,0.06276,0.06173,0.06207,353992527.0,22015585.97923,42003
1695945600000,2023-09-29,DOGEUSDT,0.06151,0.06249,0.06131,0.06213,388098719.0,24008259.14787,50682
1695859200000,2023-09-28,DOGEUSDT,0.06052,0.06168,0.06038,0.0615,330092922.0,20174936.15723,44627
1695772800000,2023-09-27,DOGEUSDT,0.06062,0.06142,0.06016,0.06053,322389750.0,19592884.73029,43461
1695686400000,2023-09-26,DOGEUSDT,0.06095,0.06114,0.05933,0.06062,247803396.0,14971987.50562,37490
1695600000000,2023-09-25,DOGEUSDT,0.06068,0.06124,0.06009,0.06094,185313210.0,11269114.08089,29360
1695513600000,2023-09-24,DOGEUSDT,0.06152,0.06175,0.06028,0.06069,187668551.0,11492548.05825,29624
1695427200000,2023-09-23,DOGEUSDT,0.06153,0.06199,0.06127,0.06152,171390790.0,10551532.80734,26595
1695340800000,2023-09-22,DOGEUSDT,0.0613,0.06187,0.06058,0.06152,243141704.0,14940382.18452,34856
1695254400000,2023-09-21,DOGEUSDT,0.06263,0.06348,0.06103,0.06131,461733879.0,28682859.05613,59848
1695168000000,2023-09-20,DOGEUSDT,0.06269,0.06303,0.06144,0.06262,351126474.0,21875623.51895,46395
1695081600000,2023-09-19,DOGEUSDT,0.06196,0.06323,0.06189,0.06268,428581236.0,26809249.60093,50181
1694995200000,2023-09-18,DOGEUSDT,0.06146,0.06281,0.06096,0.06198,477979505.0,29612579.22875,58989
1694908800000,2023-09-17,DOGEUSDT,0.06213,0.06254,0.06097,0.06147,383318697.0,23678403.5212,50405
1694822400000,2023-09-16,DOGEUSDT,0.0625,0.06297,0.06176,0.06214,255280771.0,15905929.03412,35590
1694736000000,2023-09-15,DOGEUSDT,0.06207,0.06296,0.06138,0.0625,305546937.0,18972451.48935,40802
1694649600000,2023-09-14,DOGEUSDT,0.06125,0.06255,0.06108,0.06208,475512544.0,29324721.20968,54765
1694563200000,2023-09-13,DOGEUSDT,0.0609,0.06181,0.0605,0.06126,502274759.0,30683513.26435,57085
1694476800000,2023-09-12,DOGEUSDT,0.06047,0.06247,0.06043,0.0609,590184825.0,36260714.94387,73991
1694390400000,2023-09-11,DOGEUSDT,0.0613,0.06199,0.05919,0.06049,815364934.0,49357251.80128,98174
1694304000000,2023-09-10,DOGEUSDT,0.06338,0.0634,0.05938,0.0613,741903006.0,45598221.69036,100945
1694217600000,2023-09-09,DOGEUSDT,0.0637,0.06391,0.06319,0.06339,196653596.0,12495666.85681,27685
1694131200000,2023-09-08,DOGEUSDT,0.06366,0.06402,0.06237,0.06371,364461321.0,23061583.38435,48400
1694044800000,2023-09-07,DOGEUSDT,0.06364,0.06384,0.06279,0.06365,418433542.0,26519402.81803,44350
1693958400000,2023-09-06,DOGEUSDT,0.06403,0.06464,0.06248,0.06365,638467834.0,40689983.83105,63236
1693872000000,2023-09-05,DOGEUSDT,0.06326,0.06443,0.06288,0.06402,613206067.0,39129437.05314,69058
1693785600000,2023-09-04,DOGEUSDT,0.06317,0.06385,0.06209,0.06326,414229595.0,26156361.23442,52937
1693699200000,2023-09-03,DOGEUSDT,0.06348,0.06377,0.06276,0.06317,221836401.0,14044413.14013,33591
1693612800000,2023-09-02,DOGEUSDT,0.06386,0.06497,0.0626,0.06348,445474474.0,28368708.40871,63130
1693526400000,2023-09-01,DOGEUSDT,0.06379,0.06426,0.0623,0.06388,594834321.0,37771556.70096,73889
1693440000000,2023-08-31,DOGEUSDT,0.06588,0.06701,0.0628,0.06376,987255423.0,64328075.3132,118287
1693353600000,2023-08-30,DOGEUSDT,0.0664,0.06647,0.06434,0.06588,652816294.0,42683148.76782,81674
1693267200000,2023-08-29,DOGEUSDT,0.06345,0.06858,0.0624,0.0664,1205214048.0,79300388.72117,176412
1693180800000,2023-08-28,DOGEUSDT,0.06317,0.0637,0.06186,0.06345,347134881.0,21789078.48691,47595
1693094400000,2023-08-27,DOGEUSDT,0.06289,0.06379,0.06269,0.06318,195920692.0,12381193.30033,27727
1693008000000,2023-08-26,DOGEUSDT,0.06312,0.06338,0.06262,0.06289,133469006.0,8407844.39497,21072
