https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DAI
1665360000000,2022-10-10 00:00:00,DAI/USD,1.162617,1.1915,1.157993,1.18778,19458.118062320762,16381.92094691
1665273600000,2022-10-09 00:00:00,DAI/USD,1.159066,1.172494,1.1545,1.167688,18012.69960698615,15425.95248644
1665187200000,2022-10-08 00:00:00,DAI/USD,1.144815,1.173826,1.134694,1.157306,19063.433997842454,16472.25020681
1665100800000,2022-10-07 00:00:00,DAI/USD,1.121566,1.1542,1.120828,1.140918,20880.835504955663,18301.78461989
1665014400000,2022-10-06 00:00:00,DAI/USD,1.122312,1.131296,1.115661,1.123717,17222.477321801864,15326.34757844
1664928000000,2022-10-05 00:00:00,DAI/USD,1.119877,1.127895,1.108339,1.12444,16650.848056109407,14808.1249832
1664841600000,2022-10-04 00:00:00,DAI/USD,1.117633,1.142408,1.106807,1.121585,19643.833587343324,17514.35119705
1664755200000,2022-10-03 00:00:00,DAI/USD,1.112983,1.12,1.1071,1.116667,17106.78863669688,15319.50763898
1664668800000,2022-10-02 00:00:00,DAI/USD,1.117104,1.12,1.106202,1.117119,18361.012535034177,16436.03996981
1664582400000,2022-10-01 00:00:00,DAI/USD,1.115116,1.12,1.108391,1.114624,17406.256217557653,15616.25823377
1664496000000,2022-09-30 00:00:00,DAI/USD,1.109074,1.117013,1.103802,1.115489,17300.8987129005,15509.69907628
1664409600000,2022-09-29 00:00:00,DAI/USD,1.110665,1.12,1.102614,1.108891,17599.64199159615,15871.39041763
1664323200000,2022-09-28 00:00:00,DAI/USD,1.113668,1.12,1.105966,1.114321,16923.43105576048,15187.21360879
1664236800000,2022-09-27 00:00:00,DAI/USD,1.110999,1.12,1.101302,1.111013,17113.142418805568,15403.18827845
1664150400000,2022-09-26 00:00:00,DAI/USD,1.107261,1.118675,1.104129,1.111198,17299.386868204794,15568.23074574
1664064000000,2022-09-25 00:00:00,DAI/USD,1.103556,1.112486,1.100128,1.1049,16958.77546025183,15348.69713119
1663977600000,2022-09-24 00:00:00,DAI/USD,1.105122,1.108221,1.095107,1.10192,17283.837228957196,15685.20149281
1663891200000,2022-09-23 00:00:00,DAI/USD,1.101871,1.11314,1.098381,1.105573,16939.290427497614,15321.729481
