https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT
1672012800,2022-12-26 00:00:00,ETH/USDT,1218.5,1229.7,1212.8,1227.4,61.71708346,75751.548238804
1671926400,2022-12-25 00:00:00,ETH/USDT,1219.8,1222.7,1193.9,1218.5,74.25200851,90476.072369435
1671840000,2022-12-24 00:00:00,ETH/USDT,1220.3,1225.5,1214.5,1221.7,65.28380010,79757.21858217
1671753600,2022-12-23 00:00:00,ETH/USDT,1215.6,1230.6,1214.1,1221.0,243.57990023,297411.05818083
1671667200,2022-12-22 00:00:00,ETH/USDT,1213.6,1231.6,1185.1,1217.8,284.49977690,346463.82830881997
1671580800,2022-12-21 00:00:00,ETH/USDT,1213.4,1220.6,1202.6,1214.0,150.25147822,182405.29455908
1671494400,2022-12-20 00:00:00,ETH/USDT,1166.8,1231.3,1165.1,1220.3,370.21711466,451775.945019598
1671408000,2022-12-19 00:00:00,ETH/USDT,1182.0,1194.7,1152.0,1166.3,166.90018844,194655.689777572
1671321600,2022-12-18 00:00:00,ETH/USDT,1188.0,1196.4,1171.8,1182.8,168.07221311,198795.813666508
1671235200,2022-12-17 00:00:00,ETH/USDT,1166.3,1190.1,1162.3,1187.0,105.85409924,125648.81579788
1671148800,2022-12-16 00:00:00,ETH/USDT,1265.7,1279.1,1157.4,1167.8,775.75896263,905931.316559314
1671062400,2022-12-15 00:00:00,ETH/USDT,1308.2,1310.2,1260.3,1266.2,727.48627505,921143.12146831
1670976000,2022-12-14 00:00:00,ETH/USDT,1321.3,1348.8,1301.4,1308.1,417.59940424,546261.780686344
1670889600,2022-12-13 00:00:00,ETH/USDT,1274.3,1354.5,1255.2,1321.6,1205.32919867,1592963.068962272
1670803200,2022-12-12 00:00:00,ETH/USDT,1260.5,1278.9,1241.1,1274.7,65.87268953,83967.91734389101
1670716800,2022-12-11 00:00:00,ETH/USDT,1265.9,1282.2,1255.2,1263.8,80.83652236,102161.196958568
1670630400,2022-12-10 00:00:00,ETH/USDT,1265.5,1279.8,1259.8,1263.1,19.42617706,24537.204244485998
1670544000,2022-12-09 00:00:00,ETH/USDT,1280.9,1294.7,1256.8,1261.4,75.20226366,94860.13538072401
1670457600,2022-12-08 00:00:00,ETH/USDT,1230.9,1294.3,1222.8,1280.7,77.45267941,99193.646520387
1670371200,2022-12-07 00:00:00,ETH/USDT,1272.3,1275.9,1223.1,1231.8,130.80230316,161122.277032488
1670284800,2022-12-06 00:00:00,ETH/USDT,1261.1,1271.7,1240.4,1271.7,71.44701382,90859.167474894
1670198400,2022-12-05 00:00:00,ETH/USDT,1278.4,1304.6,1250.5,1258.7,153.25297496,192899.519582152
1670112000,2022-12-04 00:00:00,ETH/USDT,1241.5,1284.8,1241.5,1281.0,213.34526325,273295.28222324996
1670025600,2022-12-03 00:00:00,ETH/USDT,1295.6,1303.1,1090.5,1237.5,91.00185852,112614.7999185
1669939200,2022-12-02 00:00:00,ETH/USDT,1275.9,1296.2,1265.9,1295.0,199.43883223,258273.28773785
1669852800,2022-12-01 00:00:00,ETH/USDT,1295.3,1295.6,1264.2,1276.1,616.21464280,786351.5056770799
1669766400,2022-11-30 00:00:00,ETH/USDT,1217.6,1308.1,1212.1,1296.1,374.48185245,485365.928960445
1669680000,2022-11-29 00:00:00,ETH/USDT,1167.8,1225.6,1160.3,1216.7,212.89231575,259026.080573025
1669593600,2022-11-28 00:00:00,ETH/USDT,1193.6,1199.5,1153.3,1172.6,143.37916184,168126.40517358397
1669507200,2022-11-27 00:00:00,ETH/USDT,1205.6,1222.5,1192.3,1193.3,126.59530610,151066.17876913
1669420800,2022-11-26 00:00:00,ETH/USDT,1199.4,1230.9,1197.6,1207.8,164.81736063,199066.408168914
1669334400,2022-11-25 00:00:00,ETH/USDT,1203.6,1204.2,1171.5,1200.8,212.75002808,255470.23371846398
1669248000,2022-11-24 00:00:00,ETH/USDT,1184.3,1215.9,1180.6,1204.6,369.87364919,445549.7978142739
1669161600,2022-11-23 00:00:00,ETH/USDT,1137.7,1188.8,1129.2,1184.5,433.68471133,513699.54057038506
1669075200,2022-11-22 00:00:00,ETH/USDT,1105.6,1148.3,1077.4,1140.0,345.61482156,394000.8965784
1668988800,2022-11-21 00:00:00,ETH/USDT,1143.5,1145.3,1078.6,1107.3,289.43501805,320491.39548676496
1668902400,2022-11-20 00:00:00,ETH/USDT,1217.9,1226.4,1136.2,1143.0,203.82414905,232971.00236415
1668816000,2022-11-19 00:00:00,ETH/USDT,1212.5,1232.8,1197.2,1219.2,167.27644452,203943.44115878403
1668729600,2022-11-18 00:00:00,ETH/USDT,1200.5,1229.8,1200.2,1212.9,200.52811447,243220.55004066302
1668643200,2022-11-17 00:00:00,ETH/USDT,1216.1,1227.7,1183.9,1200.8,172.96159392,207692.281979136
1668556800,2022-11-16 00:00:00,ETH/USDT,1253.9,1266.5,1187.4,1216.6,293.78864314,357423.26324412395
1668470400,2022-11-15 00:00:00,ETH/USDT,1240.8,1286.5,1235.3,1253.6,452.27754398,566975.129133328
1668384000,2022-11-14 00:00:00,ETH/USDT,1222.0,1289.4,1178.6,1242.3,707.38119021,878779.652597883
1668297600,2022-11-13 00:00:00,ETH/USDT,1255.2,1273.7,1205.7,1222.0,291.36110293,356043.26778046
1668211200,2022-11-12 00:00:00,ETH/USDT,1289.8,1289.8,1237.6,1257.8,259.18717636,326005.630425608
1668124800,2022-11-11 00:00:00,ETH/USDT,1300.3,1311.0,1201.0,1288.9,791.18121296,1019753.4653841441
1668038400,2022-11-10 00:00:00,ETH/USDT,1101.7,1381.7,1099.0,1301.4,458.87535121,597180.3820646941
1667952000,2022-11-09 00:00:00,ETH/USDT,1318.3,1375.5,1085.6,1102.7,730.54459532,805571.525259364
1667865600,2022-11-08 00:00:00,ETH/USDT,1567.5,1577.2,1222.0,1334.2,1043.86080278,1392719.083069076
1667779200,2022-11-07 00:00:00,ETH/USDT,1567.4,1607.4,1546.8,1568.0,1088.54969225,1706845.9174479998
1667692800,2022-11-06 00:00:00,ETH/USDT,1625.8,1637.6,1566.9,1567.4,402.20828318,630421.2630563321
1667606400,2022-11-05 00:00:00,ETH/USDT,1645.2,1665.5,1621.0,1628.3,432.57029279,704354.207749957
1667520000,2022-11-04 00:00:00,ETH/USDT,1529.9,1674.8,1528.3,1645.2,538.16815565,885394.2496753801
1667433600,2022-11-03 00:00:00,ETH/USDT,1518.0,1558.9,1515.6,1530.6,281.65458368,431100.5057806079
1667347200,2022-11-02 00:00:00,ETH/USDT,1579.3,1620.0,1502.7,1518.2,454.22190566,689599.6971730121
1667260800,2022-11-01 00:00:00,ETH/USDT,1571.8,1609.8,1564.5,1578.3,2035.97001522,3213371.475021726
1667174400,2022-10-31 00:00:00,ETH/USDT,1582.8,1633.4,1548.7,1573.9,479.38584177,754505.376361803
1667088000,2022-10-30 00:00:00,ETH/USDT,1619.5,1639.8,1577.6,1583.5,96.10226820,152177.94169469998
1667001600,2022-10-29 00:00:00,ETH/USDT,1551.2,1660.3,1550.8,1620.3,1352.87062301,2192056.270463103
1666915200,2022-10-28 00:00:00,ETH/USDT,1510.1,1573.1,1480.0,1554.2,1262.93784508,1962857.998823336
1666828800,2022-10-27 00:00:00,ETH/USDT,1564.6,1575.1,1506.5,1515.0,1083.77558934,1641920.0178500998
1666742400,2022-10-26 00:00:00,ETH/USDT,1466.4,1590.0,1466.2,1565.8,787.49554519,1233060.524658502
1666656000,2022-10-25 00:00:00,ETH/USDT,1344.5,1518.1,1335.2,1459.8,1993.06907181,2909482.231028238
1666569600,2022-10-24 00:00:00,ETH/USDT,1364.5,1366.5,1324.7,1344.1,277.58172059,373097.59064501897
1666483200,2022-10-23 00:00:00,ETH/USDT,1314.0,1370.4,1301.6,1362.2,516.84536474,704046.7558488281
1666396800,2022-10-22 00:00:00,ETH/USDT,1299.0,1319.1,1294.8,1313.2,200.00518166,262646.80455591204
1666310400,2022-10-21 00:00:00,ETH/USDT,1279.9,1305.9,1256.8,1300.5,923.79776151,1201398.988843755
1666224000,2022-10-20 00:00:00,ETH/USDT,1284.4,1310.4,1272.9,1281.8,467.55698896,599314.548448928
1666137600,2022-10-19 00:00:00,ETH/USDT,1310.8,1312.9,1282.0,1283.5,462.27714217,593332.711975195
1666051200,2022-10-18 00:00:00,ETH/USDT,1332.9,1339.7,1287.9,1310.6,769.68076972,1008743.6167950318
1665964800,2022-10-17 00:00:00,ETH/USDT,1307.4,1337.3,1296.2,1331.3,593.32379935,789891.9740746549
1665878400,2022-10-16 00:00:00,ETH/USDT,1275.4,1314.4,1275.4,1306.6,261.29365771,341406.29316388594
1665792000,2022-10-15 00:00:00,ETH/USDT,1296.6,1301.3,1264.1,1274.4,241.72371520,308052.70265088003
1665705600,2022-10-14 00:00:00,ETH/USDT,1284.8,1342.2,1284.8,1297.8,454.66012682,590057.912586996
1665619200,2022-10-13 00:00:00,ETH/USDT,1292.7,1299.8,1177.0,1289.2,536.38188996,691503.532536432
